Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.199965977568258, std[0]=2.0869327289041717)
Loading Target Train...
Epoch: [0][ 10/270]	L_Src_Sup 1.9894e+00 (1.9974e+00)	L_Trg_Inj 1.9973e+00 (1.9979e+00)	Loss Disc 7.1713e-01 (7.2029e-01)	Loss Pred 8.2924e-01 (8.4153e-01)	Loss TOTAL 1.5865e+00 (1.6017e+00)
Epoch: [0][ 20/270]	L_Src_Sup 2.6235e-01 (1.5376e+00)	L_Trg_Inj 5.0394e-01 (1.6469e+00)	Loss Disc 7.0848e-01 (7.1657e-01)	Loss Pred 8.0198e-01 (8.4720e-01)	Loss TOTAL 1.2329e+00 (1.5453e+00)
Epoch: [0][ 30/270]	L_Src_Sup 3.4175e-01 (1.1816e+00)	L_Trg_Inj 1.5635e+00 (1.4932e+00)	Loss Disc 6.9908e-01 (7.1286e-01)	Loss Pred 8.6599e-01 (8.4650e-01)	Loss TOTAL 1.4061e+00 (1.4934e+00)
Epoch: [0][ 40/270]	L_Src_Sup 2.8668e-01 (9.5183e-01)	L_Trg_Inj 2.6686e-01 (1.2364e+00)	Loss Disc 6.9248e-01 (7.0819e-01)	Loss Pred 8.6442e-01 (8.4222e-01)	Loss TOTAL 1.2858e+00 (1.4396e+00)
Epoch: [0][ 50/270]	L_Src_Sup 1.6145e-01 (8.0817e-01)	L_Trg_Inj 4.6127e-01 (1.0719e+00)	Loss Disc 6.8902e-01 (7.0479e-01)	Loss Pred 8.0930e-01 (8.3646e-01)	Loss TOTAL 1.2161e+00 (1.3985e+00)
Epoch: [0][ 60/270]	L_Src_Sup 2.1818e-01 (7.0837e-01)	L_Trg_Inj 3.5805e-01 (9.5181e-01)	Loss Disc 6.8694e-01 (7.0217e-01)	Loss Pred 7.6972e-01 (8.3345e-01)	Loss TOTAL 1.1708e+00 (1.3697e+00)
Epoch: [0][ 70/270]	L_Src_Sup 2.2714e-01 (6.4062e-01)	L_Trg_Inj 3.1836e-01 (8.6518e-01)	Loss Disc 6.9225e-01 (7.0029e-01)	Loss Pred 8.4092e-01 (8.3358e-01)	Loss TOTAL 1.2416e+00 (1.3523e+00)
Epoch: [0][ 80/270]	L_Src_Sup 1.5113e-01 (5.8575e-01)	L_Trg_Inj 3.9476e-01 (8.0039e-01)	Loss Disc 6.9414e-01 (6.9938e-01)	Loss Pred 7.6238e-01 (8.3128e-01)	Loss TOTAL 1.1640e+00 (1.3353e+00)
Epoch: [0][ 90/270]	L_Src_Sup 2.1131e-01 (5.4176e-01)	L_Trg_Inj 3.6832e-01 (7.5318e-01)	Loss Disc 6.9684e-01 (6.9910e-01)	Loss Pred 8.0724e-01 (8.2876e-01)	Loss TOTAL 1.2136e+00 (1.3222e+00)
Epoch: [0][100/270]	L_Src_Sup 2.0766e-01 (5.0699e-01)	L_Trg_Inj 3.7593e-01 (7.0888e-01)	Loss Disc 6.9856e-01 (6.9896e-01)	Loss Pred 8.5520e-01 (8.2877e-01)	Loss TOTAL 1.2628e+00 (1.3128e+00)
Epoch: [0][110/270]	L_Src_Sup 3.1850e-01 (4.7892e-01)	L_Trg_Inj 2.1922e-01 (6.7552e-01)	Loss Disc 7.0202e-01 (6.9916e-01)	Loss Pred 8.3364e-01 (8.2778e-01)	Loss TOTAL 1.3377e+00 (1.3056e+00)
Epoch: [0][120/270]	L_Src_Sup 1.3165e+00 (4.6724e-01)	L_Trg_Inj 1.4447e+00 (7.2373e-01)	Loss Disc 6.8922e-01 (6.9893e-01)	Loss Pred 7.6828e-01 (8.2539e-01)	Loss TOTAL 1.3890e+00 (1.3058e+00)
