Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.442593226780509, std[0]=1.2340775789629297)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.2166e+00 (1.8460e+00)	L_Trg_Inj 1.3320e+00 (1.8604e+00)	Loss Disc 7.1889e-01 (7.2206e-01)	Loss Pred 1.5056e+00 (1.5863e+00)	Loss TOTAL 2.1199e+00 (2.3201e+00)
Epoch: [0][ 20/112]	L_Src_Sup 1.4250e-01 (1.0693e+00)	L_Trg_Inj 3.8692e-01 (1.1880e+00)	Loss Disc 7.1043e-01 (7.1834e-01)	Loss Pred 1.5779e+00 (1.5794e+00)	Loss TOTAL 1.9860e+00 (2.1753e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.8145e-01 (7.6165e-01)	L_Trg_Inj 3.5999e-01 (9.5489e-01)	Loss Disc 7.0094e-01 (7.1388e-01)	Loss Pred 1.5767e+00 (1.5710e+00)	Loss TOTAL 1.9813e+00 (2.1069e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.8229e-01 (6.2185e-01)	L_Trg_Inj 4.7669e-01 (8.4649e-01)	Loss Disc 6.9516e-01 (7.0972e-01)	Loss Pred 1.5494e+00 (1.5600e+00)	Loss TOTAL 1.9629e+00 (2.0672e+00)
Epoch: [0][ 50/112]	L_Src_Sup 4.2830e-01 (5.3307e-01)	L_Trg_Inj 3.0753e-01 (7.4886e-01)	Loss Disc 6.9252e-01 (7.0643e-01)	Loss Pred 1.5071e+00 (1.5505e+00)	Loss TOTAL 2.0477e+00 (2.0424e+00)
Epoch: [0][ 60/112]	L_Src_Sup 1.4248e-01 (5.1351e-01)	L_Trg_Inj 4.3289e-01 (7.2188e-01)	Loss Disc 6.9061e-01 (7.0396e-01)	Loss Pred 1.4839e+00 (1.5377e+00)	Loss TOTAL 1.8868e+00 (2.0220e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.4276e-01 (4.6065e-01)	L_Trg_Inj 5.5228e-01 (6.9010e-01)	Loss Disc 6.8674e-01 (7.0173e-01)	Loss Pred 1.4624e+00 (1.5282e+00)	Loss TOTAL 1.8753e+00 (2.0017e+00)
Epoch: [0][ 80/112]	L_Src_Sup 0.0000e+00 (4.3705e-01)	L_Trg_Inj 5.3727e-01 (6.6740e-01)	Loss Disc 6.8561e-01 (6.9987e-01)	Loss Pred 1.4479e+00 (1.5171e+00)	Loss TOTAL 1.8444e+00 (1.9882e+00)
Epoch: [0][ 90/112]	L_Src_Sup 2.1024e-01 (4.1426e-01)	L_Trg_Inj 4.6426e-01 (6.4955e-01)	Loss Disc 6.8648e-01 (6.9832e-01)	Loss Pred 1.3870e+00 (1.5045e+00)	Loss TOTAL 1.7977e+00 (1.9696e+00)
Epoch: [0][100/112]	L_Src_Sup 3.3369e-01 (3.8883e-01)	L_Trg_Inj 4.8524e-01 (6.3099e-01)	Loss Disc 6.8615e-01 (6.9715e-01)	Loss Pred 1.4042e+00 (1.4931e+00)	Loss TOTAL 1.8292e+00 (1.9522e+00)
Epoch: [0][110/112]	L_Src_Sup 1.5408e-01 (3.6874e-01)	L_Trg_Inj 8.1716e-02 (6.0842e-01)	Loss Disc 6.8374e-01 (6.9613e-01)	Loss Pred 1.3791e+00 (1.4825e+00)	Loss TOTAL 1.8169e+00 (1.9368e+00)
Epoch: [0][112/112]	L_Src_Sup 2.5051e-01 (3.6440e-01)	L_Trg_Inj 5.1205e-01 (6.0508e-01)	Loss Disc 6.8523e-01 (6.9596e-01)	Loss Pred 1.3604e+00 (1.4803e+00)	Loss TOTAL 1.7793e+00 (1.9336e+00)
Epoch 0 complete. Saving model state...
