Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7223363136558004, std[0]=0.06360114234969161)
Loading Target Train...
Epoch: [0][ 10/140]	L_Src_Sup 1.2977e+00 (1.8787e+00)	L_Trg_Inj 1.4914e+00 (1.9105e+00)	Loss Disc 7.1884e-01 (7.2205e-01)	Loss Pred 8.6127e-01 (8.2184e-01)	Loss TOTAL 1.4996e+00 (1.5620e+00)
Epoch: [0][ 20/140]	L_Src_Sup 1.4114e-01 (1.0879e+00)	L_Trg_Inj 3.2951e-01 (1.1696e+00)	Loss Disc 7.1010e-01 (7.1815e-01)	Loss Pred 8.3471e-01 (8.2320e-01)	Loss TOTAL 1.2368e+00 (1.4100e+00)
Epoch: [0][ 30/140]	L_Src_Sup 2.9259e-01 (8.3644e-01)	L_Trg_Inj 3.8960e-01 (9.1416e-01)	Loss Disc 7.0080e-01 (7.1362e-01)	Loss Pred 8.1553e-01 (8.2016e-01)	Loss TOTAL 1.2342e+00 (1.3593e+00)
Epoch: [0][ 40/140]	L_Src_Sup 2.3821e-01 (6.9517e-01)	L_Trg_Inj 2.8970e-01 (7.7499e-01)	Loss Disc 6.9325e-01 (7.0935e-01)	Loss Pred 8.6448e-01 (8.2249e-01)	Loss TOTAL 1.2639e+00 (1.3299e+00)
Epoch: [0][ 50/140]	L_Src_Sup 2.0575e-01 (5.9415e-01)	L_Trg_Inj 2.4379e-01 (6.8117e-01)	Loss Disc 6.9128e-01 (7.0600e-01)	Loss Pred 8.1841e-01 (8.1917e-01)	Loss TOTAL 1.2090e+00 (1.3045e+00)
Epoch: [0][ 60/140]	L_Src_Sup 2.3207e-01 (5.2847e-01)	L_Trg_Inj 3.6854e-01 (6.1305e-01)	Loss Disc 6.9168e-01 (7.0354e-01)	Loss Pred 8.2463e-01 (8.1967e-01)	Loss TOTAL 1.2305e+00 (1.2899e+00)
Epoch: [0][ 70/140]	L_Src_Sup 2.9143e-01 (4.8401e-01)	L_Trg_Inj 3.4866e-01 (5.7195e-01)	Loss Disc 6.9300e-01 (7.0199e-01)	Loss Pred 8.1195e-01 (8.1616e-01)	Loss TOTAL 1.2225e+00 (1.2782e+00)
Epoch: [0][ 80/140]	L_Src_Sup 2.5886e-01 (4.4835e-01)	L_Trg_Inj 2.6841e-01 (5.3745e-01)	Loss Disc 6.9360e-01 (7.0101e-01)	Loss Pred 8.1823e-01 (8.1361e-01)	Loss TOTAL 1.2178e+00 (1.2675e+00)
Epoch: [0][ 90/140]	L_Src_Sup 1.1059e-01 (4.1705e-01)	L_Trg_Inj 3.0413e-01 (5.0885e-01)	Loss Disc 6.9279e-01 (7.0016e-01)	Loss Pred 7.9487e-01 (8.1118e-01)	Loss TOTAL 1.1827e+00 (1.2581e+00)
Epoch: [0][100/140]	L_Src_Sup 2.2507e-01 (3.9496e-01)	L_Trg_Inj 1.8063e-01 (4.8487e-01)	Loss Disc 6.9340e-01 (6.9948e-01)	Loss Pred 8.0140e-01 (8.0862e-01)	Loss TOTAL 1.2331e+00 (1.2506e+00)
Epoch: [0][110/140]	L_Src_Sup 2.5658e-01 (3.8642e-01)	L_Trg_Inj 4.2796e-01 (4.7627e-01)	Loss Disc 6.8972e-01 (6.9875e-01)	Loss Pred 7.8182e-01 (8.0637e-01)	Loss TOTAL 1.1951e+00 (1.2471e+00)
Epoch: [0][120/140]	L_Src_Sup 2.4875e-01 (3.7361e-01)	L_Trg_Inj 3.3451e-01 (4.6473e-01)	Loss Disc 6.9151e-01 (6.9798e-01)	Loss Pred 7.7637e-01 (8.0345e-01)	Loss TOTAL 1.1805e+00 (1.2411e+00)
Epoch: [0][130/140]	L_Src_Sup 2.5633e-01 (3.6304e-01)	L_Trg_Inj 2.9885e-01 (4.5497e-01)	Loss Disc 6.9257e-01 (6.9754e-01)	Loss Pred 7.6154e-01 (8.0263e-01)	Loss TOTAL 1.1633e+00 (1.2378e+00)
