Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.9583e+00 (1.9742e+00)	L_Trg_Inj 1.9515e+00 (1.9685e+00)	Loss Disc 7.1881e-01 (7.2203e-01)	Loss Pred 1.5058e+00 (1.5863e+00)	Loss TOTAL 2.2630e+00 (2.3478e+00)
Epoch: [0][ 20/112]	L_Src_Sup 8.8409e-01 (1.8543e+00)	L_Trg_Inj 7.7759e-01 (1.8503e+00)	Loss Disc 7.0899e-01 (7.1786e-01)	Loss Pred 1.5774e+00 (1.5793e+00)	Loss TOTAL 2.2046e+00 (2.3200e+00)
Epoch: [0][ 30/112]	L_Src_Sup 3.8589e-01 (1.4377e+00)	L_Trg_Inj 3.3956e-01 (1.3930e+00)	Loss Disc 6.9947e-01 (7.1302e-01)	Loss Pred 1.5782e+00 (1.5710e+00)	Loss TOTAL 2.0468e+00 (2.2683e+00)
Epoch: [0][ 40/112]	L_Src_Sup 9.7045e-01 (1.2331e+00)	L_Trg_Inj 7.5920e-01 (1.1592e+00)	Loss Disc 6.9584e-01 (7.0903e-01)	Loss Pred 1.5589e+00 (1.5610e+00)	Loss TOTAL 2.2911e+00 (2.2430e+00)
Epoch: [0][ 50/112]	L_Src_Sup 9.0576e-01 (1.1590e+00)	L_Trg_Inj 6.8629e-01 (1.0938e+00)	Loss Disc 6.9445e-01 (7.0621e-01)	Loss Pred 1.5152e+00 (1.5532e+00)	Loss TOTAL 2.2411e+00 (2.2280e+00)
Epoch: [0][ 60/112]	L_Src_Sup 2.5476e-01 (1.0679e+00)	L_Trg_Inj 2.3447e-01 (9.8333e-01)	Loss Disc 6.9406e-01 (7.0421e-01)	Loss Pred 1.4901e+00 (1.5414e+00)	Loss TOTAL 1.9064e+00 (2.2097e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.4267e-01 (9.4513e-01)	L_Trg_Inj 4.0099e-02 (8.6083e-01)	Loss Disc 6.9381e-01 (7.0274e-01)	Loss Pred 1.4662e+00 (1.5317e+00)	Loss TOTAL 1.9339e+00 (2.1733e+00)
Epoch: [0][ 80/112]	L_Src_Sup 1.9857e+00 (9.6916e-01)	L_Trg_Inj 1.9877e+00 (8.8764e-01)	Loss Disc 6.9460e-01 (7.0169e-01)	Loss Pred 1.4593e+00 (1.5210e+00)	Loss TOTAL 2.2039e+00 (2.1636e+00)
Epoch: [0][ 90/112]	L_Src_Sup 1.9385e+00 (1.0806e+00)	L_Trg_Inj 1.9432e+00 (1.0080e+00)	Loss Disc 6.9394e-01 (7.0086e-01)	Loss Pred 1.3901e+00 (1.5086e+00)	Loss TOTAL 2.1253e+00 (2.1623e+00)
Epoch: [0][100/112]	L_Src_Sup 3.3594e-01 (1.0805e+00)	L_Trg_Inj 1.0356e-01 (1.0157e+00)	Loss Disc 6.9340e-01 (7.0014e-01)	Loss Pred 1.4064e+00 (1.4969e+00)	Loss TOTAL 2.0294e+00 (2.1455e+00)
Epoch: [0][110/112]	L_Src_Sup 1.9522e-01 (1.0117e+00)	L_Trg_Inj 2.4441e-01 (9.5985e-01)	Loss Disc 6.9306e-01 (6.9953e-01)	Loss Pred 1.3810e+00 (1.4860e+00)	Loss TOTAL 1.7715e+00 (2.1147e+00)
