Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7014437887685685, std[0]=0.011928948002314158)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 9.2371e-01 (1.7392e+00)	L_Trg_Inj 1.0076e+00 (1.7410e+00)	Loss Disc 7.1901e-01 (7.2207e-01)	Loss Pred 9.2533e-01 (8.5041e-01)	Loss TOTAL 1.4780e+00 (1.5675e+00)
Epoch: [0][ 20/112]	L_Src_Sup 1.4359e-01 (9.7851e-01)	L_Trg_Inj 2.3204e-01 (1.0137e+00)	Loss Disc 7.0977e-01 (7.1818e-01)	Loss Pred 8.2695e-01 (8.4734e-01)	Loss TOTAL 1.2194e+00 (1.4128e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.1980e-01 (7.2772e-01)	L_Trg_Inj 2.7832e-01 (7.7835e-01)	Loss Disc 7.0149e-01 (7.1371e-01)	Loss Pred 7.9947e-01 (8.4534e-01)	Loss TOTAL 1.1900e+00 (1.3637e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.7127e-01 (5.9406e-01)	L_Trg_Inj 3.2454e-01 (6.5492e-01)	Loss Disc 6.9661e-01 (7.0992e-01)	Loss Pred 7.9639e-01 (8.4403e-01)	Loss TOTAL 1.1943e+00 (1.3320e+00)
Epoch: [0][ 50/112]	L_Src_Sup 1.9491e-01 (5.1589e-01)	L_Trg_Inj 3.0485e-01 (5.7895e-01)	Loss Disc 6.9428e-01 (7.0700e-01)	Loss Pred 8.2823e-01 (8.4091e-01)	Loss TOTAL 1.2253e+00 (1.3112e+00)
Epoch: [0][ 60/112]	L_Src_Sup 1.7546e-01 (4.6234e-01)	L_Trg_Inj 3.1016e-01 (5.2635e-01)	Loss Disc 6.9307e-01 (7.0482e-01)	Loss Pred 8.1722e-01 (8.4141e-01)	Loss TOTAL 1.2123e+00 (1.3015e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.4044e-01 (4.2353e-01)	L_Trg_Inj 3.8635e-01 (4.9635e-01)	Loss Disc 6.9179e-01 (7.0308e-01)	Loss Pred 8.1455e-01 (8.3878e-01)	Loss TOTAL 1.2131e+00 (1.2898e+00)
Epoch: [0][ 80/112]	L_Src_Sup 8.6423e-02 (3.9320e-01)	L_Trg_Inj 2.4861e-01 (4.6985e-01)	Loss Disc 6.9240e-01 (7.0174e-01)	Loss Pred 7.9322e-01 (8.3767e-01)	Loss TOTAL 1.1729e+00 (1.2818e+00)
Epoch: [0][ 90/112]	L_Src_Sup 2.5686e-01 (3.7021e-01)	L_Trg_Inj 2.6327e-01 (4.4929e-01)	Loss Disc 6.9230e-01 (7.0065e-01)	Loss Pred 8.5794e-01 (8.3881e-01)	Loss TOTAL 1.2561e+00 (1.2785e+00)
Epoch: [0][100/112]	L_Src_Sup 1.7447e-01 (3.5204e-01)	L_Trg_Inj 2.1673e-01 (4.3062e-01)	Loss Disc 6.9250e-01 (6.9978e-01)	Loss Pred 7.9763e-01 (8.3813e-01)	Loss TOTAL 1.1830e+00 (1.2738e+00)
Epoch: [0][110/112]	L_Src_Sup 2.0909e-01 (3.3839e-01)	L_Trg_Inj 2.3025e-01 (4.1923e-01)	Loss Disc 6.9237e-01 (6.9901e-01)	Loss Pred 7.9457e-01 (8.3638e-01)	Loss TOTAL 1.1847e+00 (1.2684e+00)
Epoch: [0][112/112]	L_Src_Sup 1.9645e-01 (3.3618e-01)	L_Trg_Inj 2.2884e-01 (4.1707e-01)	Loss Disc 6.9224e-01 (6.9887e-01)	Loss Pred 8.2438e-01 (8.3617e-01)	Loss TOTAL 1.2130e+00 (1.2676e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/112]	L_Src_Sup 2.2733e-01 (1.8215e-01)	L_Trg_Inj 3.5215e-01 (2.5690e-01)	Loss Disc 6.9035e-01 (6.9157e-01)	Loss Pred 8.0101e-01 (8.1281e-01)	Loss TOTAL 1.2041e+00 (1.2044e+00)
Epoch: [1][ 20/112]	L_Src_Sup 2.5462e-01 (2.3206e-01)	L_Trg_Inj 2.3884e-01 (2.9097e-01)	Loss Disc 6.9175e-01 (6.9153e-01)	Loss Pred 8.2199e-01 (8.2218e-01)	Loss TOTAL 1.2330e+00 (1.2294e+00)
Epoch: [1][ 30/112]	L_Src_Sup 1.3203e-01 (2.2028e-01)	L_Trg_Inj 2.6458e-01 (2.9398e-01)	Loss Disc 6.9129e-01 (6.9112e-01)	Loss Pred 8.8412e-01 (8.2316e-01)	Loss TOTAL 1.2694e+00 (1.2263e+00)
Epoch: [1][ 40/112]	L_Src_Sup 1.9296e-01 (2.1307e-01)	L_Trg_Inj 2.6484e-01 (2.9367e-01)	Loss Disc 6.9133e-01 (6.9097e-01)	Loss Pred 7.9608e-01 (8.2478e-01)	Loss TOTAL 1.1875e+00 (1.2264e+00)
Epoch: [1][ 50/112]	L_Src_Sup 2.1826e-01 (2.0903e-01)	L_Trg_Inj 2.9602e-01 (2.9541e-01)	Loss Disc 6.9084e-01 (6.9084e-01)	Loss Pred 8.3802e-01 (8.2250e-01)	Loss TOTAL 1.2349e+00 (1.2227e+00)
Epoch: [1][ 60/112]	L_Src_Sup 2.1704e-01 (2.0107e-01)	L_Trg_Inj 2.6455e-01 (2.9266e-01)	Loss Disc 6.9151e-01 (6.9087e-01)	Loss Pred 8.2386e-01 (8.2242e-01)	Loss TOTAL 1.2178e+00 (1.2208e+00)
Epoch: [1][ 70/112]	L_Src_Sup 1.8150e-01 (1.9570e-01)	L_Trg_Inj 1.7015e-01 (2.9016e-01)	Loss Disc 6.9441e-01 (6.9099e-01)	Loss Pred 8.0429e-01 (8.1564e-01)	Loss TOTAL 1.1980e+00 (1.2130e+00)
Epoch: [1][ 80/112]	L_Src_Sup 1.6804e-01 (1.9433e-01)	L_Trg_Inj 2.9860e-01 (2.9263e-01)	Loss Disc 6.9240e-01 (6.9107e-01)	Loss Pred 7.6532e-01 (8.1040e-01)	Loss TOTAL 1.1582e+00 (1.2075e+00)
Epoch: [1][ 90/112]	L_Src_Sup 1.6319e-01 (1.9831e-01)	L_Trg_Inj 4.1856e-01 (2.9233e-01)	Loss Disc 6.9119e-01 (6.9123e-01)	Loss Pred 7.6318e-01 (8.0566e-01)	Loss TOTAL 1.1669e+00 (1.2057e+00)
Epoch: [1][100/112]	L_Src_Sup 9.3506e-01 (2.1697e-01)	L_Trg_Inj 8.4930e-01 (3.0348e-01)	Loss Disc 6.9141e-01 (6.9129e-01)	Loss Pred 7.7034e-01 (8.0203e-01)	Loss TOTAL 1.3802e+00 (1.2081e+00)
Epoch: [1][110/112]	L_Src_Sup 1.8724e-01 (2.1707e-01)	L_Trg_Inj 2.9990e-01 (3.0102e-01)	Loss Disc 6.8997e-01 (6.9120e-01)	Loss Pred 8.1385e-01 (8.0201e-01)	Loss TOTAL 1.2075e+00 (1.2080e+00)
Epoch: [1][112/112]	L_Src_Sup 1.9855e-01 (2.1633e-01)	L_Trg_Inj 2.9384e-01 (3.0091e-01)	Loss Disc 6.8991e-01 (6.9117e-01)	Loss Pred 8.9496e-01 (8.0201e-01)	Loss TOTAL 1.2892e+00 (1.2078e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/112]	L_Src_Sup 3.3350e-01 (2.0022e-01)	L_Trg_Inj 2.9381e-01 (2.9776e-01)	Loss Disc 6.8838e-01 (6.8918e-01)	Loss Pred 7.1267e-01 (7.5876e-01)	Loss TOTAL 1.1593e+00 (1.1571e+00)
Epoch: [2][ 20/112]	L_Src_Sup 1.5831e-01 (2.0479e-01)	L_Trg_Inj 3.0683e-01 (3.0080e-01)	Loss Disc 6.8832e-01 (6.8879e-01)	Loss Pred 6.8902e-01 (7.3510e-01)	Loss TOTAL 1.0797e+00 (1.1320e+00)
Epoch: [2][ 30/112]	L_Src_Sup 1.2777e-01 (2.0032e-01)	L_Trg_Inj 2.8671e-01 (2.9284e-01)	Loss Disc 6.8856e-01 (6.8874e-01)	Loss Pred 6.8216e-01 (7.2288e-01)	Loss TOTAL 1.0679e+00 (1.1224e+00)
Epoch: [2][ 40/112]	L_Src_Sup 2.1985e-01 (2.0919e-01)	L_Trg_Inj 3.8447e-01 (2.9456e-01)	Loss Disc 6.9175e-01 (6.8921e-01)	Loss Pred 6.8681e-01 (7.1160e-01)	Loss TOTAL 1.0931e+00 (1.1116e+00)
Epoch: [2][ 50/112]	L_Src_Sup 1.4767e-01 (2.0694e-01)	L_Trg_Inj 2.9476e-01 (2.9454e-01)	Loss Disc 6.9324e-01 (6.8987e-01)	Loss Pred 6.9817e-01 (7.0519e-01)	Loss TOTAL 1.0890e+00 (1.1053e+00)
Epoch: [2][ 60/112]	L_Src_Sup 2.5349e-01 (2.1373e-01)	L_Trg_Inj 3.6497e-01 (2.9700e-01)	Loss Disc 6.9054e-01 (6.9017e-01)	Loss Pred 6.7126e-01 (6.9852e-01)	Loss TOTAL 1.0784e+00 (1.0995e+00)
Epoch: [2][ 70/112]	L_Src_Sup 2.3166e-01 (2.1375e-01)	L_Trg_Inj 3.2647e-01 (2.9327e-01)	Loss Disc 6.9090e-01 (6.9037e-01)	Loss Pred 6.4717e-01 (6.9402e-01)	Loss TOTAL 1.0484e+00 (1.0964e+00)
Epoch: [2][ 80/112]	L_Src_Sup 2.2811e-01 (2.1024e-01)	L_Trg_Inj 3.7240e-01 (2.9364e-01)	Loss Disc 6.8974e-01 (6.9042e-01)	Loss Pred 6.8720e-01 (6.8861e-01)	Loss TOTAL 1.0921e+00 (1.0903e+00)
Epoch: [2][ 90/112]	L_Src_Sup 1.5780e-01 (2.0380e-01)	L_Trg_Inj 3.8678e-01 (2.9465e-01)	Loss Disc 6.8965e-01 (6.9048e-01)	Loss Pred 6.1596e-01 (6.8398e-01)	Loss TOTAL 1.0152e+00 (1.0845e+00)
Epoch: [2][100/112]	L_Src_Sup 1.6056e-01 (2.0205e-01)	L_Trg_Inj 2.0164e-01 (2.8889e-01)	Loss Disc 6.9171e-01 (6.9060e-01)	Loss Pred 6.1527e-01 (6.7993e-01)	Loss TOTAL 9.9734e-01 (1.0808e+00)
Epoch: [2][110/112]	L_Src_Sup 1.4772e-01 (2.0276e-01)	L_Trg_Inj 3.2553e-01 (2.8773e-01)	Loss Disc 6.8982e-01 (6.9064e-01)	Loss Pred 6.4127e-01 (6.7525e-01)	Loss TOTAL 1.0335e+00 (1.0757e+00)
Epoch: [2][112/112]	L_Src_Sup 2.5683e-01 (2.0352e-01)	L_Trg_Inj 2.9410e-01 (2.8827e-01)	Loss Disc 6.9125e-01 (6.9064e-01)	Loss Pred 6.3317e-01 (6.7439e-01)	Loss TOTAL 1.0339e+00 (1.0749e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/112]	L_Src_Sup 2.0714e-01 (1.9483e-01)	L_Trg_Inj 2.6470e-01 (2.8290e-01)	Loss Disc 6.9053e-01 (6.9066e-01)	Loss Pred 6.3973e-01 (6.1839e-01)	Loss TOTAL 1.0322e+00 (1.0230e+00)
Epoch: [3][ 20/112]	L_Src_Sup 2.0363e-01 (1.9465e-01)	L_Trg_Inj 3.4903e-01 (2.8327e-01)	Loss Disc 6.8913e-01 (6.9050e-01)	Loss Pred 6.2040e-01 (6.1106e-01)	Loss TOTAL 1.0202e+00 (1.0117e+00)
Epoch: [3][ 30/112]	L_Src_Sup 1.9978e-01 (1.9629e-01)	L_Trg_Inj 3.1142e-01 (2.8548e-01)	Loss Disc 6.9070e-01 (6.9082e-01)	Loss Pred 6.0733e-01 (6.0763e-01)	Loss TOTAL 1.0038e+00 (1.0089e+00)
Epoch: [3][ 40/112]	L_Src_Sup 2.2327e-01 (2.0129e-01)	L_Trg_Inj 2.7992e-01 (2.8592e-01)	Loss Disc 6.9044e-01 (6.9073e-01)	Loss Pred 5.6306e-01 (6.0734e-01)	Loss TOTAL 9.5860e-01 (1.0083e+00)
Epoch: [3][ 50/112]	L_Src_Sup 2.3221e-01 (1.9892e-01)	L_Trg_Inj 1.7097e-01 (2.8591e-01)	Loss Disc 6.9456e-01 (6.9074e-01)	Loss Pred 6.3942e-01 (6.0475e-01)	Loss TOTAL 1.0883e+00 (1.0081e+00)
Epoch: [3][ 60/112]	L_Src_Sup 1.4328e-01 (2.0039e-01)	L_Trg_Inj 3.7390e-01 (2.8995e-01)	Loss Disc 6.9147e-01 (6.9083e-01)	Loss Pred 5.8299e-01 (6.0158e-01)	Loss TOTAL 9.8044e-01 (1.0057e+00)
Epoch: [3][ 70/112]	L_Src_Sup 3.0192e-01 (2.0188e-01)	L_Trg_Inj 2.7999e-01 (2.9237e-01)	Loss Disc 6.9168e-01 (6.9092e-01)	Loss Pred 5.7135e-01 (5.9753e-01)	Loss TOTAL 9.9732e-01 (1.0022e+00)
Epoch: [3][ 80/112]	L_Src_Sup 2.7904e-01 (2.0298e-01)	L_Trg_Inj 4.2010e-01 (2.9440e-01)	Loss Disc 6.8985e-01 (6.9088e-01)	Loss Pred 5.5360e-01 (5.9529e-01)	Loss TOTAL 9.6844e-01 (1.0003e+00)
Epoch: [3][ 90/112]	L_Src_Sup 1.6111e-01 (2.0113e-01)	L_Trg_Inj 3.1058e-01 (2.9064e-01)	Loss Disc 6.9015e-01 (6.9090e-01)	Loss Pred 5.6685e-01 (5.9246e-01)	Loss TOTAL 9.5909e-01 (9.9692e-01)
