Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=0.7088467184220267, std[0]=0.02778927424347443)
Loading Target Train...
Epoch: [0][ 10/168]	L_Src_Sup 1.3842e+00 (1.8687e+00)	L_Trg_Inj 1.4529e+00 (1.8746e+00)	Loss Disc 7.1692e-01 (7.2015e-01)	Loss Pred 7.7339e-01 (7.9575e-01)	Loss TOTAL 1.4156e+00 (1.5353e+00)
Epoch: [0][ 20/168]	L_Src_Sup 2.7634e-01 (1.0933e+00)	L_Trg_Inj 1.9633e-01 (1.1020e+00)	Loss Disc 7.0718e-01 (7.1601e-01)	Loss Pred 7.5263e-01 (7.8863e-01)	Loss TOTAL 1.2335e+00 (1.4021e+00)
Epoch: [0][ 30/168]	L_Src_Sup 3.7756e-01 (8.1756e-01)	L_Trg_Inj 3.0470e-01 (8.3119e-01)	Loss Disc 6.9841e-01 (7.1134e-01)	Loss Pred 8.0745e-01 (7.9444e-01)	Loss TOTAL 1.2977e+00 (1.3497e+00)
Epoch: [0][ 40/168]	L_Src_Sup 2.2505e-01 (6.7214e-01)	L_Trg_Inj 5.4237e-01 (6.9275e-01)	Loss Disc 6.9469e-01 (7.0755e-01)	Loss Pred 7.7880e-01 (7.9347e-01)	Loss TOTAL 1.2029e+00 (1.3212e+00)
Epoch: [0][ 50/168]	L_Src_Sup 1.8126e-01 (5.8495e-01)	L_Trg_Inj 3.9584e-01 (6.1067e-01)	Loss Disc 6.9269e-01 (7.0475e-01)	Loss Pred 7.8436e-01 (7.9470e-01)	Loss TOTAL 1.1884e+00 (1.3019e+00)
Epoch: [0][ 60/168]	L_Src_Sup 1.7550e+00 (5.7185e-01)	L_Trg_Inj 1.8273e+00 (5.9690e-01)	Loss Disc 6.9256e-01 (7.0270e-01)	Loss Pred 7.8129e-01 (7.9282e-01)	Loss TOTAL 1.4858e+00 (1.2948e+00)
Epoch: [0][ 70/168]	L_Src_Sup 3.6517e-01 (5.9191e-01)	L_Trg_Inj 4.3474e-01 (6.4833e-01)	Loss Disc 6.8540e-01 (7.0075e-01)	Loss Pred 7.8725e-01 (7.9064e-01)	Loss TOTAL 1.2099e+00 (1.2944e+00)
Epoch: [0][ 80/168]	L_Src_Sup 2.1145e-01 (5.4450e-01)	L_Trg_Inj 6.7215e-01 (6.2431e-01)	Loss Disc 6.8234e-01 (6.9864e-01)	Loss Pred 7.8376e-01 (7.8964e-01)	Loss TOTAL 1.2133e+00 (1.2827e+00)
Epoch: [0][ 90/168]	L_Src_Sup 3.1037e-01 (5.1127e-01)	L_Trg_Inj 4.4275e-01 (6.0215e-01)	Loss Disc 6.7214e-01 (6.9623e-01)	Loss Pred 7.8097e-01 (7.8819e-01)	Loss TOTAL 1.1924e+00 (1.2730e+00)
Epoch: [0][100/168]	L_Src_Sup 2.9757e-01 (4.8168e-01)	L_Trg_Inj 1.7181e-01 (5.7178e-01)	Loss Disc 6.6157e-01 (6.9328e-01)	Loss Pred 8.4663e-01 (7.8662e-01)	Loss TOTAL 1.3501e+00 (1.2631e+00)
Epoch: [0][110/168]	L_Src_Sup 2.4337e-01 (4.5937e-01)	L_Trg_Inj 2.3399e-01 (5.5653e-01)	Loss Disc 6.5154e-01 (6.9037e-01)	Loss Pred 7.7454e-01 (7.8529e-01)	Loss TOTAL 1.1574e+00 (1.2548e+00)
