Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.219199755650582, std[0]=1.4933710387550707)
Loading Target Train...
Epoch: [0][ 10/140]	L_Src_Sup 4.3807e-01 (1.6457e+00)	L_Trg_Inj 8.1610e-01 (1.7315e+00)	Loss Disc 7.1735e-01 (7.2045e-01)	Loss Pred 9.7306e-01 (9.2002e-01)	Loss TOTAL 1.4571e+00 (1.6199e+00)
Epoch: [0][ 20/140]	L_Src_Sup 3.0914e-01 (9.7622e-01)	L_Trg_Inj 4.0064e-01 (1.0609e+00)	Loss Disc 7.0885e-01 (7.1662e-01)	Loss Pred 9.0942e-01 (9.2112e-01)	Loss TOTAL 1.3348e+00 (1.4864e+00)
Epoch: [0][ 30/140]	L_Src_Sup 1.1072e+00 (7.4735e-01)	L_Trg_Inj 1.1195e+00 (8.4279e-01)	Loss Disc 7.0012e-01 (7.1233e-01)	Loss Pred 9.1715e-01 (9.2145e-01)	Loss TOTAL 1.4899e+00 (1.4393e+00)
Epoch: [0][ 40/140]	L_Src_Sup 1.6285e-01 (6.1126e-01)	L_Trg_Inj 1.4909e-01 (7.0642e-01)	Loss Disc 6.9619e-01 (7.0867e-01)	Loss Pred 9.1714e-01 (9.2341e-01)	Loss TOTAL 1.3102e+00 (1.4126e+00)
Epoch: [0][ 50/140]	L_Src_Sup 2.6343e-01 (5.3148e-01)	L_Trg_Inj 4.0429e-01 (6.2434e-01)	Loss Disc 6.9359e-01 (7.0590e-01)	Loss Pred 8.9280e-01 (9.2490e-01)	Loss TOTAL 1.3064e+00 (1.3959e+00)
Epoch: [0][ 60/140]	L_Src_Sup 1.4742e-01 (4.7344e-01)	L_Trg_Inj 3.5235e-01 (5.6895e-01)	Loss Disc 6.9119e-01 (7.0369e-01)	Loss Pred 8.7641e-01 (9.2549e-01)	Loss TOTAL 1.2720e+00 (1.3836e+00)
Epoch: [0][ 70/140]	L_Src_Sup 2.9917e-01 (4.3860e-01)	L_Trg_Inj 3.4939e-01 (5.3034e-01)	Loss Disc 6.9018e-01 (7.0184e-01)	Loss Pred 9.3324e-01 (9.2309e-01)	Loss TOTAL 1.3432e+00 (1.3732e+00)
Epoch: [0][ 80/140]	L_Src_Sup 2.3891e-01 (4.0753e-01)	L_Trg_Inj 3.6054e-01 (5.0365e-01)	Loss Disc 6.9067e-01 (7.0041e-01)	Loss Pred 8.1694e-01 (9.2229e-01)	Loss TOTAL 1.2222e+00 (1.3656e+00)
Epoch: [0][ 90/140]	L_Src_Sup 1.7845e-01 (3.8674e-01)	L_Trg_Inj 3.2106e-01 (4.7756e-01)	Loss Disc 6.9127e-01 (6.9943e-01)	Loss Pred 9.2479e-01 (9.2239e-01)	Loss TOTAL 1.3204e+00 (1.3630e+00)
Epoch: [0][100/140]	L_Src_Sup 1.3691e-01 (3.6868e-01)	L_Trg_Inj 3.0722e-01 (4.6332e-01)	Loss Disc 6.7819e-01 (6.9793e-01)	Loss Pred 8.4974e-01 (9.2199e-01)	Loss TOTAL 1.2332e+00 (1.3582e+00)
Epoch: [0][110/140]	L_Src_Sup 3.1883e-01 (3.5631e-01)	L_Trg_Inj 2.4325e-01 (4.5665e-01)	Loss Disc 6.7751e-01 (6.9582e-01)	Loss Pred 8.9934e-01 (9.2065e-01)	Loss TOTAL 1.3699e+00 (1.3547e+00)
Epoch: [0][120/140]	L_Src_Sup 2.1268e-01 (3.4292e-01)	L_Trg_Inj 3.1523e-01 (4.4668e-01)	Loss Disc 6.7870e-01 (6.9416e-01)	Loss Pred 9.6762e-01 (9.2093e-01)	Loss TOTAL 1.3598e+00 (1.3514e+00)
Epoch: [0][130/140]	L_Src_Sup 2.3843e-01 (3.3360e-01)	L_Trg_Inj 3.8429e-01 (4.3735e-01)	Loss Disc 6.9402e-01 (6.9374e-01)	Loss Pred 9.3301e-01 (9.2143e-01)	Loss TOTAL 1.3423e+00 (1.3497e+00)
Epoch: [0][140/140]	L_Src_Sup 2.4433e-01 (3.2286e-01)	L_Trg_Inj 2.2764e-01 (4.2531e-01)	Loss Disc 6.9842e-01 (6.9411e-01)	Loss Pred 8.8286e-01 (9.2237e-01)	Loss TOTAL 1.2960e+00 (1.3485e+00)
Epoch: [0][140/140]	L_Src_Sup 2.4433e-01 (3.2286e-01)	L_Trg_Inj 2.2764e-01 (4.2531e-01)	Loss Disc 6.9842e-01 (6.9411e-01)	Loss Pred 8.8286e-01 (9.2237e-01)	Loss TOTAL 1.2960e+00 (1.3485e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/140]	L_Src_Sup 3.5630e-01 (1.9290e-01)	L_Trg_Inj 3.0022e-01 (3.0009e-01)	Loss Disc 6.9487e-01 (6.9622e-01)	Loss Pred 9.0703e-01 (9.2802e-01)	Loss TOTAL 1.3762e+00 (1.3310e+00)
Epoch: [1][ 20/140]	L_Src_Sup 3.1182e-01 (2.1409e-01)	L_Trg_Inj 2.5959e-01 (2.9372e-01)	Loss Disc 6.9534e-01 (6.9570e-01)	Loss Pred 9.2364e-01 (9.1455e-01)	Loss TOTAL 1.3807e+00 (1.3251e+00)
Epoch: [1][ 30/140]	L_Src_Sup 2.4186e-01 (2.1776e-01)	L_Trg_Inj 4.2122e-01 (3.1315e-01)	Loss Disc 6.9479e-01 (6.9538e-01)	Loss Pred 9.2256e-01 (9.1817e-01)	Loss TOTAL 1.3363e+00 (1.3273e+00)
Epoch: [1][ 40/140]	L_Src_Sup 2.6118e-01 (2.0397e-01)	L_Trg_Inj 3.0458e-01 (3.1420e-01)	Loss Disc 6.9409e-01 (6.9511e-01)	Loss Pred 9.8815e-01 (9.1998e-01)	Loss TOTAL 1.3918e+00 (1.3256e+00)
Epoch: [1][ 50/140]	L_Src_Sup 1.7520e-01 (2.0484e-01)	L_Trg_Inj 2.8834e-01 (3.1523e-01)	Loss Disc 6.9383e-01 (6.9488e-01)	Loss Pred 1.0121e+00 (9.2426e-01)	Loss TOTAL 1.4054e+00 (1.3288e+00)
Epoch: [1][ 60/140]	L_Src_Sup 1.9102e-01 (2.0650e-01)	L_Trg_Inj 3.6081e-01 (3.2341e-01)	Loss Disc 6.9388e-01 (6.9472e-01)	Loss Pred 9.0692e-01 (9.2309e-01)	Loss TOTAL 1.3090e+00 (1.3277e+00)
Epoch: [1][ 70/140]	L_Src_Sup 2.7031e-01 (2.1074e-01)	L_Trg_Inj 2.6673e-01 (3.1945e-01)	Loss Disc 6.9383e-01 (6.9459e-01)	Loss Pred 8.6332e-01 (9.1948e-01)	Loss TOTAL 1.2675e+00 (1.3247e+00)
Epoch: [1][ 80/140]	L_Src_Sup 2.2583e-01 (2.1675e-01)	L_Trg_Inj 3.4019e-01 (3.1841e-01)	Loss Disc 6.9330e-01 (6.9444e-01)	Loss Pred 9.0505e-01 (9.1903e-01)	Loss TOTAL 1.3083e+00 (1.3248e+00)
Epoch: [1][ 90/140]	L_Src_Sup 9.5561e-02 (2.1477e-01)	L_Trg_Inj 2.1652e-01 (3.1643e-01)	Loss Disc 6.9328e-01 (6.9431e-01)	Loss Pred 8.9527e-01 (9.1789e-01)	Loss TOTAL 1.2731e+00 (1.3227e+00)
Epoch: [1][100/140]	L_Src_Sup 2.6022e-01 (2.1737e-01)	L_Trg_Inj 3.4228e-01 (3.1499e-01)	Loss Disc 6.9311e-01 (6.9419e-01)	Loss Pred 9.1128e-01 (9.1687e-01)	Loss TOTAL 1.3181e+00 (1.3231e+00)
Epoch: [1][110/140]	L_Src_Sup 2.3527e-01 (2.1623e-01)	L_Trg_Inj 3.3565e-01 (3.1329e-01)	Loss Disc 6.9320e-01 (6.9411e-01)	Loss Pred 9.0032e-01 (9.1800e-01)	Loss TOTAL 1.3040e+00 (1.3245e+00)
Epoch: [1][120/140]	L_Src_Sup 1.2517e-01 (2.1338e-01)	L_Trg_Inj 2.7451e-01 (3.1222e-01)	Loss Disc 6.9351e-01 (6.9404e-01)	Loss Pred 9.2109e-01 (9.1795e-01)	Loss TOTAL 1.3078e+00 (1.3239e+00)
Epoch: [1][130/140]	L_Src_Sup 1.7813e-01 (2.1457e-01)	L_Trg_Inj 3.1063e-01 (3.1323e-01)	Loss Disc 6.9219e-01 (6.9394e-01)	Loss Pred 9.0046e-01 (9.1657e-01)	Loss TOTAL 1.2954e+00 (1.3233e+00)
Epoch: [1][140/140]	L_Src_Sup 2.4469e-01 (2.1369e-01)	L_Trg_Inj 4.3723e-01 (3.1516e-01)	Loss Disc 6.8881e-01 (6.9373e-01)	Loss Pred 8.3412e-01 (9.1409e-01)	Loss TOTAL 1.2467e+00 (1.3204e+00)
Epoch: [1][140/140]	L_Src_Sup 2.4469e-01 (2.1369e-01)	L_Trg_Inj 4.3723e-01 (3.1516e-01)	Loss Disc 6.8881e-01 (6.9373e-01)	Loss Pred 8.3412e-01 (9.1409e-01)	Loss TOTAL 1.2467e+00 (1.3204e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/140]	L_Src_Sup 4.5029e-01 (2.3072e-01)	L_Trg_Inj 6.2205e-01 (3.7443e-01)	Loss Disc 6.8440e-01 (6.8719e-01)	Loss Pred 9.4535e-01 (8.5617e-01)	Loss TOTAL 1.3948e+00 (1.2638e+00)
