Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.528459487976898, std[0]=0.2838205993686952)
Loading Target Train...
Epoch: [0][ 10/140]	L_Src_Sup 8.6050e-01 (1.8012e+00)	L_Trg_Inj 1.1106e+00 (1.8382e+00)	Loss Disc 7.1733e-01 (7.2043e-01)	Loss Pred 7.9753e-01 (8.2830e-01)	Loss TOTAL 1.3533e+00 (1.5527e+00)
Epoch: [0][ 20/140]	L_Src_Sup 2.1531e-01 (1.1180e+00)	L_Trg_Inj 3.7414e-01 (1.1590e+00)	Loss Disc 7.0844e-01 (7.1648e-01)	Loss Pred 8.4322e-01 (8.2980e-01)	Loss TOTAL 1.2564e+00 (1.4475e+00)
Epoch: [0][ 30/140]	L_Src_Sup 2.0337e-01 (8.1984e-01)	L_Trg_Inj 3.5970e-01 (8.8224e-01)	Loss Disc 6.9972e-01 (7.1213e-01)	Loss Pred 8.1532e-01 (8.2023e-01)	Loss TOTAL 1.2215e+00 (1.3677e+00)
Epoch: [0][ 40/140]	L_Src_Sup 2.0390e-01 (6.6945e-01)	L_Trg_Inj 1.5907e-01 (7.3087e-01)	Loss Disc 6.9538e-01 (7.0834e-01)	Loss Pred 8.0342e-01 (8.1534e-01)	Loss TOTAL 1.2322e+00 (1.3285e+00)
Epoch: [0][ 50/140]	L_Src_Sup 1.9941e-01 (5.7696e-01)	L_Trg_Inj 4.1223e-01 (6.4630e-01)	Loss Disc 6.9311e-01 (7.0554e-01)	Loss Pred 8.5387e-01 (8.1879e-01)	Loss TOTAL 1.2616e+00 (1.3093e+00)
Epoch: [0][ 60/140]	L_Src_Sup 2.1238e-01 (5.1323e-01)	L_Trg_Inj 3.7377e-01 (5.8969e-01)	Loss Disc 6.9214e-01 (7.0342e-01)	Loss Pred 7.9723e-01 (8.1532e-01)	Loss TOTAL 1.2019e+00 (1.2920e+00)
Epoch: [0][ 70/140]	L_Src_Sup 3.1113e-01 (4.6801e-01)	L_Trg_Inj 3.9070e-01 (5.5262e-01)	Loss Disc 6.9100e-01 (7.0175e-01)	Loss Pred 8.0335e-01 (8.1498e-01)	Loss TOTAL 1.2190e+00 (1.2805e+00)
Epoch: [0][ 80/140]	L_Src_Sup 2.3139e-01 (4.4402e-01)	L_Trg_Inj 3.7784e-01 (5.3007e-01)	Loss Disc 6.9041e-01 (7.0046e-01)	Loss Pred 7.4462e-01 (8.1436e-01)	Loss TOTAL 1.1507e+00 (1.2733e+00)
Epoch: [0][ 90/140]	L_Src_Sup 1.8917e-01 (4.1845e-01)	L_Trg_Inj 3.3204e-01 (5.0254e-01)	Loss Disc 6.9157e-01 (6.9946e-01)	Loss Pred 7.8739e-01 (8.1041e-01)	Loss TOTAL 1.1853e+00 (1.2631e+00)
Epoch: [0][100/140]	L_Src_Sup 1.2841e-01 (3.9504e-01)	L_Trg_Inj 2.8262e-01 (4.8453e-01)	Loss Disc 6.9241e-01 (6.9867e-01)	Loss Pred 8.5521e-01 (8.0931e-01)	Loss TOTAL 1.2425e+00 (1.2566e+00)
Epoch: [0][110/140]	L_Src_Sup 2.8130e-01 (3.8282e-01)	L_Trg_Inj 3.3534e-01 (4.6817e-01)	Loss Disc 6.9432e-01 (6.9818e-01)	Loss Pred 7.7175e-01 (8.0807e-01)	Loss TOTAL 1.1806e+00 (1.2532e+00)
Epoch: [0][120/140]	L_Src_Sup 3.2586e-01 (3.7189e-01)	L_Trg_Inj 4.0718e-01 (4.6171e-01)	Loss Disc 6.9345e-01 (6.9774e-01)	Loss Pred 7.9914e-01 (8.0685e-01)	Loss TOTAL 1.2192e+00 (1.2495e+00)
Epoch: [0][130/140]	L_Src_Sup 1.6183e-01 (3.5963e-01)	L_Trg_Inj 3.8437e-01 (4.5218e-01)	Loss Disc 6.9336e-01 (6.9741e-01)	Loss Pred 7.7423e-01 (8.0522e-01)	Loss TOTAL 1.1755e+00 (1.2451e+00)
Epoch: [0][140/140]	L_Src_Sup 2.4703e-01 (3.4817e-01)	L_Trg_Inj 2.2707e-01 (4.3951e-01)	Loss Disc 6.9320e-01 (6.9714e-01)	Loss Pred 7.8158e-01 (8.0182e-01)	Loss TOTAL 1.1955e+00 (1.2388e+00)
Epoch: [0][140/140]	L_Src_Sup 2.4703e-01 (3.4817e-01)	L_Trg_Inj 2.2707e-01 (4.3951e-01)	Loss Disc 6.9320e-01 (6.9714e-01)	Loss Pred 7.8158e-01 (8.0182e-01)	Loss TOTAL 1.1955e+00 (1.2388e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/140]	L_Src_Sup 1.4067e-01 (1.6115e-01)	L_Trg_Inj 3.0407e-01 (3.0695e-01)	Loss Disc 6.9317e-01 (6.9355e-01)	Loss Pred 7.9028e-01 (7.8111e-01)	Loss TOTAL 1.1813e+00 (1.1747e+00)
Epoch: [1][ 20/140]	L_Src_Sup 1.3326e-01 (1.6365e-01)	L_Trg_Inj 2.7242e-01 (2.9891e-01)	Loss Disc 6.9424e-01 (6.9366e-01)	Loss Pred 7.5189e-01 (7.7730e-01)	Loss TOTAL 1.1396e+00 (1.1742e+00)
Epoch: [1][ 30/140]	L_Src_Sup 1.6044e-01 (1.7612e-01)	L_Trg_Inj 3.7382e-01 (3.1214e-01)	Loss Disc 6.9363e-01 (6.9370e-01)	Loss Pred 8.0946e-01 (7.7505e-01)	Loss TOTAL 1.2097e+00 (1.1733e+00)
Epoch: [1][ 40/140]	L_Src_Sup 2.3206e-01 (1.8791e-01)	L_Trg_Inj 3.0281e-01 (3.0986e-01)	Loss Disc 6.9421e-01 (6.9369e-01)	Loss Pred 6.9503e-01 (7.7320e-01)	Loss TOTAL 1.0956e+00 (1.1763e+00)
Epoch: [1][ 50/140]	L_Src_Sup 2.1875e-01 (1.9338e-01)	L_Trg_Inj 3.1598e-01 (3.1172e-01)	Loss Disc 6.9428e-01 (6.9375e-01)	Loss Pred 7.5522e-01 (7.7464e-01)	Loss TOTAL 1.1558e+00 (1.1782e+00)
Epoch: [1][ 60/140]	L_Src_Sup 2.3393e-01 (1.9590e-01)	L_Trg_Inj 3.3950e-01 (3.1926e-01)	Loss Disc 6.9408e-01 (6.9382e-01)	Loss Pred 7.2637e-01 (7.7204e-01)	Loss TOTAL 1.1308e+00 (1.1756e+00)
Epoch: [1][ 70/140]	L_Src_Sup 2.4987e-01 (2.0256e-01)	L_Trg_Inj 2.5722e-01 (3.1867e-01)	Loss Disc 6.9391e-01 (6.9383e-01)	Loss Pred 7.5016e-01 (7.6872e-01)	Loss TOTAL 1.1478e+00 (1.1727e+00)
Epoch: [1][ 80/140]	L_Src_Sup 2.1117e-01 (2.0206e-01)	L_Trg_Inj 3.2162e-01 (3.1795e-01)	Loss Disc 6.9340e-01 (6.9381e-01)	Loss Pred 7.8776e-01 (7.6838e-01)	Loss TOTAL 1.1877e+00 (1.1719e+00)
Epoch: [1][ 90/140]	L_Src_Sup 1.8146e-01 (2.0158e-01)	L_Trg_Inj 2.2519e-01 (3.1711e-01)	Loss Disc 6.9307e-01 (6.9372e-01)	Loss Pred 6.6186e-01 (7.6588e-01)	Loss TOTAL 1.0491e+00 (1.1687e+00)
Epoch: [1][100/140]	L_Src_Sup 3.0494e-01 (2.0262e-01)	L_Trg_Inj 3.4896e-01 (3.1685e-01)	Loss Disc 6.9256e-01 (6.9361e-01)	Loss Pred 6.9947e-01 (7.6429e-01)	Loss TOTAL 1.1111e+00 (1.1677e+00)
Epoch: [1][110/140]	L_Src_Sup 2.1349e-01 (2.0290e-01)	L_Trg_Inj 3.4356e-01 (3.1517e-01)	Loss Disc 6.9189e-01 (6.9351e-01)	Loss Pred 7.8052e-01 (7.6376e-01)	Loss TOTAL 1.1822e+00 (1.1666e+00)
Epoch: [1][120/140]	L_Src_Sup 1.2171e-01 (2.0313e-01)	L_Trg_Inj 2.7512e-01 (3.1326e-01)	Loss Disc 6.9253e-01 (6.9342e-01)	Loss Pred 7.4617e-01 (7.6362e-01)	Loss TOTAL 1.1321e+00 (1.1664e+00)
Epoch: [1][130/140]	L_Src_Sup 1.7390e-01 (2.0607e-01)	L_Trg_Inj 3.2090e-01 (3.1528e-01)	Loss Disc 6.8052e-01 (6.9302e-01)	Loss Pred 7.2128e-01 (7.6150e-01)	Loss TOTAL 1.1110e+00 (1.1651e+00)
Epoch: [1][140/140]	L_Src_Sup 1.7678e-01 (2.0594e-01)	L_Trg_Inj 4.7032e-01 (3.1818e-01)	Loss Disc 6.6677e-01 (6.9177e-01)	Loss Pred 7.8096e-01 (7.5967e-01)	Loss TOTAL 1.1791e+00 (1.1626e+00)
Epoch: [1][140/140]	L_Src_Sup 1.7678e-01 (2.0594e-01)	L_Trg_Inj 4.7032e-01 (3.1818e-01)	Loss Disc 6.6677e-01 (6.9177e-01)	Loss Pred 7.8096e-01 (7.5967e-01)	Loss TOTAL 1.1791e+00 (1.1626e+00)
Epoch 1 complete. Saving model state...
Epoch: [2][ 10/140]	L_Src_Sup 1.3616e-01 (1.9018e-01)	L_Trg_Inj 2.7818e-01 (3.2982e-01)	Loss Disc 6.7366e-01 (6.7034e-01)	Loss Pred 6.7714e-01 (6.9047e-01)	Loss TOTAL 1.0554e+00 (1.0776e+00)
Epoch: [2][ 20/140]	L_Src_Sup 2.0792e-01 (3.0238e-01)	L_Trg_Inj 2.9113e-01 (3.6191e-01)	Loss Disc 6.9406e-01 (6.8150e-01)	Loss Pred 7.8224e-01 (7.2738e-01)	Loss TOTAL 1.1792e+00 (1.1838e+00)
Epoch: [2][ 30/140]	L_Src_Sup 2.1849e-01 (2.7348e-01)	L_Trg_Inj 9.3661e-01 (4.7649e-01)	Loss Disc 6.9328e-01 (6.8558e-01)	Loss Pred 8.4783e-01 (7.4480e-01)	Loss TOTAL 1.3100e+00 (1.1973e+00)
Epoch: [2][ 40/140]	L_Src_Sup 2.5966e-01 (2.5934e-01)	L_Trg_Inj 8.1477e-01 (5.7865e-01)	Loss Disc 6.9222e-01 (6.8740e-01)	Loss Pred 6.8541e-01 (7.3735e-01)	Loss TOTAL 1.1390e+00 (1.1909e+00)
Epoch: [2][ 50/140]	L_Src_Sup 9.4743e-02 (2.4985e-01)	L_Trg_Inj 9.0553e-01 (6.3679e-01)	Loss Disc 6.8807e-01 (6.8805e-01)	Loss Pred 7.9319e-01 (7.3883e-01)	Loss TOTAL 1.2373e+00 (1.1923e+00)
Epoch: [2][ 60/140]	L_Src_Sup 2.1284e-01 (2.4048e-01)	L_Trg_Inj 8.4740e-01 (6.7435e-01)	Loss Disc 6.6591e-01 (6.8551e-01)	Loss Pred 7.1011e-01 (7.3314e-01)	Loss TOTAL 1.1491e+00 (1.1847e+00)
Epoch: [2][ 70/140]	L_Src_Sup 2.3614e-01 (2.3542e-01)	L_Trg_Inj 8.3748e-01 (6.9868e-01)	Loss Disc 6.6160e-01 (6.8217e-01)	Loss Pred 6.3370e-01 (7.2281e-01)	Loss TOTAL 1.0719e+00 (1.1722e+00)
Epoch: [2][ 80/140]	L_Src_Sup 2.2616e-01 (2.3293e-01)	L_Trg_Inj 4.2172e-01 (7.0534e-01)	Loss Disc 6.6091e-01 (6.7975e-01)	Loss Pred 6.3313e-01 (7.1694e-01)	Loss TOTAL 1.0284e+00 (1.1636e+00)
Epoch: [2][ 90/140]	L_Src_Sup 2.8976e-01 (2.3215e-01)	L_Trg_Inj 2.9529e-01 (6.7146e-01)	Loss Disc 6.6922e-01 (6.7857e-01)	Loss Pred 7.0238e-01 (7.1189e-01)	Loss TOTAL 1.0955e+00 (1.1549e+00)
Epoch: [2][100/140]	L_Src_Sup 1.9284e-01 (2.3189e-01)	L_Trg_Inj 3.0558e-01 (6.3717e-01)	Loss Disc 6.8723e-01 (6.7837e-01)	Loss Pred 6.4779e-01 (7.0436e-01)	Loss TOTAL 1.0412e+00 (1.1435e+00)
Epoch: [2][110/140]	L_Src_Sup 2.1925e-01 (2.3246e-01)	L_Trg_Inj 3.1915e-01 (6.0986e-01)	Loss Disc 6.9188e-01 (6.7937e-01)	Loss Pred 6.9757e-01 (7.0047e-01)	Loss TOTAL 1.0974e+00 (1.1363e+00)
Epoch: [2][120/140]	L_Src_Sup 1.9865e-01 (2.3184e-01)	L_Trg_Inj 2.7218e-01 (5.9065e-01)	Loss Disc 6.7565e-01 (6.7913e-01)	Loss Pred 6.7100e-01 (6.9500e-01)	Loss TOTAL 1.0559e+00 (1.1290e+00)
Epoch: [2][130/140]	L_Src_Sup 2.5131e-01 (2.3278e-01)	L_Trg_Inj 2.8047e-01 (5.7145e-01)	Loss Disc 6.7915e-01 (6.7828e-01)	Loss Pred 5.6950e-01 (6.8848e-01)	Loss TOTAL 9.6226e-01 (1.1198e+00)
Epoch: [2][140/140]	L_Src_Sup 2.0770e-01 (2.2940e-01)	L_Trg_Inj 2.1249e-01 (5.5232e-01)	Loss Disc 6.8020e-01 (6.7793e-01)	Loss Pred 5.7921e-01 (6.8336e-01)	Loss TOTAL 9.6133e-01 (1.1115e+00)
Epoch: [2][140/140]	L_Src_Sup 2.0770e-01 (2.2940e-01)	L_Trg_Inj 2.1249e-01 (5.5232e-01)	Loss Disc 6.8020e-01 (6.7793e-01)	Loss Pred 5.7921e-01 (6.8336e-01)	Loss TOTAL 9.6133e-01 (1.1115e+00)
Epoch 2 complete. Saving model state...
Epoch: [3][ 10/140]	L_Src_Sup 1.9560e-01 (1.9383e-01)	L_Trg_Inj 3.5589e-01 (3.0803e-01)	Loss Disc 7.0134e-01 (6.8807e-01)	Loss Pred 6.0574e-01 (6.0856e-01)	Loss TOTAL 1.0116e+00 (1.0038e+00)
Epoch: [3][ 20/140]	L_Src_Sup 2.5645e-01 (1.9465e-01)	L_Trg_Inj 2.4254e-01 (2.9099e-01)	Loss Disc 6.9447e-01 (6.9219e-01)	Loss Pred 6.1896e-01 (5.9567e-01)	Loss TOTAL 1.0300e+00 (9.9362e-01)
Epoch: [3][ 30/140]	L_Src_Sup 1.7295e-01 (1.8997e-01)	L_Trg_Inj 3.6531e-01 (3.1398e-01)	Loss Disc 6.9380e-01 (6.9282e-01)	Loss Pred 5.5847e-01 (5.8150e-01)	Loss TOTAL 9.5920e-01 (9.8050e-01)
Epoch: [3][ 40/140]	L_Src_Sup 2.2905e-01 (2.0028e-01)	L_Trg_Inj 2.7416e-01 (3.1464e-01)	Loss Disc 6.9375e-01 (6.9303e-01)	Loss Pred 5.7616e-01 (5.7667e-01)	Loss TOTAL 9.7336e-01 (9.7864e-01)
Epoch: [3][ 50/140]	L_Src_Sup 1.8585e-01 (1.9651e-01)	L_Trg_Inj 3.4725e-01 (3.1241e-01)	Loss Disc 6.9354e-01 (6.9312e-01)	Loss Pred 5.3333e-01 (5.7179e-01)	Loss TOTAL 9.3341e-01 (9.7268e-01)
Epoch: [3][ 60/140]	L_Src_Sup 2.0193e-01 (1.9506e-01)	L_Trg_Inj 4.7790e-01 (3.1397e-01)	Loss Disc 6.9325e-01 (6.9316e-01)	Loss Pred 5.0924e-01 (5.6905e-01)	Loss TOTAL 9.2385e-01 (9.6944e-01)
Epoch: [3][ 70/140]	L_Src_Sup 2.1240e-01 (1.9490e-01)	L_Trg_Inj 3.2855e-01 (3.1338e-01)	Loss Disc 6.9324e-01 (6.9318e-01)	Loss Pred 5.4721e-01 (5.6436e-01)	Loss TOTAL 9.4792e-01 (9.6470e-01)
Epoch: [3][ 80/140]	L_Src_Sup 1.8848e-01 (1.9467e-01)	L_Trg_Inj 3.8472e-01 (3.1354e-01)	Loss Disc 6.9325e-01 (6.9320e-01)	Loss Pred 5.1089e-01 (5.5755e-01)	Loss TOTAL 9.1483e-01 (9.5753e-01)
Epoch: [3][ 90/140]	L_Src_Sup 2.4166e-01 (1.9696e-01)	L_Trg_Inj 3.5471e-01 (3.1164e-01)	Loss Disc 6.9315e-01 (6.9322e-01)	Loss Pred 5.7124e-01 (5.5465e-01)	Loss TOTAL 9.7745e-01 (9.5463e-01)
Epoch: [3][100/140]	L_Src_Sup 2.6323e-01 (1.9643e-01)	L_Trg_Inj 2.9092e-01 (3.0872e-01)	Loss Disc 6.9325e-01 (6.9323e-01)	Loss Pred 5.1836e-01 (5.5020e-01)	Loss TOTAL 9.2040e-01 (9.4981e-01)
Epoch: [3][110/140]	L_Src_Sup 2.2464e-01 (1.9309e-01)	L_Trg_Inj 3.3736e-01 (3.0776e-01)	Loss Disc 6.9314e-01 (6.9323e-01)	Loss Pred 4.9830e-01 (5.4631e-01)	Loss TOTAL 9.0107e-01 (9.4527e-01)
Epoch: [3][120/140]	L_Src_Sup 1.7472e-01 (1.9098e-01)	L_Trg_Inj 3.9907e-01 (3.0706e-01)	Loss Disc 6.9298e-01 (6.9322e-01)	Loss Pred 4.9898e-01 (5.4224e-01)	Loss TOTAL 9.0285e-01 (9.4072e-01)
Epoch: [3][130/140]	L_Src_Sup 1.4108e-01 (1.9015e-01)	L_Trg_Inj 4.0460e-01 (3.0889e-01)	Loss Disc 6.9248e-01 (6.9319e-01)	Loss Pred 5.0020e-01 (5.3941e-01)	Loss TOTAL 9.0101e-01 (9.3782e-01)
Epoch: [3][140/140]	L_Src_Sup 2.0937e-01 (1.9139e-01)	L_Trg_Inj 2.8662e-01 (3.0675e-01)	Loss Disc 6.8940e-01 (6.9307e-01)	Loss Pred 4.8884e-01 (5.3600e-01)	Loss TOTAL 8.8314e-01 (9.3416e-01)
Epoch: [3][140/140]	L_Src_Sup 2.0937e-01 (1.9139e-01)	L_Trg_Inj 2.8662e-01 (3.0675e-01)	Loss Disc 6.8940e-01 (6.9307e-01)	Loss Pred 4.8884e-01 (5.3600e-01)	Loss TOTAL 8.8314e-01 (9.3416e-01)
Epoch 3 complete. Saving model state...
Epoch: [4][ 10/140]	L_Src_Sup 2.8716e-01 (1.7997e-01)	L_Trg_Inj 4.1085e-01 (2.9205e-01)	Loss Disc 6.7388e-01 (6.8137e-01)	Loss Pred 4.6704e-01 (4.8348e-01)	Loss TOTAL 8.7378e-01 (8.7579e-01)
Epoch: [4][ 20/140]	L_Src_Sup 1.5678e-01 (1.9675e-01)	L_Trg_Inj 3.2657e-01 (2.9233e-01)	Loss Disc 6.7875e-01 (6.7949e-01)	Loss Pred 4.6349e-01 (4.8516e-01)	Loss TOTAL 8.5120e-01 (8.7720e-01)
Epoch: [4][ 30/140]	L_Src_Sup 2.4116e-01 (2.0808e-01)	L_Trg_Inj 3.9634e-01 (3.0535e-01)	Loss Disc 6.9234e-01 (6.8346e-01)	Loss Pred 4.8226e-01 (4.8303e-01)	Loss TOTAL 8.9218e-01 (8.8067e-01)
Epoch: [4][ 40/140]	L_Src_Sup 3.2253e-01 (2.0770e-01)	L_Trg_Inj 2.7002e-01 (3.0561e-01)	Loss Disc 6.9289e-01 (6.8487e-01)	Loss Pred 5.0101e-01 (4.8203e-01)	Loss TOTAL 9.5922e-01 (8.8054e-01)
Epoch: [4][ 50/140]	L_Src_Sup 1.8555e-01 (2.0577e-01)	L_Trg_Inj 2.4337e-01 (3.1105e-01)	Loss Disc 6.8441e-01 (6.8461e-01)	Loss Pred 5.2101e-01 (4.8140e-01)	Loss TOTAL 9.0610e-01 (8.7918e-01)
Epoch: [4][ 60/140]	L_Src_Sup 1.6288e-01 (2.0208e-01)	L_Trg_Inj 3.0071e-01 (3.1322e-01)	Loss Disc 6.8231e-01 (6.8378e-01)	Loss Pred 5.0124e-01 (4.8050e-01)	Loss TOTAL 8.8875e-01 (8.7708e-01)
Epoch: [4][ 70/140]	L_Src_Sup 1.1683e-01 (1.9898e-01)	L_Trg_Inj 2.9337e-01 (3.1432e-01)	Loss Disc 6.8743e-01 (6.8389e-01)	Loss Pred 4.6402e-01 (4.7843e-01)	Loss TOTAL 8.4875e-01 (8.7442e-01)
Epoch: [4][ 80/140]	L_Src_Sup 2.4851e-01 (1.9782e-01)	L_Trg_Inj 2.7839e-01 (3.0968e-01)	Loss Disc 6.8894e-01 (6.8473e-01)	Loss Pred 4.8739e-01 (4.7871e-01)	Loss TOTAL 8.8455e-01 (8.7419e-01)
Epoch: [4][ 90/140]	L_Src_Sup 1.9785e-01 (1.9579e-01)	L_Trg_Inj 3.8565e-01 (3.1124e-01)	Loss Disc 6.8105e-01 (6.8481e-01)	Loss Pred 4.5624e-01 (4.7829e-01)	Loss TOTAL 8.5512e-01 (8.7351e-01)
Epoch: [4][100/140]	L_Src_Sup 1.6004e-01 (1.9420e-01)	L_Trg_Inj 2.0179e-01 (3.0643e-01)	Loss Disc 6.8849e-01 (6.8512e-01)	Loss Pred 4.8629e-01 (4.7857e-01)	Loss TOTAL 8.6672e-01 (8.7431e-01)
Epoch: [4][110/140]	L_Src_Sup 2.5511e-01 (1.9342e-01)	L_Trg_Inj 2.4418e-01 (3.0398e-01)	Loss Disc 6.9014e-01 (6.8547e-01)	Loss Pred 5.0403e-01 (4.7904e-01)	Loss TOTAL 9.0996e-01 (8.7445e-01)
Epoch: [4][120/140]	L_Src_Sup 1.5292e-01 (1.9172e-01)	L_Trg_Inj 3.3955e-01 (3.0340e-01)	Loss Disc 6.8774e-01 (6.8577e-01)	Loss Pred 4.5464e-01 (4.7873e-01)	Loss TOTAL 8.4776e-01 (8.7382e-01)
Epoch: [4][130/140]	L_Src_Sup 1.4197e-01 (1.9111e-01)	L_Trg_Inj 3.0793e-01 (3.0275e-01)	Loss Disc 6.8906e-01 (6.8600e-01)	Loss Pred 4.6888e-01 (4.7840e-01)	Loss TOTAL 8.5840e-01 (8.7328e-01)
Epoch: [4][140/140]	L_Src_Sup 1.8241e-01 (1.9275e-01)	L_Trg_Inj 3.0990e-01 (3.0105e-01)	Loss Disc 6.8186e-01 (6.8599e-01)	Loss Pred 4.3531e-01 (4.7769e-01)	Loss TOTAL 8.2547e-01 (8.7403e-01)
Epoch: [4][140/140]	L_Src_Sup 1.8241e-01 (1.9275e-01)	L_Trg_Inj 3.0990e-01 (3.0105e-01)	Loss Disc 6.8186e-01 (6.8599e-01)	Loss Pred 4.3531e-01 (4.7769e-01)	Loss TOTAL 8.2547e-01 (8.7403e-01)
Epoch 4 complete. Saving model state...
Epoch: [5][ 10/140]	L_Src_Sup 1.9041e-01 (2.2133e-01)	L_Trg_Inj 3.5276e-01 (3.0294e-01)	Loss Disc 6.8467e-01 (6.8854e-01)	Loss Pred 4.6629e-01 (4.7658e-01)	Loss TOTAL 8.6295e-01 (8.7502e-01)
Epoch: [5][ 20/140]	L_Src_Sup 1.5160e-01 (2.0256e-01)	L_Trg_Inj 2.0236e-01 (3.0693e-01)	Loss Disc 6.9103e-01 (6.8873e-01)	Loss Pred 4.4796e-01 (4.7751e-01)	Loss TOTAL 8.2887e-01 (8.7411e-01)
Epoch: [5][ 30/140]	L_Src_Sup 2.3654e-01 (2.1540e-01)	L_Trg_Inj 2.9437e-01 (3.0243e-01)	Loss Disc 6.8724e-01 (6.8803e-01)	Loss Pred 4.4791e-01 (4.7289e-01)	Loss TOTAL 8.4463e-01 (8.7115e-01)
