Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.916930489982846, std[0]=2.694687994693646)
Loading Target Train...
Epoch: [0][ 10/441]	L_Src_Sup 1.9999e+00 (1.9999e+00)	L_Trg_Inj 1.9998e+00 (1.9999e+00)	Loss Disc 7.1741e-01 (7.2094e-01)	Loss Pred 7.7312e-01 (7.8147e-01)	Loss TOTAL 1.5319e+00 (1.5420e+00)
Epoch: [0][ 20/441]	L_Src_Sup 1.9989e+00 (1.9996e+00)	L_Trg_Inj 1.9992e+00 (1.9996e+00)	Loss Disc 7.0615e-01 (7.1621e-01)	Loss Pred 7.4265e-01 (7.8149e-01)	Loss TOTAL 1.4955e+00 (1.5396e+00)
Epoch: [0][ 30/441]	L_Src_Sup 1.2735e+00 (1.8078e+00)	L_Trg_Inj 1.2820e+00 (1.7940e+00)	Loss Disc 6.9788e-01 (7.1111e-01)	Loss Pred 7.2027e-01 (7.8003e-01)	Loss TOTAL 1.3248e+00 (1.5175e+00)
Epoch: [0][ 40/441]	L_Src_Sup 5.3247e-01 (1.5239e+00)	L_Trg_Inj 4.0891e-01 (1.4985e+00)	Loss Disc 6.9507e-01 (7.0734e-01)	Loss Pred 7.3145e-01 (7.7784e-01)	Loss TOTAL 1.2967e+00 (1.4682e+00)
Epoch: [0][ 50/441]	L_Src_Sup 5.6413e-01 (1.3166e+00)	L_Trg_Inj 6.7424e-01 (1.2906e+00)	Loss Disc 6.9433e-01 (7.0478e-01)	Loss Pred 7.6226e-01 (7.7492e-01)	Loss TOTAL 1.2333e+00 (1.4266e+00)
Epoch: [0][ 60/441]	L_Src_Sup 4.1423e-01 (1.1873e+00)	L_Trg_Inj 5.8266e-01 (1.1720e+00)	Loss Disc 6.9381e-01 (7.0299e-01)	Loss Pred 7.5779e-01 (7.7133e-01)	Loss TOTAL 1.2044e+00 (1.3947e+00)
Epoch: [0][ 70/441]	L_Src_Sup 4.0179e-01 (1.0723e+00)	L_Trg_Inj 4.0980e-01 (1.0563e+00)	Loss Disc 6.9370e-01 (7.0165e-01)	Loss Pred 7.8208e-01 (7.6849e-01)	Loss TOTAL 1.2101e+00 (1.3693e+00)
Epoch: [0][ 80/441]	L_Src_Sup 7.9646e-01 (1.0052e+00)	L_Trg_Inj 7.0185e-01 (9.9307e-01)	Loss Disc 6.9363e-01 (7.0064e-01)	Loss Pred 7.3958e-01 (7.6522e-01)	Loss TOTAL 1.3308e+00 (1.3527e+00)
Epoch: [0][ 90/441]	L_Src_Sup 2.2067e-01 (9.3925e-01)	L_Trg_Inj 2.9911e-01 (9.3931e-01)	Loss Disc 6.9310e-01 (6.9982e-01)	Loss Pred 7.2437e-01 (7.6305e-01)	Loss TOTAL 1.1229e+00 (1.3340e+00)
Epoch: [0][100/441]	L_Src_Sup 3.8287e-01 (8.8123e-01)	L_Trg_Inj 3.7394e-01 (8.8344e-01)	Loss Disc 6.9326e-01 (6.9915e-01)	Loss Pred 6.9952e-01 (7.6242e-01)	Loss TOTAL 1.1308e+00 (1.3210e+00)
Epoch: [0][110/441]	L_Src_Sup 6.1989e-01 (8.4164e-01)	L_Trg_Inj 7.7906e-01 (8.4924e-01)	Loss Disc 6.9317e-01 (6.9860e-01)	Loss Pred 7.1583e-01 (7.5815e-01)	Loss TOTAL 1.2023e+00 (1.3081e+00)
Epoch: [0][120/441]	L_Src_Sup 3.6500e-01 (8.0411e-01)	L_Trg_Inj 3.3749e-01 (8.1298e-01)	Loss Disc 6.9293e-01 (6.9812e-01)	Loss Pred 7.1060e-01 (7.5722e-01)	Loss TOTAL 1.1548e+00 (1.2997e+00)
Epoch: [0][130/441]	L_Src_Sup 4.6401e-01 (7.7248e-01)	L_Trg_Inj 4.5728e-01 (7.8172e-01)	Loss Disc 6.9293e-01 (6.9768e-01)	Loss Pred 7.8431e-01 (7.5608e-01)	Loss TOTAL 1.2296e+00 (1.2930e+00)
Epoch: [0][140/441]	L_Src_Sup 4.1389e-01 (7.4472e-01)	L_Trg_Inj 5.4418e-01 (7.5343e-01)	Loss Disc 6.9241e-01 (6.9729e-01)	Loss Pred 7.0224e-01 (7.5405e-01)	Loss TOTAL 1.1443e+00 (1.2850e+00)
Epoch: [0][150/441]	L_Src_Sup 2.3566e-01 (7.1551e-01)	L_Trg_Inj 2.8336e-01 (7.2288e-01)	Loss Disc 6.9038e-01 (6.9690e-01)	Loss Pred 7.0850e-01 (7.5116e-01)	Loss TOTAL 1.1056e+00 (1.2766e+00)
Epoch: [0][160/441]	L_Src_Sup 4.1261e-01 (6.9106e-01)	L_Trg_Inj 2.5152e-01 (6.9606e-01)	Loss Disc 6.9193e-01 (6.9654e-01)	Loss Pred 7.0446e-01 (7.4883e-01)	Loss TOTAL 1.2779e+00 (1.2712e+00)
Epoch: [0][170/441]	L_Src_Sup 3.4852e-01 (6.7250e-01)	L_Trg_Inj 3.0810e-01 (6.7778e-01)	Loss Disc 6.9116e-01 (6.9621e-01)	Loss Pred 7.0069e-01 (7.4647e-01)	Loss TOTAL 1.1524e+00 (1.2642e+00)
Epoch: [0][180/441]	L_Src_Sup 2.6864e-01 (6.5441e-01)	L_Trg_Inj 2.5297e-01 (6.6444e-01)	Loss Disc 6.8603e-01 (6.9570e-01)	Loss Pred 6.3429e-01 (7.4523e-01)	Loss TOTAL 1.0451e+00 (1.2579e+00)
Epoch: [0][190/441]	L_Src_Sup 3.9607e-01 (6.4005e-01)	L_Trg_Inj 7.2221e-01 (6.5260e-01)	Loss Disc 6.8367e-01 (6.9521e-01)	Loss Pred 7.1914e-01 (7.4286e-01)	Loss TOTAL 1.1728e+00 (1.2525e+00)
Epoch: [0][200/441]	L_Src_Sup 3.4590e-01 (6.2573e-01)	L_Trg_Inj 4.4814e-01 (6.4007e-01)	Loss Disc 6.7895e-01 (6.9452e-01)	Loss Pred 7.1522e-01 (7.4213e-01)	Loss TOTAL 1.1341e+00 (1.2478e+00)
Epoch: [0][210/441]	L_Src_Sup 3.5831e-01 (6.1278e-01)	L_Trg_Inj 3.2174e-01 (6.3049e-01)	Loss Disc 6.8235e-01 (6.9370e-01)	Loss Pred 7.3875e-01 (7.4102e-01)	Loss TOTAL 1.1845e+00 (1.2429e+00)
Epoch: [0][220/441]	L_Src_Sup 5.7309e-01 (6.0496e-01)	L_Trg_Inj 7.6703e-01 (6.2481e-01)	Loss Disc 6.8509e-01 (6.9324e-01)	Loss Pred 7.1091e-01 (7.3962e-01)	Loss TOTAL 1.1875e+00 (1.2394e+00)
Epoch: [0][230/441]	L_Src_Sup 4.9263e-01 (5.9313e-01)	L_Trg_Inj 2.5990e-01 (6.1482e-01)	Loss Disc 6.8777e-01 (6.9266e-01)	Loss Pred 6.3688e-01 (7.3774e-01)	Loss TOTAL 1.2887e+00 (1.2348e+00)
Epoch: [0][240/441]	L_Src_Sup 3.6765e-01 (5.8308e-01)	L_Trg_Inj 3.7722e-01 (6.0468e-01)	Loss Disc 6.8272e-01 (6.9209e-01)	Loss Pred 7.1705e-01 (7.3670e-01)	Loss TOTAL 1.1329e+00 (1.2316e+00)
Epoch: [0][250/441]	L_Src_Sup 2.6009e-01 (5.7418e-01)	L_Trg_Inj 3.5100e-01 (5.9904e-01)	Loss Disc 6.7313e-01 (6.9168e-01)	Loss Pred 6.8550e-01 (7.3456e-01)	Loss TOTAL 1.0832e+00 (1.2271e+00)
Epoch: [0][260/441]	L_Src_Sup 3.0555e-01 (5.6267e-01)	L_Trg_Inj 3.2780e-01 (5.8650e-01)	Loss Disc 6.8505e-01 (6.9124e-01)	Loss Pred 7.2641e-01 (7.3256e-01)	Loss TOTAL 1.1323e+00 (1.2224e+00)
Epoch: [0][270/441]	L_Src_Sup 2.3088e-01 (5.5618e-01)	L_Trg_Inj 4.0679e-01 (5.8208e-01)	Loss Disc 6.8883e-01 (6.9107e-01)	Loss Pred 6.7943e-01 (7.3008e-01)	Loss TOTAL 1.0876e+00 (1.2185e+00)
Epoch: [0][280/441]	L_Src_Sup 3.7442e-01 (5.4738e-01)	L_Trg_Inj 3.8048e-01 (5.7379e-01)	Loss Disc 6.8001e-01 (6.9074e-01)	Loss Pred 8.1214e-01 (7.2879e-01)	Loss TOTAL 1.2276e+00 (1.2146e+00)
Epoch: [0][290/441]	L_Src_Sup 3.7406e-01 (5.3819e-01)	L_Trg_Inj 3.4547e-01 (5.6586e-01)	Loss Disc 6.8524e-01 (6.9042e-01)	Loss Pred 7.3470e-01 (7.2754e-01)	Loss TOTAL 1.1779e+00 (1.2110e+00)
Epoch: [0][300/441]	L_Src_Sup 2.4025e-01 (5.3136e-01)	L_Trg_Inj 4.0929e-01 (5.5918e-01)	Loss Disc 6.7508e-01 (6.9016e-01)	Loss Pred 6.2258e-01 (7.2571e-01)	Loss TOTAL 1.0251e+00 (1.2076e+00)
Epoch: [0][310/441]	L_Src_Sup 5.2494e-01 (5.2440e-01)	L_Trg_Inj 5.7253e-01 (5.5243e-01)	Loss Disc 6.8538e-01 (6.9000e-01)	Loss Pred 5.7143e-01 (7.2387e-01)	Loss TOTAL 1.0239e+00 (1.2039e+00)
Epoch: [0][320/441]	L_Src_Sup 3.4878e-01 (5.1732e-01)	L_Trg_Inj 4.4979e-01 (5.4790e-01)	Loss Disc 6.9151e-01 (6.8995e-01)	Loss Pred 6.8129e-01 (7.2225e-01)	Loss TOTAL 1.1069e+00 (1.2003e+00)
Epoch: [0][330/441]	L_Src_Sup 3.4610e-01 (5.1081e-01)	L_Trg_Inj 2.5133e-01 (5.4213e-01)	Loss Disc 6.9335e-01 (6.8996e-01)	Loss Pred 6.6287e-01 (7.2000e-01)	Loss TOTAL 1.1641e+00 (1.1965e+00)
Epoch: [0][340/441]	L_Src_Sup 3.0874e-01 (5.0389e-01)	L_Trg_Inj 3.9731e-01 (5.3718e-01)	Loss Disc 6.8706e-01 (6.8997e-01)	Loss Pred 6.5810e-01 (7.1866e-01)	Loss TOTAL 1.0722e+00 (1.1933e+00)
Epoch: [0][350/441]	L_Src_Sup 2.9535e-01 (4.9837e-01)	L_Trg_Inj 5.1513e-01 (5.3007e-01)	Loss Disc 6.9048e-01 (6.8998e-01)	Loss Pred 6.5647e-01 (7.1701e-01)	Loss TOTAL 1.0828e+00 (1.1912e+00)
Epoch: [0][360/441]	L_Src_Sup 2.2941e-01 (4.9242e-01)	L_Trg_Inj 2.4537e-01 (5.2550e-01)	Loss Disc 6.9457e-01 (6.8999e-01)	Loss Pred 7.0508e-01 (7.1517e-01)	Loss TOTAL 1.0998e+00 (1.1877e+00)
Epoch: [0][370/441]	L_Src_Sup 1.8903e-01 (4.8719e-01)	L_Trg_Inj 4.1476e-01 (5.2018e-01)	Loss Disc 6.9158e-01 (6.8998e-01)	Loss Pred 6.5058e-01 (7.1316e-01)	Loss TOTAL 1.0568e+00 (1.1846e+00)
Epoch: [0][380/441]	L_Src_Sup 3.1278e-01 (4.8271e-01)	L_Trg_Inj 5.0389e-01 (5.1789e-01)	Loss Disc 6.9016e-01 (6.8995e-01)	Loss Pred 5.3881e-01 (7.1167e-01)	Loss TOTAL 9.6556e-01 (1.1821e+00)
Epoch: [0][390/441]	L_Src_Sup 3.9339e-01 (4.7935e-01)	L_Trg_Inj 6.6266e-01 (5.1668e-01)	Loss Disc 6.8994e-01 (6.8997e-01)	Loss Pred 6.8208e-01 (7.0963e-01)	Loss TOTAL 1.1327e+00 (1.1796e+00)
Epoch: [0][400/441]	L_Src_Sup 4.1034e-01 (4.7572e-01)	L_Trg_Inj 3.8055e-01 (5.1404e-01)	Loss Disc 6.9130e-01 (6.8999e-01)	Loss Pred 6.2390e-01 (7.0799e-01)	Loss TOTAL 1.0784e+00 (1.1768e+00)
Epoch: [0][410/441]	L_Src_Sup 2.2728e-01 (4.7092e-01)	L_Trg_Inj 2.4932e-01 (5.1167e-01)	Loss Disc 6.9541e-01 (6.9003e-01)	Loss Pred 7.1739e-01 (7.0730e-01)	Loss TOTAL 1.1128e+00 (1.1748e+00)
Epoch: [0][420/441]	L_Src_Sup 2.9306e-01 (4.6580e-01)	L_Trg_Inj 3.1727e-01 (5.0690e-01)	Loss Disc 6.8985e-01 (6.9004e-01)	Loss Pred 6.9469e-01 (7.0571e-01)	Loss TOTAL 1.1006e+00 (1.1720e+00)
Epoch: [0][430/441]	L_Src_Sup 2.4469e-01 (4.6027e-01)	L_Trg_Inj 3.8769e-01 (5.0125e-01)	Loss Disc 6.9265e-01 (6.9007e-01)	Loss Pred 6.3705e-01 (7.0431e-01)	Loss TOTAL 1.0466e+00 (1.1694e+00)
Epoch: [0][440/441]	L_Src_Sup 2.4084e-01 (4.5528e-01)	L_Trg_Inj 3.1689e-01 (4.9683e-01)	Loss Disc 6.8964e-01 (6.9012e-01)	Loss Pred 5.9527e-01 (7.0257e-01)	Loss TOTAL 9.9587e-01 (1.1664e+00)
Epoch: [0][441/441]	L_Src_Sup 2.8333e-01 (4.5489e-01)	L_Trg_Inj 3.4445e-01 (4.9649e-01)	Loss Disc 6.9224e-01 (6.9012e-01)	Loss Pred 6.5429e-01 (7.0247e-01)	Loss TOTAL 1.0632e+00 (1.1662e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/441]	L_Src_Sup 1.8962e-01 (2.7070e-01)	L_Trg_Inj 2.9999e-01 (3.4540e-01)	Loss Disc 6.9333e-01 (6.9175e-01)	Loss Pred 6.7260e-01 (6.3044e-01)	Loss TOTAL 1.0682e+00 (1.0384e+00)
Epoch: [1][ 20/441]	L_Src_Sup 2.8950e-01 (2.6700e-01)	L_Trg_Inj 2.8397e-01 (3.1924e-01)	Loss Disc 6.9297e-01 (6.9190e-01)	Loss Pred 6.1005e-01 (6.3198e-01)	Loss TOTAL 1.0194e+00 (1.0495e+00)
Epoch: [1][ 30/441]	L_Src_Sup 1.0453e-01 (2.6987e-01)	L_Trg_Inj 2.2227e-01 (3.5573e-01)	Loss Disc 6.9508e-01 (6.9194e-01)	Loss Pred 7.3296e-01 (6.3809e-01)	Loss TOTAL 1.1132e+00 (1.0552e+00)
Epoch: [1][ 40/441]	L_Src_Sup 2.6626e-01 (2.7615e-01)	L_Trg_Inj 4.3755e-01 (3.5349e-01)	Loss Disc 6.9038e-01 (6.9181e-01)	Loss Pred 6.4713e-01 (6.3544e-01)	Loss TOTAL 1.0627e+00 (1.0547e+00)
Epoch: [1][ 50/441]	L_Src_Sup 3.2572e-01 (2.7588e-01)	L_Trg_Inj 4.9740e-01 (3.5581e-01)	Loss Disc 6.9278e-01 (6.9190e-01)	Loss Pred 6.4646e-01 (6.3091e-01)	Loss TOTAL 1.0752e+00 (1.0508e+00)
Epoch: [1][ 60/441]	L_Src_Sup 3.1913e-01 (2.7140e-01)	L_Trg_Inj 3.9183e-01 (3.6626e-01)	Loss Disc 6.8998e-01 (6.9206e-01)	Loss Pred 6.0201e-01 (6.2827e-01)	Loss TOTAL 1.0181e+00 (1.0486e+00)
Epoch: [1][ 70/441]	L_Src_Sup 3.0037e-01 (2.7691e-01)	L_Trg_Inj 2.8822e-01 (3.7243e-01)	Loss Disc 6.9224e-01 (6.9217e-01)	Loss Pred 5.5761e-01 (6.2648e-01)	Loss TOTAL 9.7474e-01 (1.0479e+00)
