Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=23.247343718071644, std[0]=2.7090186640050447)
Loading Target Train...
Epoch: [0][ 10/496]	L_Src_Sup 2.0000e+00 (1.9999e+00)	L_Trg_Inj 1.9999e+00 (1.9999e+00)	Loss Disc 7.1750e-01 (7.2097e-01)	Loss Pred 9.6521e-01 (9.1129e-01)	Loss TOTAL 1.7240e+00 (1.6718e+00)
Epoch: [0][ 20/496]	L_Src_Sup 1.9990e+00 (1.9998e+00)	L_Trg_Inj 1.9991e+00 (1.9998e+00)	Loss Disc 7.0708e-01 (7.1647e-01)	Loss Pred 9.4919e-01 (9.3028e-01)	Loss TOTAL 1.7025e+00 (1.6885e+00)
Epoch: [0][ 30/496]	L_Src_Sup 5.1441e-01 (1.7565e+00)	L_Trg_Inj 4.1909e-01 (1.7416e+00)	Loss Disc 6.9847e-01 (7.1161e-01)	Loss Pred 9.1760e-01 (9.3419e-01)	Loss TOTAL 1.4555e+00 (1.6577e+00)
Epoch: [0][ 40/496]	L_Src_Sup 3.0656e-01 (1.4472e+00)	L_Trg_Inj 2.7027e-01 (1.4512e+00)	Loss Disc 6.9526e-01 (7.0782e-01)	Loss Pred 9.7210e-01 (9.4219e-01)	Loss TOTAL 1.4137e+00 (1.6086e+00)
Epoch: [0][ 50/496]	L_Src_Sup 8.7158e-01 (1.2662e+00)	L_Trg_Inj 8.0402e-01 (1.2834e+00)	Loss Disc 6.9438e-01 (7.0519e-01)	Loss Pred 9.8744e-01 (9.4165e-01)	Loss TOTAL 1.5697e+00 (1.5734e+00)
Epoch: [0][ 60/496]	L_Src_Sup 8.1145e-01 (1.1627e+00)	L_Trg_Inj 7.1733e-01 (1.1816e+00)	Loss Disc 6.9396e-01 (7.0333e-01)	Loss Pred 9.0224e-01 (9.3885e-01)	Loss TOTAL 1.4962e+00 (1.5549e+00)
Epoch: [0][ 70/496]	L_Src_Sup 2.9830e-01 (1.0623e+00)	L_Trg_Inj 3.6811e-01 (1.0786e+00)	Loss Disc 6.9340e-01 (7.0195e-01)	Loss Pred 9.8725e-01 (9.3937e-01)	Loss TOTAL 1.4006e+00 (1.5333e+00)
Epoch: [0][ 80/496]	L_Src_Sup 2.5414e-01 (9.7793e-01)	L_Trg_Inj 4.1889e-01 (9.9479e-01)	Loss Disc 6.9302e-01 (7.0086e-01)	Loss Pred 9.1703e-01 (9.4057e-01)	Loss TOTAL 1.3308e+00 (1.5163e+00)
Epoch: [0][ 90/496]	L_Src_Sup 2.2131e-01 (9.1172e-01)	L_Trg_Inj 3.1483e-01 (9.3340e-01)	Loss Disc 6.9303e-01 (7.0002e-01)	Loss Pred 9.1012e-01 (9.4018e-01)	Loss TOTAL 1.3102e+00 (1.5016e+00)
Epoch: [0][100/496]	L_Src_Sup 6.4095e-01 (8.5383e-01)	L_Trg_Inj 7.6730e-01 (8.7104e-01)	Loss Disc 6.9348e-01 (6.9930e-01)	Loss Pred 9.0257e-01 (9.4154e-01)	Loss TOTAL 1.3901e+00 (1.4931e+00)
Epoch: [0][110/496]	L_Src_Sup 4.0619e-01 (8.3167e-01)	L_Trg_Inj 4.7225e-01 (8.5731e-01)	Loss Disc 6.9294e-01 (6.9875e-01)	Loss Pred 9.7898e-01 (9.4190e-01)	Loss TOTAL 1.4133e+00 (1.4871e+00)
