Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.916930489982846, std[0]=2.694687994693646)
Loading Target Train...
Epoch: [0][ 10/441]	L_Src_Sup 1.9999e+00 (2.0000e+00)	L_Trg_Inj 1.9999e+00 (1.9999e+00)	Loss Disc 7.1741e-01 (7.2094e-01)	Loss Pred 8.0489e-01 (7.7659e-01)	Loss TOTAL 1.5636e+00 (1.5371e+00)
Epoch: [0][ 20/441]	L_Src_Sup 1.9997e+00 (1.9999e+00)	L_Trg_Inj 1.9998e+00 (1.9999e+00)	Loss Disc 7.0613e-01 (7.1620e-01)	Loss Pred 8.1704e-01 (7.7859e-01)	Loss TOTAL 1.5700e+00 (1.5367e+00)
Epoch: [0][ 30/441]	L_Src_Sup 2.2957e-01 (1.8574e+00)	L_Trg_Inj 2.3433e-01 (1.8660e+00)	Loss Disc 6.9765e-01 (7.1108e-01)	Loss Pred 7.7897e-01 (7.7685e-01)	Loss TOTAL 1.1742e+00 (1.5057e+00)
Epoch: [0][ 40/441]	L_Src_Sup 1.9920e+00 (1.8833e+00)	L_Trg_Inj 1.9909e+00 (1.8733e+00)	Loss Disc 6.9616e-01 (7.0770e-01)	Loss Pred 7.8655e-01 (7.7575e-01)	Loss TOTAL 1.5340e+00 (1.5225e+00)
Epoch: [0][ 50/441]	L_Src_Sup 1.8318e+00 (1.8959e+00)	L_Trg_Inj 1.8478e+00 (1.8884e+00)	Loss Disc 6.9460e-01 (7.0519e-01)	Loss Pred 7.3713e-01 (7.7211e-01)	Loss TOTAL 1.4524e+00 (1.5170e+00)
Epoch: [0][ 60/441]	L_Src_Sup 2.0149e-01 (1.7233e+00)	L_Trg_Inj 3.7553e-01 (1.7254e+00)	Loss Disc 6.9488e-01 (7.0343e-01)	Loss Pred 8.2367e-01 (7.6925e-01)	Loss TOTAL 1.2288e+00 (1.4794e+00)
Epoch: [0][ 70/441]	L_Src_Sup 3.5286e-01 (1.5217e+00)	L_Trg_Inj 4.2203e-01 (1.5307e+00)	Loss Disc 6.9400e-01 (7.0211e-01)	Loss Pred 7.6490e-01 (7.6965e-01)	Loss TOTAL 1.1894e+00 (1.4423e+00)
Epoch: [0][ 80/441]	L_Src_Sup 3.1005e-01 (1.3650e+00)	L_Trg_Inj 3.5383e-01 (1.3789e+00)	Loss Disc 6.9341e-01 (7.0104e-01)	Loss Pred 7.2206e-01 (7.6662e-01)	Loss TOTAL 1.1352e+00 (1.4072e+00)
Epoch: [0][ 90/441]	L_Src_Sup 2.3120e-01 (1.2365e+00)	L_Trg_Inj 2.4480e-01 (1.2596e+00)	Loss Disc 6.9309e-01 (7.0017e-01)	Loss Pred 7.1726e-01 (7.6519e-01)	Loss TOTAL 1.1114e+00 (1.3788e+00)
Epoch: [0][100/441]	L_Src_Sup 1.9990e+00 (1.2930e+00)	L_Trg_Inj 1.9989e+00 (1.3110e+00)	Loss Disc 6.9387e-01 (6.9956e-01)	Loss Pred 8.0553e-01 (7.6506e-01)	Loss TOTAL 1.5524e+00 (1.3906e+00)
Epoch: [0][110/441]	L_Src_Sup 1.9973e+00 (1.3571e+00)	L_Trg_Inj 1.9976e+00 (1.3735e+00)	Loss Disc 6.9372e-01 (6.9904e-01)	Loss Pred 7.3520e-01 (7.6496e-01)	Loss TOTAL 1.4816e+00 (1.4015e+00)
