Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.972307329571358, std[0]=2.5470948787957957)
Loading Target Train...
Epoch: [0][ 10/496]	L_Src_Sup 1.9999e+00 (1.9999e+00)	L_Trg_Inj 1.9999e+00 (1.9999e+00)	Loss Disc 7.1818e-01 (7.2119e-01)	Loss Pred 9.2544e-01 (9.2395e-01)	Loss TOTAL 1.6845e+00 (1.6846e+00)
Epoch: [0][ 20/496]	L_Src_Sup 1.9922e+00 (1.9993e+00)	L_Trg_Inj 1.9933e+00 (1.9994e+00)	Loss Disc 7.0911e-01 (7.1731e-01)	Loss Pred 9.0965e-01 (9.2944e-01)	Loss TOTAL 1.6627e+00 (1.6880e+00)
Epoch: [0][ 30/496]	L_Src_Sup 8.8282e-01 (1.7282e+00)	L_Trg_Inj 8.3096e-01 (1.7143e+00)	Loss Disc 7.0020e-01 (7.1281e-01)	Loss Pred 1.0042e+00 (9.3603e-01)	Loss TOTAL 1.5776e+00 (1.6536e+00)
Epoch: [0][ 40/496]	L_Src_Sup 2.9029e-01 (1.3995e+00)	L_Trg_Inj 4.0086e-01 (1.4160e+00)	Loss Disc 6.9600e-01 (7.0907e-01)	Loss Pred 9.4109e-01 (9.3711e-01)	Loss TOTAL 1.3582e+00 (1.5879e+00)
Epoch: [0][ 50/496]	L_Src_Sup 4.9000e-01 (1.1866e+00)	L_Trg_Inj 3.7750e-01 (1.2195e+00)	Loss Disc 6.9472e-01 (7.0627e-01)	Loss Pred 1.0110e+00 (9.3961e-01)	Loss TOTAL 1.5576e+00 (1.5491e+00)
Epoch: [0][ 60/496]	L_Src_Sup 2.1330e-01 (1.0324e+00)	L_Trg_Inj 2.6865e-01 (1.0808e+00)	Loss Disc 6.9368e-01 (7.0422e-01)	Loss Pred 9.1040e-01 (9.4026e-01)	Loss TOTAL 1.3054e+00 (1.5168e+00)
Epoch: [0][ 70/496]	L_Src_Sup 3.5111e-01 (9.3111e-01)	L_Trg_Inj 2.9561e-01 (9.8409e-01)	Loss Disc 6.9333e-01 (7.0270e-01)	Loss Pred 9.2603e-01 (9.4398e-01)	Loss TOTAL 1.3929e+00 (1.5052e+00)
Epoch: [0][ 80/496]	L_Src_Sup 1.7879e-01 (8.4265e-01)	L_Trg_Inj 2.1716e-01 (9.0260e-01)	Loss Disc 6.9354e-01 (7.0151e-01)	Loss Pred 9.3358e-01 (9.4457e-01)	Loss TOTAL 1.3199e+00 (1.4859e+00)
Epoch: [0][ 90/496]	L_Src_Sup 2.4117e-01 (7.8411e-01)	L_Trg_Inj 4.2481e-01 (8.5609e-01)	Loss Disc 6.9197e-01 (7.0051e-01)	Loss Pred 9.5592e-01 (9.4492e-01)	Loss TOTAL 1.3685e+00 (1.4741e+00)
Epoch: [0][100/496]	L_Src_Sup 3.1863e-01 (7.2834e-01)	L_Trg_Inj 3.3648e-01 (8.0005e-01)	Loss Disc 6.9245e-01 (6.9971e-01)	Loss Pred 8.9662e-01 (9.4498e-01)	Loss TOTAL 1.3084e+00 (1.4616e+00)
Epoch: [0][110/496]	L_Src_Sup 1.9783e-01 (6.8349e-01)	L_Trg_Inj 3.6644e-01 (7.6176e-01)	Loss Disc 6.9185e-01 (6.9901e-01)	Loss Pred 8.9623e-01 (9.4374e-01)	Loss TOTAL 1.2986e+00 (1.4507e+00)
Epoch: [0][120/496]	L_Src_Sup 9.3971e-02 (6.4432e-01)	L_Trg_Inj 3.2890e-01 (7.2986e-01)	Loss Disc 6.9224e-01 (6.9840e-01)	Loss Pred 9.8524e-01 (9.4512e-01)	Loss TOTAL 1.3736e+00 (1.4438e+00)
Epoch: [0][130/496]	L_Src_Sup 2.9251e-01 (6.1022e-01)	L_Trg_Inj 3.0553e-01 (6.9926e-01)	Loss Disc 6.9137e-01 (6.9788e-01)	Loss Pred 9.3365e-01 (9.4559e-01)	Loss TOTAL 1.3391e+00 (1.4366e+00)
Epoch: [0][140/496]	L_Src_Sup 2.8771e-01 (5.8562e-01)	L_Trg_Inj 3.1081e-01 (6.7346e-01)	Loss Disc 6.8993e-01 (6.9742e-01)	Loss Pred 9.1195e-01 (9.4562e-01)	Loss TOTAL 1.3168e+00 (1.4306e+00)
Epoch: [0][150/496]	L_Src_Sup 1.9187e-01 (5.6239e-01)	L_Trg_Inj 3.1948e-01 (6.5139e-01)	Loss Disc 6.8963e-01 (6.9687e-01)	Loss Pred 9.8451e-01 (9.4609e-01)	Loss TOTAL 1.3805e+00 (1.4259e+00)
Epoch: [0][160/496]	L_Src_Sup 7.7983e-02 (5.4024e-01)	L_Trg_Inj 3.9477e-01 (6.3162e-01)	Loss Disc 6.8657e-01 (6.9633e-01)	Loss Pred 9.2660e-01 (9.4627e-01)	Loss TOTAL 1.3172e+00 (1.4215e+00)
Epoch: [0][170/496]	L_Src_Sup 1.9880e-01 (5.2016e-01)	L_Trg_Inj 3.7036e-01 (6.1377e-01)	Loss Disc 6.8862e-01 (6.9586e-01)	Loss Pred 9.4818e-01 (9.4536e-01)	Loss TOTAL 1.3494e+00 (1.4166e+00)
Epoch: [0][180/496]	L_Src_Sup 1.6526e-01 (5.0097e-01)	L_Trg_Inj 2.8009e-01 (5.9839e-01)	Loss Disc 6.9222e-01 (6.9547e-01)	Loss Pred 9.7728e-01 (9.4515e-01)	Loss TOTAL 1.3679e+00 (1.4122e+00)
