Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=17.56404310385394, std[0]=2.9524771517385417)
Loading Target Train...
Epoch: [0][ 10/497]	L_Src_Sup 1.9999e+00 (1.9999e+00)	L_Trg_Inj 1.9999e+00 (1.9999e+00)	Loss Disc 7.1812e-01 (7.2117e-01)	Loss Pred 9.0929e-01 (8.7401e-01)	Loss TOTAL 1.6683e+00 (1.6346e+00)
Epoch: [0][ 20/497]	L_Src_Sup 1.9994e+00 (1.9999e+00)	L_Trg_Inj 1.9995e+00 (1.9999e+00)	Loss Disc 7.0855e-01 (7.1717e-01)	Loss Pred 8.5896e-01 (8.6785e-01)	Loss TOTAL 1.6131e+00 (1.6264e+00)
Epoch: [0][ 30/497]	L_Src_Sup 1.8275e+00 (1.9690e+00)	L_Trg_Inj 1.8483e+00 (1.9662e+00)	Loss Disc 6.9959e-01 (7.1246e-01)	Loss Pred 8.4040e-01 (8.7488e-01)	Loss TOTAL 1.5578e+00 (1.6284e+00)
Epoch: [0][ 40/497]	L_Src_Sup 4.8669e-01 (1.7841e+00)	L_Trg_Inj 4.3479e-01 (1.7754e+00)	Loss Disc 6.9569e-01 (7.0857e-01)	Loss Pred 8.9903e-01 (8.7696e-01)	Loss TOTAL 1.3909e+00 (1.6012e+00)
Epoch: [0][ 50/497]	L_Src_Sup 3.0601e-01 (1.5179e+00)	L_Trg_Inj 2.2220e-01 (1.5279e+00)	Loss Disc 6.9446e-01 (7.0589e-01)	Loss Pred 8.9846e-01 (8.7748e-01)	Loss TOTAL 1.3823e+00 (1.5514e+00)
Epoch: [0][ 60/497]	L_Src_Sup 1.9894e+00 (1.5923e+00)	L_Trg_Inj 1.9893e+00 (1.5985e+00)	Loss Disc 6.9480e-01 (7.0413e-01)	Loss Pred 8.6368e-01 (8.8012e-01)	Loss TOTAL 1.6090e+00 (1.5672e+00)
Epoch: [0][ 70/497]	L_Src_Sup 1.8406e+00 (1.6429e+00)	L_Trg_Inj 1.8477e+00 (1.6486e+00)	Loss Disc 6.9417e-01 (7.0274e-01)	Loss Pred 9.6938e-01 (8.8131e-01)	Loss TOTAL 1.6853e+00 (1.5755e+00)
Epoch: [0][ 80/497]	L_Src_Sup 4.8731e-01 (1.5474e+00)	L_Trg_Inj 4.7155e-01 (1.5510e+00)	Loss Disc 6.9387e-01 (7.0167e-01)	Loss Pred 8.8864e-01 (8.8212e-01)	Loss TOTAL 1.3472e+00 (1.5597e+00)
Epoch: [0][ 90/497]	L_Src_Sup 5.0084e-01 (1.4492e+00)	L_Trg_Inj 5.6168e-01 (1.4620e+00)	Loss Disc 6.9392e-01 (7.0082e-01)	Loss Pred 9.3385e-01 (8.8087e-01)	Loss TOTAL 1.3871e+00 (1.5379e+00)
Epoch: [0][100/497]	L_Src_Sup 4.8863e-01 (1.3372e+00)	L_Trg_Inj 5.4073e-01 (1.3602e+00)	Loss Disc 6.9371e-01 (7.0008e-01)	Loss Pred 8.8771e-01 (8.8172e-01)	Loss TOTAL 1.3375e+00 (1.5161e+00)
Epoch: [0][110/497]	L_Src_Sup 5.2929e-01 (1.2646e+00)	L_Trg_Inj 4.2956e-01 (1.2795e+00)	Loss Disc 6.9230e-01 (6.9941e-01)	Loss Pred 8.3050e-01 (8.8275e-01)	Loss TOTAL 1.3723e+00 (1.5064e+00)
