Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=17.86238859460224, std[0]=3.174826576943196)
Loading Target Train...
Epoch: [0][ 10/496]	L_Src_Sup 1.9999e+00 (1.9999e+00)	L_Trg_Inj 1.9999e+00 (1.9999e+00)	Loss Disc 7.1752e-01 (7.2097e-01)	Loss Pred 9.8882e-01 (9.2160e-01)	Loss TOTAL 1.7476e+00 (1.6821e+00)
Epoch: [0][ 20/496]	L_Src_Sup 1.9991e+00 (1.9998e+00)	L_Trg_Inj 1.9990e+00 (1.9998e+00)	Loss Disc 7.0712e-01 (7.1649e-01)	Loss Pred 9.0177e-01 (9.2749e-01)	Loss TOTAL 1.6553e+00 (1.6857e+00)
Epoch: [0][ 30/496]	L_Src_Sup 7.2728e-01 (1.8050e+00)	L_Trg_Inj 6.7758e-01 (1.8100e+00)	Loss Disc 6.9861e-01 (7.1164e-01)	Loss Pred 9.3333e-01 (9.3156e-01)	Loss TOTAL 1.4728e+00 (1.6537e+00)
Epoch: [0][ 40/496]	L_Src_Sup 1.0663e+00 (1.5222e+00)	L_Trg_Inj 1.3245e+00 (1.5497e+00)	Loss Disc 6.9565e-01 (7.0792e-01)	Loss Pred 9.6451e-01 (9.4085e-01)	Loss TOTAL 1.5514e+00 (1.6149e+00)
Epoch: [0][ 50/496]	L_Src_Sup 3.1912e-01 (1.3359e+00)	L_Trg_Inj 3.5727e-01 (1.3851e+00)	Loss Disc 6.9432e-01 (7.0528e-01)	Loss Pred 9.1003e-01 (9.3888e-01)	Loss TOTAL 1.3248e+00 (1.5748e+00)
Epoch: [0][ 60/496]	L_Src_Sup 5.0497e-01 (1.1757e+00)	L_Trg_Inj 6.4681e-01 (1.2151e+00)	Loss Disc 6.9407e-01 (7.0342e-01)	Loss Pred 9.3338e-01 (9.3823e-01)	Loss TOTAL 1.3956e+00 (1.5457e+00)
Epoch: [0][ 70/496]	L_Src_Sup 2.5491e-01 (1.0868e+00)	L_Trg_Inj 2.5791e-01 (1.1242e+00)	Loss Disc 6.9390e-01 (7.0207e-01)	Loss Pred 9.5677e-01 (9.3776e-01)	Loss TOTAL 1.3550e+00 (1.5287e+00)
Epoch: [0][ 80/496]	L_Src_Sup 4.0852e-01 (9.9605e-01)	L_Trg_Inj 4.2155e-01 (1.0247e+00)	Loss Disc 6.9396e-01 (7.0106e-01)	Loss Pred 9.3333e-01 (9.3760e-01)	Loss TOTAL 1.3633e+00 (1.5127e+00)
Epoch: [0][ 90/496]	L_Src_Sup 2.0186e-01 (9.1993e-01)	L_Trg_Inj 3.2215e-01 (9.4921e-01)	Loss Disc 6.9418e-01 (7.0029e-01)	Loss Pred 9.4870e-01 (9.3825e-01)	Loss TOTAL 1.3482e+00 (1.4969e+00)
Epoch: [0][100/496]	L_Src_Sup 1.6511e-01 (8.5540e-01)	L_Trg_Inj 2.8705e-01 (8.8778e-01)	Loss Disc 6.9418e-01 (6.9966e-01)	Loss Pred 9.5642e-01 (9.3814e-01)	Loss TOTAL 1.3487e+00 (1.4825e+00)
Epoch: [0][110/496]	L_Src_Sup 3.0666e-01 (7.9808e-01)	L_Trg_Inj 2.4625e-01 (8.3129e-01)	Loss Disc 6.9387e-01 (6.9915e-01)	Loss Pred 9.1001e-01 (9.3791e-01)	Loss TOTAL 1.3726e+00 (1.4699e+00)
