Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=6.743648330487297, std[0]=0.9335744483783562)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 5.1694e-01 (1.6592e+00)	L_Trg_Inj 4.9066e-01 (1.6591e+00)	Loss Disc 7.1892e-01 (7.2205e-01)	Loss Pred 8.2929e-01 (8.5498e-01)	Loss TOTAL 1.3158e+00 (1.5555e+00)
Epoch: [0][ 20/112]	L_Src_Sup 1.6667e-01 (9.6164e-01)	L_Trg_Inj 2.9003e-01 (1.0010e+00)	Loss Disc 7.0992e-01 (7.1816e-01)	Loss Pred 8.7572e-01 (8.4620e-01)	Loss TOTAL 1.2763e+00 (1.4057e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.2286e-01 (7.0575e-01)	L_Trg_Inj 2.8859e-01 (7.6734e-01)	Loss Disc 7.0056e-01 (7.1359e-01)	Loss Pred 8.2408e-01 (8.4721e-01)	Loss TOTAL 1.2155e+00 (1.3543e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.2376e-01 (5.7872e-01)	L_Trg_Inj 3.2206e-01 (6.4658e-01)	Loss Disc 6.9603e-01 (7.0962e-01)	Loss Pred 8.3012e-01 (8.4576e-01)	Loss TOTAL 1.2227e+00 (1.3260e+00)
Epoch: [0][ 50/112]	L_Src_Sup 2.7386e-01 (4.9996e-01)	L_Trg_Inj 3.4108e-01 (5.7335e-01)	Loss Disc 6.9443e-01 (7.0670e-01)	Loss Pred 7.9239e-01 (8.4517e-01)	Loss TOTAL 1.2011e+00 (1.3092e+00)
Epoch: [0][ 60/112]	L_Src_Sup 1.5505e-01 (4.5589e-01)	L_Trg_Inj 3.8710e-01 (5.2820e-01)	Loss Disc 6.9361e-01 (7.0460e-01)	Loss Pred 8.0797e-01 (8.4390e-01)	Loss TOTAL 1.2090e+00 (1.2992e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.2388e-01 (4.1925e-01)	L_Trg_Inj 3.8910e-01 (4.9916e-01)	Loss Disc 6.9220e-01 (7.0296e-01)	Loss Pred 8.2399e-01 (8.4417e-01)	Loss TOTAL 1.2214e+00 (1.2914e+00)
Epoch: [0][ 80/112]	L_Src_Sup 9.4285e-02 (3.8817e-01)	L_Trg_Inj 2.6043e-01 (4.7256e-01)	Loss Disc 6.9255e-01 (7.0165e-01)	Loss Pred 8.8748e-01 (8.4405e-01)	Loss TOTAL 1.2692e+00 (1.2844e+00)
Epoch: [0][ 90/112]	L_Src_Sup 2.3791e-01 (3.6594e-01)	L_Trg_Inj 2.6273e-01 (4.5207e-01)	Loss Disc 6.9221e-01 (7.0057e-01)	Loss Pred 8.5788e-01 (8.4355e-01)	Loss TOTAL 1.2541e+00 (1.2794e+00)
Epoch: [0][100/112]	L_Src_Sup 1.5370e-01 (3.4700e-01)	L_Trg_Inj 2.1919e-01 (4.3341e-01)	Loss Disc 6.9275e-01 (6.9971e-01)	Loss Pred 7.8679e-01 (8.4069e-01)	Loss TOTAL 1.1705e+00 (1.2724e+00)
Epoch: [0][110/112]	L_Src_Sup 2.2280e-01 (3.3391e-01)	L_Trg_Inj 2.3741e-01 (4.2230e-01)	Loss Disc 6.9256e-01 (6.9897e-01)	Loss Pred 7.9276e-01 (8.3742e-01)	Loss TOTAL 1.1851e+00 (1.2661e+00)
Epoch: [0][112/112]	L_Src_Sup 1.7256e-01 (3.3109e-01)	L_Trg_Inj 2.3611e-01 (4.2033e-01)	Loss Disc 6.9238e-01 (6.9884e-01)	Loss Pred 7.9204e-01 (8.3698e-01)	Loss TOTAL 1.1791e+00 (1.2651e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/112]	L_Src_Sup 2.7278e-01 (2.0406e-01)	L_Trg_Inj 4.0408e-01 (2.8669e-01)	Loss Disc 6.9113e-01 (6.9201e-01)	Loss Pred 7.8879e-01 (8.2277e-01)	Loss TOTAL 1.2020e+00 (1.2335e+00)
Epoch: [1][ 20/112]	L_Src_Sup 2.0181e-01 (1.9399e-01)	L_Trg_Inj 2.2129e-01 (2.7992e-01)	Loss Disc 6.9220e-01 (6.9200e-01)	Loss Pred 8.5130e-01 (8.2568e-01)	Loss TOTAL 1.2397e+00 (1.2269e+00)
Epoch: [1][ 30/112]	L_Src_Sup 1.8006e-01 (1.8730e-01)	L_Trg_Inj 2.6775e-01 (2.8868e-01)	Loss Disc 6.9226e-01 (6.9196e-01)	Loss Pred 8.2811e-01 (8.2456e-01)	Loss TOTAL 1.2190e+00 (1.2241e+00)
