Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.490673626922863, std[0]=0.8119164253286923)
Loading Target Train...
Epoch: [0][ 10/140]	L_Src_Sup 1.1756e+00 (1.8536e+00)	L_Trg_Inj 1.3318e+00 (1.8777e+00)	Loss Disc 7.1732e-01 (7.2043e-01)	Loss Pred 7.8893e-01 (8.2470e-01)	Loss TOTAL 1.3983e+00 (1.5588e+00)
Epoch: [0][ 20/140]	L_Src_Sup 3.3143e-01 (1.2196e+00)	L_Trg_Inj 9.0446e-01 (1.3595e+00)	Loss Disc 7.0757e-01 (7.1644e-01)	Loss Pred 8.5082e-01 (8.1831e-01)	Loss TOTAL 1.3282e+00 (1.4424e+00)
Epoch: [0][ 30/140]	L_Src_Sup 2.9563e-01 (9.1229e-01)	L_Trg_Inj 3.9030e-01 (1.0662e+00)	Loss Disc 6.9811e-01 (7.1167e-01)	Loss Pred 8.0672e-01 (8.1851e-01)	Loss TOTAL 1.2244e+00 (1.3775e+00)
Epoch: [0][ 40/140]	L_Src_Sup 2.0833e-01 (7.4384e-01)	L_Trg_Inj 7.2494e-01 (9.6444e-01)	Loss Disc 6.9161e-01 (7.0735e-01)	Loss Pred 8.1206e-01 (8.1404e-01)	Loss TOTAL 1.2512e+00 (1.3446e+00)
Epoch: [0][ 50/140]	L_Src_Sup 2.9598e-01 (6.4009e-01)	L_Trg_Inj 7.6373e-01 (9.2729e-01)	Loss Disc 6.8400e-01 (7.0344e-01)	Loss Pred 7.8221e-01 (8.0749e-01)	Loss TOTAL 1.2302e+00 (1.3208e+00)
Epoch: [0][ 60/140]	L_Src_Sup 2.2136e-01 (5.7233e-01)	L_Trg_Inj 3.7662e-01 (8.3150e-01)	Loss Disc 6.8068e-01 (7.0008e-01)	Loss Pred 7.6960e-01 (8.0597e-01)	Loss TOTAL 1.1697e+00 (1.3044e+00)
Epoch: [0][ 70/140]	L_Src_Sup 3.1077e-01 (5.1894e-01)	L_Trg_Inj 3.8689e-01 (7.6108e-01)	Loss Disc 6.7216e-01 (6.9669e-01)	Loss Pred 7.9403e-01 (8.0630e-01)	Loss TOTAL 1.1999e+00 (1.2896e+00)
Epoch: [0][ 80/140]	L_Src_Sup 2.3227e-01 (4.8267e-01)	L_Trg_Inj 3.5611e-01 (7.1098e-01)	Loss Disc 6.6929e-01 (6.9377e-01)	Loss Pred 8.2926e-01 (8.0538e-01)	Loss TOTAL 1.2227e+00 (1.2789e+00)
Epoch: [0][ 90/140]	L_Src_Sup 1.7479e-01 (4.5232e-01)	L_Trg_Inj 3.3066e-01 (6.6347e-01)	Loss Disc 6.7193e-01 (6.9116e-01)	Loss Pred 7.9761e-01 (8.0445e-01)	Loss TOTAL 1.1841e+00 (1.2684e+00)
Epoch: [0][100/140]	L_Src_Sup 1.2489e-01 (4.2565e-01)	L_Trg_Inj 2.8549e-01 (6.2816e-01)	Loss Disc 6.7421e-01 (6.8915e-01)	Loss Pred 8.3517e-01 (8.0521e-01)	Loss TOTAL 1.2133e+00 (1.2619e+00)
Epoch: [0][110/140]	L_Src_Sup 2.4887e-01 (4.0789e-01)	L_Trg_Inj 2.9128e-01 (5.9595e-01)	Loss Disc 6.8126e-01 (6.8813e-01)	Loss Pred 7.6194e-01 (8.0609e-01)	Loss TOTAL 1.1566e+00 (1.2579e+00)
Epoch: [0][120/140]	L_Src_Sup 2.9841e-01 (3.9261e-01)	L_Trg_Inj 3.4218e-01 (5.7521e-01)	Loss Disc 6.8799e-01 (6.8760e-01)	Loss Pred 7.8914e-01 (8.0482e-01)	Loss TOTAL 1.1972e+00 (1.2525e+00)
