Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.237067825687181, std[0]=0.5157202094634727)
Loading Target Train...
Epoch: [0][ 10/168]	L_Src_Sup 1.5207e+00 (1.8958e+00)	L_Trg_Inj 1.5785e+00 (1.9002e+00)	Loss Disc 7.1691e-01 (7.2015e-01)	Loss Pred 7.7339e-01 (7.9575e-01)	Loss TOTAL 1.4418e+00 (1.5400e+00)
Epoch: [0][ 20/168]	L_Src_Sup 2.9882e-01 (1.1347e+00)	L_Trg_Inj 2.2291e-01 (1.1420e+00)	Loss Disc 7.0710e-01 (7.1597e-01)	Loss Pred 7.5266e-01 (7.8864e-01)	Loss TOTAL 1.2343e+00 (1.4113e+00)
Epoch: [0][ 30/168]	L_Src_Sup 4.0676e-01 (8.4581e-01)	L_Trg_Inj 2.9297e-01 (8.4421e-01)	Loss Disc 6.9879e-01 (7.1134e-01)	Loss Pred 8.0728e-01 (7.9444e-01)	Loss TOTAL 1.3404e+00 (1.3562e+00)
Epoch: [0][ 40/168]	L_Src_Sup 2.3235e-01 (6.9948e-01)	L_Trg_Inj 2.3697e-01 (6.8892e-01)	Loss Disc 6.9540e-01 (7.0767e-01)	Loss Pred 7.7850e-01 (7.9343e-01)	Loss TOTAL 1.1731e+00 (1.3277e+00)
Epoch: [0][ 50/168]	L_Src_Sup 1.7589e+00 (7.6889e-01)	L_Trg_Inj 1.8525e+00 (7.6715e-01)	Loss Disc 6.9384e-01 (7.0502e-01)	Loss Pred 7.8422e-01 (7.9463e-01)	Loss TOTAL 1.4923e+00 (1.3367e+00)
Epoch: [0][ 60/168]	L_Src_Sup 2.1098e-01 (7.5209e-01)	L_Trg_Inj 5.5961e-01 (7.8067e-01)	Loss Disc 6.9049e-01 (7.0286e-01)	Loss Pred 7.8092e-01 (7.9276e-01)	Loss TOTAL 1.2032e+00 (1.3319e+00)
Epoch: [0][ 70/168]	L_Src_Sup 3.4992e-01 (6.7337e-01)	L_Trg_Inj 1.6910e-01 (6.9927e-01)	Loss Disc 6.8870e-01 (7.0093e-01)	Loss Pred 7.8679e-01 (7.9057e-01)	Loss TOTAL 1.3639e+00 (1.3124e+00)
Epoch: [0][ 80/168]	L_Src_Sup 2.1884e-01 (6.1392e-01)	L_Trg_Inj 1.6671e-01 (6.3817e-01)	Loss Disc 6.8686e-01 (6.9927e-01)	Loss Pred 7.8347e-01 (7.8952e-01)	Loss TOTAL 1.2176e+00 (1.2973e+00)
Epoch: [0][ 90/168]	L_Src_Sup 2.7089e-01 (5.7252e-01)	L_Trg_Inj 4.3346e-01 (6.0446e-01)	Loss Disc 6.7899e-01 (6.9758e-01)	Loss Pred 7.8044e-01 (7.8803e-01)	Loss TOTAL 1.1904e+00 (1.2842e+00)
Epoch: [0][100/168]	L_Src_Sup 3.6805e-01 (5.3614e-01)	L_Trg_Inj 2.6104e-01 (5.6646e-01)	Loss Disc 6.8260e-01 (6.9563e-01)	Loss Pred 8.4616e-01 (7.8640e-01)	Loss TOTAL 1.3574e+00 (1.2736e+00)
Epoch: [0][110/168]	L_Src_Sup 2.4380e-01 (5.1053e-01)	L_Trg_Inj 4.9166e-01 (5.4264e-01)	Loss Disc 6.5070e-01 (6.9270e-01)	Loss Pred 7.7478e-01 (7.8512e-01)	Loss TOTAL 1.1737e+00 (1.2676e+00)
Epoch: [0][120/168]	L_Src_Sup 2.4872e-01 (4.8729e-01)	L_Trg_Inj 4.7916e-01 (5.5917e-01)	Loss Disc 6.4147e-01 (6.8920e-01)	Loss Pred 7.3155e-01 (7.8524e-01)	Loss TOTAL 1.1251e+00 (1.2630e+00)
Epoch: [0][130/168]	L_Src_Sup 1.8354e-01 (4.6646e-01)	L_Trg_Inj 3.2051e-01 (5.3562e-01)	Loss Disc 6.4233e-01 (6.8660e-01)	Loss Pred 7.9056e-01 (7.8463e-01)	Loss TOTAL 1.1621e+00 (1.2554e+00)
Epoch: [0][140/168]	L_Src_Sup 2.9201e-01 (4.4904e-01)	L_Trg_Inj 5.0473e-01 (5.2605e-01)	Loss Disc 6.4238e-01 (6.8400e-01)	Loss Pred 7.8800e-01 (7.8412e-01)	Loss TOTAL 1.1889e+00 (1.2497e+00)
Epoch: [0][150/168]	L_Src_Sup 1.0667e-01 (4.3430e-01)	L_Trg_Inj 2.2868e-01 (5.0883e-01)	Loss Disc 6.5573e-01 (6.8202e-01)	Loss Pred 7.6344e-01 (7.8240e-01)	Loss TOTAL 1.1248e+00 (1.2436e+00)
Epoch: [0][160/168]	L_Src_Sup 2.1679e-01 (4.1949e-01)	L_Trg_Inj 2.2970e-01 (4.9225e-01)	Loss Disc 6.5131e-01 (6.7982e-01)	Loss Pred 7.6003e-01 (7.8145e-01)	Loss TOTAL 1.1303e+00 (1.2372e+00)
Epoch: [0][168/168]	L_Src_Sup 2.7860e-01 (4.1117e-01)	L_Trg_Inj 7.9430e-01 (4.8812e-01)	Loss Disc 6.5214e-01 (6.7867e-01)	Loss Pred 7.9197e-01 (7.7996e-01)	Loss TOTAL 1.2253e+00 (1.2335e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/168]	L_Src_Sup 2.8159e-01 (2.1902e-01)	L_Trg_Inj 1.5509e-01 (3.7249e-01)	Loss Disc 6.6291e-01 (6.5784e-01)	Loss Pred 7.0784e-01 (7.5938e-01)	Loss TOTAL 1.2095e+00 (1.1720e+00)
Epoch: [1][ 20/168]	L_Src_Sup 1.8207e-01 (2.1997e-01)	L_Trg_Inj 4.3870e-01 (3.9429e-01)	Loss Disc 6.5173e-01 (6.5791e-01)	Loss Pred 6.6776e-01 (7.5735e-01)	Loss TOTAL 1.0557e+00 (1.1610e+00)
Epoch: [1][ 30/168]	L_Src_Sup 1.9198e-01 (2.0867e-01)	L_Trg_Inj 2.1813e-01 (3.6714e-01)	Loss Disc 6.5595e-01 (6.5709e-01)	Loss Pred 6.8759e-01 (7.6133e-01)	Loss TOTAL 1.0566e+00 (1.1579e+00)
Epoch: [1][ 40/168]	L_Src_Sup 2.2137e-01 (2.1079e-01)	L_Trg_Inj 3.5340e-01 (3.5508e-01)	Loss Disc 6.7339e-01 (6.5685e-01)	Loss Pred 6.9484e-01 (7.5274e-01)	Loss TOTAL 1.0890e+00 (1.1479e+00)
Epoch: [1][ 50/168]	L_Src_Sup 1.3873e-01 (2.0651e-01)	L_Trg_Inj 2.5933e-01 (3.6027e-01)	Loss Disc 6.6351e-01 (6.5569e-01)	Loss Pred 7.5491e-01 (7.5368e-01)	Loss TOTAL 1.1265e+00 (1.1469e+00)
Epoch: [1][ 60/168]	L_Src_Sup 7.8021e-02 (2.0656e-01)	L_Trg_Inj 3.6756e-01 (3.5518e-01)	Loss Disc 6.5190e-01 (6.5475e-01)	Loss Pred 7.1375e-01 (7.5587e-01)	Loss TOTAL 1.0843e+00 (1.1479e+00)
Epoch: [1][ 70/168]	L_Src_Sup 2.0613e-01 (2.0456e-01)	L_Trg_Inj 2.7807e-01 (3.4445e-01)	Loss Disc 6.6780e-01 (6.5511e-01)	Loss Pred 6.5611e-01 (7.5028e-01)	Loss TOTAL 1.0384e+00 (1.1406e+00)
Epoch: [1][ 80/168]	L_Src_Sup 1.3091e-01 (2.0489e-01)	L_Trg_Inj 2.5780e-01 (3.4176e-01)	Loss Disc 6.7123e-01 (6.5567e-01)	Loss Pred 7.1992e-01 (7.4819e-01)	Loss TOTAL 1.0944e+00 (1.1388e+00)
Epoch: [1][ 90/168]	L_Src_Sup 3.0487e-01 (2.0972e-01)	L_Trg_Inj 2.6019e-01 (3.4078e-01)	Loss Disc 6.5428e-01 (6.5547e-01)	Loss Pred 7.3087e-01 (7.4625e-01)	Loss TOTAL 1.1592e+00 (1.1374e+00)
Epoch: [1][100/168]	L_Src_Sup 2.1462e-01 (2.1145e-01)	L_Trg_Inj 2.1384e-01 (3.4179e-01)	Loss Disc 6.5441e-01 (6.5526e-01)	Loss Pred 6.8505e-01 (7.4400e-01)	Loss TOTAL 1.0559e+00 (1.1345e+00)
Epoch: [1][110/168]	L_Src_Sup 2.2660e-01 (2.1172e-01)	L_Trg_Inj 1.9957e-01 (3.3530e-01)	Loss Disc 6.6862e-01 (6.5536e-01)	Loss Pred 6.5261e-01 (7.4059e-01)	Loss TOTAL 1.0566e+00 (1.1305e+00)
Epoch: [1][120/168]	L_Src_Sup 3.3206e-01 (2.1468e-01)	L_Trg_Inj 2.8039e-01 (3.3140e-01)	Loss Disc 6.6010e-01 (6.5569e-01)	Loss Pred 6.4784e-01 (7.3648e-01)	Loss TOTAL 1.0908e+00 (1.1271e+00)
