Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.199965977568258, std[0]=2.0869327289041717)
Loading Target Train...
Epoch: [0][ 10/270]	L_Src_Sup 1.6737e+00 (1.9448e+00)	L_Trg_Inj 1.6620e+00 (1.9429e+00)	Loss Disc 7.1732e-01 (7.2043e-01)	Loss Pred 8.2922e-01 (8.4153e-01)	Loss TOTAL 1.5331e+00 (1.5932e+00)
Epoch: [0][ 20/270]	L_Src_Sup 4.2712e-01 (1.4768e+00)	L_Trg_Inj 5.9978e-01 (1.4699e+00)	Loss Disc 7.0767e-01 (7.1634e-01)	Loss Pred 8.0214e-01 (8.4722e-01)	Loss TOTAL 1.2587e+00 (1.5225e+00)
Epoch: [0][ 30/270]	L_Src_Sup 1.2348e-01 (1.1840e+00)	L_Trg_Inj 4.9638e-01 (1.2064e+00)	Loss Disc 6.9908e-01 (7.1175e-01)	Loss Pred 8.6613e-01 (8.4657e-01)	Loss TOTAL 1.2777e+00 (1.4615e+00)
Epoch: [0][ 40/270]	L_Src_Sup 2.6260e-01 (9.5728e-01)	L_Trg_Inj 4.1771e-01 (1.0029e+00)	Loss Disc 6.9543e-01 (7.0801e-01)	Loss Pred 8.6457e-01 (8.4233e-01)	Loss TOTAL 1.2803e+00 (1.4102e+00)
Epoch: [0][ 50/270]	L_Src_Sup 4.0909e-01 (8.2892e-01)	L_Trg_Inj 4.9651e-01 (8.8900e-01)	Loss Disc 6.9445e-01 (7.0535e-01)	Loss Pred 8.0985e-01 (8.3664e-01)	Loss TOTAL 1.2476e+00 (1.3794e+00)
Epoch: [0][ 60/270]	L_Src_Sup 5.5745e-01 (7.3838e-01)	L_Trg_Inj 5.6610e-01 (8.1498e-01)	Loss Disc 6.9371e-01 (7.0342e-01)	Loss Pred 7.7120e-01 (8.3372e-01)	Loss TOTAL 1.2304e+00 (1.3569e+00)
Epoch: [0][ 70/270]	L_Src_Sup 3.2331e-01 (6.7311e-01)	L_Trg_Inj 5.6636e-01 (7.5372e-01)	Loss Disc 6.9314e-01 (7.0195e-01)	Loss Pred 8.4137e-01 (8.3391e-01)	Loss TOTAL 1.2769e+00 (1.3444e+00)
Epoch: [0][ 80/270]	L_Src_Sup 3.0476e-01 (6.1753e-01)	L_Trg_Inj 3.5727e-01 (7.2360e-01)	Loss Disc 6.9220e-01 (7.0078e-01)	Loss Pred 7.6441e-01 (8.3172e-01)	Loss TOTAL 1.1767e+00 (1.3309e+00)
Epoch: [0][ 90/270]	L_Src_Sup 1.3758e-01 (5.6935e-01)	L_Trg_Inj 2.7770e-01 (6.8234e-01)	Loss Disc 6.9355e-01 (6.9983e-01)	Loss Pred 8.0912e-01 (8.2933e-01)	Loss TOTAL 1.1974e+00 (1.3175e+00)
Epoch: [0][100/270]	L_Src_Sup 2.0174e-01 (5.3021e-01)	L_Trg_Inj 3.6009e-01 (6.5741e-01)	Loss Disc 6.9143e-01 (6.9900e-01)	Loss Pred 8.5638e-01 (8.2944e-01)	Loss TOTAL 1.2583e+00 (1.3095e+00)
Epoch: [0][110/270]	L_Src_Sup 1.6474e-01 (5.0116e-01)	L_Trg_Inj 4.1015e-01 (6.3023e-01)	Loss Disc 6.9028e-01 (6.9828e-01)	Loss Pred 8.3502e-01 (8.2857e-01)	Loss TOTAL 1.2377e+00 (1.3016e+00)
Epoch: [0][120/270]	L_Src_Sup 2.7484e-01 (4.7683e-01)	L_Trg_Inj 3.8859e-01 (6.1090e-01)	Loss Disc 6.9119e-01 (6.9768e-01)	Loss Pred 7.7169e-01 (8.2633e-01)	Loss TOTAL 1.1836e+00 (1.2939e+00)
Epoch: [0][130/270]	L_Src_Sup 1.9489e-01 (4.5596e-01)	L_Trg_Inj 2.7833e-01 (5.9351e-01)	Loss Disc 6.9203e-01 (6.9714e-01)	Loss Pred 7.6861e-01 (8.2430e-01)	Loss TOTAL 1.1619e+00 (1.2870e+00)
Epoch: [0][140/270]	L_Src_Sup 2.1133e-01 (4.3757e-01)	L_Trg_Inj 3.6064e-01 (5.7728e-01)	Loss Disc 6.9111e-01 (6.9671e-01)	Loss Pred 8.2968e-01 (8.2276e-01)	Loss TOTAL 1.2324e+00 (1.2813e+00)
Epoch: [0][150/270]	L_Src_Sup 2.5136e-01 (4.2265e-01)	L_Trg_Inj 2.2739e-01 (5.5804e-01)	Loss Disc 6.9047e-01 (6.9629e-01)	Loss Pred 8.0653e-01 (8.2354e-01)	Loss TOTAL 1.2236e+00 (1.2786e+00)
Epoch: [0][160/270]	L_Src_Sup 1.8080e-01 (4.1127e-01)	L_Trg_Inj 3.6646e-01 (5.4960e-01)	Loss Disc 6.8979e-01 (6.9592e-01)	Loss Pred 7.8239e-01 (8.2056e-01)	Loss TOTAL 1.1820e+00 (1.2729e+00)
Epoch: [0][170/270]	L_Src_Sup 2.0741e-01 (3.9910e-01)	L_Trg_Inj 4.8506e-01 (5.3580e-01)	Loss Disc 6.8969e-01 (6.9566e-01)	Loss Pred 7.6803e-01 (8.1933e-01)	Loss TOTAL 1.1821e+00 (1.2685e+00)
Epoch: [0][180/270]	L_Src_Sup 2.9631e-01 (3.8920e-01)	L_Trg_Inj 2.6334e-01 (5.2583e-01)	Loss Disc 6.9180e-01 (6.9538e-01)	Loss Pred 7.6546e-01 (8.1888e-01)	Loss TOTAL 1.2003e+00 (1.2657e+00)
Epoch: [0][190/270]	L_Src_Sup 1.1023e-01 (3.7970e-01)	L_Trg_Inj 4.8217e-01 (5.2030e-01)	Loss Disc 6.8929e-01 (6.9512e-01)	Loss Pred 7.9788e-01 (8.1801e-01)	Loss TOTAL 1.2018e+00 (1.2630e+00)
Epoch: [0][200/270]	L_Src_Sup 2.3707e-01 (3.6866e-01)	L_Trg_Inj 3.7467e-01 (5.1478e-01)	Loss Disc 6.9056e-01 (6.9488e-01)	Loss Pred 7.7120e-01 (8.1645e-01)	Loss TOTAL 1.1776e+00 (1.2593e+00)
Epoch: [0][210/270]	L_Src_Sup 2.8393e-01 (3.6131e-01)	L_Trg_Inj 1.8288e-01 (5.0456e-01)	Loss Disc 6.9013e-01 (6.9472e-01)	Loss Pred 7.5794e-01 (8.1419e-01)	Loss TOTAL 1.2507e+00 (1.2561e+00)
Epoch: [0][220/270]	L_Src_Sup 1.7891e-01 (3.5550e-01)	L_Trg_Inj 5.0604e-01 (4.9712e-01)	Loss Disc 6.8852e-01 (6.9445e-01)	Loss Pred 7.9480e-01 (8.1419e-01)	Loss TOTAL 1.2076e+00 (1.2551e+00)
Epoch: [0][230/270]	L_Src_Sup 2.1510e-01 (3.5020e-01)	L_Trg_Inj 6.1044e-01 (4.9413e-01)	Loss Disc 6.8673e-01 (6.9424e-01)	Loss Pred 7.6708e-01 (8.1366e-01)	Loss TOTAL 1.1930e+00 (1.2534e+00)
Epoch: [0][240/270]	L_Src_Sup 2.2042e-01 (3.4365e-01)	L_Trg_Inj 6.3445e-01 (4.9298e-01)	Loss Disc 6.8566e-01 (6.9406e-01)	Loss Pred 8.1420e-01 (8.1337e-01)	Loss TOTAL 1.2425e+00 (1.2519e+00)
Epoch: [0][250/270]	L_Src_Sup 1.6328e-01 (3.3722e-01)	L_Trg_Inj 3.3370e-01 (4.8969e-01)	Loss Disc 6.9407e-01 (6.9396e-01)	Loss Pred 8.5936e-01 (8.1308e-01)	Loss TOTAL 1.2561e+00 (1.2503e+00)
Epoch: [0][260/270]	L_Src_Sup 1.4283e-01 (3.3063e-01)	L_Trg_Inj 1.9327e-01 (4.8607e-01)	Loss Disc 6.9312e-01 (6.9384e-01)	Loss Pred 8.2829e-01 (8.1147e-01)	Loss TOTAL 1.2085e+00 (1.2473e+00)
Epoch: [0][270/270]	L_Src_Sup 1.4212e-01 (3.2448e-01)	L_Trg_Inj 2.1055e-01 (4.7733e-01)	Loss Disc 6.9160e-01 (6.9377e-01)	Loss Pred 7.6704e-01 (8.1060e-01)	Loss TOTAL 1.1481e+00 (1.2448e+00)
Epoch: [0][270/270]	L_Src_Sup 1.4212e-01 (3.2448e-01)	L_Trg_Inj 2.1055e-01 (4.7733e-01)	Loss Disc 6.9160e-01 (6.9377e-01)	Loss Pred 7.6704e-01 (8.1060e-01)	Loss TOTAL 1.1481e+00 (1.2448e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/270]	L_Src_Sup 1.6752e-01 (1.5528e-01)	L_Trg_Inj 2.6638e-01 (2.9519e-01)	Loss Disc 6.9046e-01 (6.9185e-01)	Loss Pred 7.7833e-01 (7.6384e-01)	Loss TOTAL 1.1670e+00 (1.1596e+00)
Epoch: [1][ 20/270]	L_Src_Sup 8.4372e-02 (1.6484e-01)	L_Trg_Inj 2.5931e-01 (2.8869e-01)	Loss Disc 6.8950e-01 (6.9165e-01)	Loss Pred 8.1532e-01 (7.6250e-01)	Loss TOTAL 1.1944e+00 (1.1592e+00)
Epoch: [1][ 30/270]	L_Src_Sup 4.9682e-01 (1.8345e-01)	L_Trg_Inj 3.5105e-01 (2.6903e-01)	Loss Disc 6.9446e-01 (6.9175e-01)	Loss Pred 7.7209e-01 (7.6531e-01)	Loss TOTAL 1.3499e+00 (1.1695e+00)
Epoch: [1][ 40/270]	L_Src_Sup 1.7270e-01 (1.8870e-01)	L_Trg_Inj 4.3216e-01 (3.0205e-01)	Loss Disc 6.9038e-01 (6.9126e-01)	Loss Pred 7.3593e-01 (7.6130e-01)	Loss TOTAL 1.1416e+00 (1.1677e+00)
Epoch: [1][ 50/270]	L_Src_Sup 1.5653e-01 (1.8234e-01)	L_Trg_Inj 3.1185e-01 (3.0873e-01)	Loss Disc 6.8987e-01 (6.9126e-01)	Loss Pred 7.3170e-01 (7.6222e-01)	Loss TOTAL 1.1235e+00 (1.1663e+00)
Epoch: [1][ 60/270]	L_Src_Sup 1.4741e-01 (1.8098e-01)	L_Trg_Inj 3.3078e-01 (3.0538e-01)	Loss Disc 6.9186e-01 (6.9139e-01)	Loss Pred 7.7878e-01 (7.6024e-01)	Loss TOTAL 1.1725e+00 (1.1624e+00)
Epoch: [1][ 70/270]	L_Src_Sup 1.9823e-01 (1.8023e-01)	L_Trg_Inj 4.3260e-01 (3.0822e-01)	Loss Disc 6.8846e-01 (6.9131e-01)	Loss Pred 7.2452e-01 (7.5995e-01)	Loss TOTAL 1.1318e+00 (1.1618e+00)
Epoch: [1][ 80/270]	L_Src_Sup 9.0204e-02 (1.7247e-01)	L_Trg_Inj 3.5778e-01 (2.9743e-01)	Loss Disc 6.8974e-01 (6.9116e-01)	Loss Pred 7.2911e-01 (7.5417e-01)	Loss TOTAL 1.1188e+00 (1.1539e+00)
Epoch: [1][ 90/270]	L_Src_Sup 4.1990e-02 (1.6078e-01)	L_Trg_Inj 1.4778e-01 (2.9945e-01)	Loss Disc 6.9124e-01 (6.9104e-01)	Loss Pred 6.8336e-01 (7.4890e-01)	Loss TOTAL 1.0480e+00 (1.1468e+00)
Epoch: [1][100/270]	L_Src_Sup 2.1945e-02 (1.4797e-01)	L_Trg_Inj 2.3991e-01 (2.8793e-01)	Loss Disc 6.8697e-01 (6.9084e-01)	Loss Pred 6.4513e-01 (7.4047e-01)	Loss TOTAL 1.0148e+00 (1.1355e+00)
Epoch: [1][110/270]	L_Src_Sup 2.0203e-02 (1.3739e-01)	L_Trg_Inj 8.4181e-02 (2.8087e-01)	Loss Disc 6.8983e-01 (6.9080e-01)	Loss Pred 6.4988e-01 (7.3391e-01)	Loss TOTAL 1.0052e+00 (1.1266e+00)
Epoch: [1][120/270]	L_Src_Sup 2.1126e-02 (1.3101e-01)	L_Trg_Inj 5.8156e-02 (2.6707e-01)	Loss Disc 6.8789e-01 (6.9073e-01)	Loss Pred 6.7444e-01 (7.2704e-01)	Loss TOTAL 1.0263e+00 (1.1173e+00)
Epoch: [1][130/270]	L_Src_Sup 2.3447e-02 (1.2586e-01)	L_Trg_Inj 1.1246e-01 (2.5956e-01)	Loss Disc 6.8964e-01 (6.9071e-01)	Loss Pred 5.9334e-01 (7.1955e-01)	Loss TOTAL 9.5175e-01 (1.1086e+00)
Epoch: [1][140/270]	L_Src_Sup 4.4527e-03 (1.1769e-01)	L_Trg_Inj 2.7143e-02 (2.4406e-01)	Loss Disc 6.9175e-01 (6.9072e-01)	Loss Pred 5.8840e-01 (7.1134e-01)	Loss TOTAL 9.3743e-01 (1.0976e+00)
Epoch: [1][150/270]	L_Src_Sup 1.8891e-02 (1.1177e-01)	L_Trg_Inj 3.1349e-01 (2.4537e-01)	Loss Disc 6.8797e-01 (6.9073e-01)	Loss Pred 6.1400e-01 (7.0551e-01)	Loss TOTAL 9.9123e-01 (1.0915e+00)
Epoch: [1][160/270]	L_Src_Sup 7.6824e-02 (1.0614e-01)	L_Trg_Inj 1.4776e-01 (2.3790e-01)	Loss Disc 6.8875e-01 (6.9072e-01)	Loss Pred 5.9472e-01 (6.9946e-01)	Loss TOTAL 9.6155e-01 (1.0840e+00)
Epoch: [1][170/270]	L_Src_Sup 8.6635e-03 (1.0043e-01)	L_Trg_Inj 1.6060e-02 (2.2668e-01)	Loss Disc 6.9041e-01 (6.9075e-01)	Loss Pred 5.3607e-01 (6.9298e-01)	Loss TOTAL 8.8375e-01 (1.0755e+00)
