Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.31113539405733, std[0]=1.9631620335514102)
Loading Target Train...
Epoch: [0][ 10/313]	L_Src_Sup 1.9833e+00 (1.9966e+00)	L_Trg_Inj 1.9802e+00 (1.9962e+00)	Loss Disc 7.1884e-01 (7.2204e-01)	Loss Pred 9.4109e-01 (9.9614e-01)	Loss TOTAL 1.6999e+00 (1.7569e+00)
Epoch: [0][ 20/313]	L_Src_Sup 2.8482e-01 (1.6601e+00)	L_Trg_Inj 1.9143e-01 (1.6527e+00)	Loss Disc 7.0921e-01 (7.1794e-01)	Loss Pred 9.6368e-01 (9.8571e-01)	Loss TOTAL 1.4593e+00 (1.6907e+00)
Epoch: [0][ 30/313]	L_Src_Sup 2.6083e-01 (1.2705e+00)	L_Trg_Inj 5.6406e-01 (1.2993e+00)	Loss Disc 7.0033e-01 (7.1327e-01)	Loss Pred 9.3361e-01 (9.8229e-01)	Loss TOTAL 1.3663e+00 (1.6138e+00)
Epoch: [0][ 40/313]	L_Src_Sup 1.5379e-01 (1.0123e+00)	L_Trg_Inj 2.8066e-01 (1.0629e+00)	Loss Disc 6.9600e-01 (7.0934e-01)	Loss Pred 1.0492e+00 (9.9004e-01)	Loss TOTAL 1.4406e+00 (1.5665e+00)
Epoch: [0][ 50/313]	L_Src_Sup 1.5400e-01 (8.4848e-01)	L_Trg_Inj 2.8127e-01 (9.1122e-01)	Loss Disc 6.9457e-01 (7.0649e-01)	Loss Pred 9.9021e-01 (9.8947e-01)	Loss TOTAL 1.3810e+00 (1.5306e+00)
Epoch: [0][ 60/313]	L_Src_Sup 1.7520e-01 (7.3009e-01)	L_Trg_Inj 5.2054e-01 (8.0352e-01)	Loss Disc 6.9406e-01 (7.0446e-01)	Loss Pred 9.1361e-01 (9.8892e-01)	Loss TOTAL 1.3302e+00 (1.5056e+00)
Epoch: [0][ 70/313]	L_Src_Sup 1.1840e-01 (6.4248e-01)	L_Trg_Inj 2.8656e-01 (7.3184e-01)	Loss Disc 6.9380e-01 (7.0295e-01)	Loss Pred 1.0084e+00 (9.8778e-01)	Loss TOTAL 1.3958e+00 (1.4881e+00)
Epoch: [0][ 80/313]	L_Src_Sup 1.3197e-01 (5.7611e-01)	L_Trg_Inj 2.7107e-01 (6.7176e-01)	Loss Disc 6.9380e-01 (7.0181e-01)	Loss Pred 9.9932e-01 (9.8946e-01)	Loss TOTAL 1.3865e+00 (1.4758e+00)
Epoch: [0][ 90/313]	L_Src_Sup 8.3001e-02 (5.2414e-01)	L_Trg_Inj 2.2659e-01 (6.2599e-01)	Loss Disc 6.9342e-01 (7.0089e-01)	Loss Pred 9.4618e-01 (9.8879e-01)	Loss TOTAL 1.3238e+00 (1.4638e+00)
Epoch: [0][100/313]	L_Src_Sup 9.4584e-02 (4.8437e-01)	L_Trg_Inj 1.7869e-01 (5.9207e-01)	Loss Disc 6.9353e-01 (7.0016e-01)	Loss Pred 9.1297e-01 (9.8716e-01)	Loss TOTAL 1.2871e+00 (1.4538e+00)
Epoch: [0][110/313]	L_Src_Sup 1.1399e-01 (4.4760e-01)	L_Trg_Inj 1.8853e-01 (5.5639e-01)	Loss Disc 6.9323e-01 (6.9955e-01)	Loss Pred 9.4913e-01 (9.8605e-01)	Loss TOTAL 1.3260e+00 (1.4443e+00)
Epoch: [0][120/313]	L_Src_Sup 8.9997e-02 (4.1985e-01)	L_Trg_Inj 1.5854e-01 (5.2932e-01)	Loss Disc 6.9356e-01 (6.9904e-01)	Loss Pred 9.5990e-01 (9.8489e-01)	Loss TOTAL 1.3315e+00 (1.4374e+00)
Epoch: [0][130/313]	L_Src_Sup 1.8559e-01 (3.9735e-01)	L_Trg_Inj 1.5701e-01 (5.0516e-01)	Loss Disc 6.9335e-01 (6.9860e-01)	Loss Pred 9.5704e-01 (9.8249e-01)	Loss TOTAL 1.3666e+00 (1.4304e+00)
Epoch: [0][140/313]	L_Src_Sup 5.4813e-02 (3.7479e-01)	L_Trg_Inj 2.4862e-01 (4.8524e-01)	Loss Disc 6.9295e-01 (6.9823e-01)	Loss Pred 8.9580e-01 (9.8140e-01)	Loss TOTAL 1.2726e+00 (1.4243e+00)
Epoch: [0][150/313]	L_Src_Sup 6.0512e-02 (3.5306e-01)	L_Trg_Inj 1.2292e-01 (4.6213e-01)	Loss Disc 6.9337e-01 (6.9789e-01)	Loss Pred 9.7292e-01 (9.8015e-01)	Loss TOTAL 1.3379e+00 (1.4180e+00)
Epoch: [0][160/313]	L_Src_Sup 3.3633e-02 (3.3380e-01)	L_Trg_Inj 2.2686e-01 (4.3920e-01)	Loss Disc 6.9245e-01 (6.9757e-01)	Loss Pred 9.2634e-01 (9.7879e-01)	Loss TOTAL 1.2986e+00 (1.4120e+00)
Epoch: [0][170/313]	L_Src_Sup 3.6164e-03 (3.1492e-01)	L_Trg_Inj 4.1669e-02 (4.1755e-01)	Loss Disc 6.9079e-01 (6.9722e-01)	Loss Pred 9.4457e-01 (9.7653e-01)	Loss TOTAL 1.2945e+00 (1.4051e+00)
Epoch: [0][180/313]	L_Src_Sup 4.3606e-03 (2.9787e-01)	L_Trg_Inj 4.3863e-02 (3.9693e-01)	Loss Disc 6.8921e-01 (6.9671e-01)	Loss Pred 9.1728e-01 (9.7465e-01)	Loss TOTAL 1.2667e+00 (1.3988e+00)
Epoch: [0][190/313]	L_Src_Sup 4.9107e-04 (2.8278e-01)	L_Trg_Inj 5.9649e-02 (3.7942e-01)	Loss Disc 6.8143e-01 (6.9608e-01)	Loss Pred 8.8780e-01 (9.7146e-01)	Loss TOTAL 1.2345e+00 (1.3919e+00)
Epoch: [0][200/313]	L_Src_Sup 1.4441e-04 (2.6919e-01)	L_Trg_Inj 7.3393e-02 (3.6305e-01)	Loss Disc 6.8111e-01 (6.9525e-01)	Loss Pred 9.0757e-01 (9.6800e-01)	Loss TOTAL 1.2555e+00 (1.3848e+00)
Epoch: [0][210/313]	L_Src_Sup 4.5739e-03 (2.5683e-01)	L_Trg_Inj 1.1481e-01 (3.4987e-01)	Loss Disc 6.8512e-01 (6.9450e-01)	Loss Pred 8.7060e-01 (9.6402e-01)	Loss TOTAL 1.2251e+00 (1.3777e+00)
Epoch: [0][220/313]	L_Src_Sup 1.0223e-02 (2.4553e-01)	L_Trg_Inj 2.7001e-02 (3.3671e-01)	Loss Disc 6.7255e-01 (6.9387e-01)	Loss Pred 8.5153e-01 (9.5923e-01)	Loss TOTAL 1.1915e+00 (1.3698e+00)
Epoch: [0][230/313]	L_Src_Sup 5.8220e-02 (2.3560e-01)	L_Trg_Inj 5.1063e-02 (3.2435e-01)	Loss Disc 6.8894e-01 (6.9341e-01)	Loss Pred 8.4662e-01 (9.5443e-01)	Loss TOTAL 1.2092e+00 (1.3624e+00)
Epoch: [0][240/313]	L_Src_Sup 1.3005e-02 (2.2624e-01)	L_Trg_Inj 2.1134e-02 (3.1283e-01)	Loss Disc 6.8347e-01 (6.9305e-01)	Loss Pred 8.7237e-01 (9.4990e-01)	Loss TOTAL 1.2175e+00 (1.3554e+00)
Epoch: [0][250/313]	L_Src_Sup 0.0000e+00 (2.1736e-01)	L_Trg_Inj 1.4297e-02 (3.0212e-01)	Loss Disc 6.8486e-01 (6.9290e-01)	Loss Pred 8.4073e-01 (9.4481e-01)	Loss TOTAL 1.1846e+00 (1.3480e+00)
