Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.097156962620485, std[0]=2.01194913049682)
Loading Target Train...
Epoch: [0][ 10/299]	L_Src_Sup 1.9633e+00 (1.9915e+00)	L_Trg_Inj 1.9531e+00 (1.9900e+00)	Loss Disc 7.1734e-01 (7.2044e-01)	Loss Pred 9.6523e-01 (9.0180e-01)	Loss TOTAL 1.7258e+00 (1.6618e+00)
Epoch: [0][ 20/299]	L_Src_Sup 2.6638e-01 (1.5888e+00)	L_Trg_Inj 1.4325e-01 (1.5736e+00)	Loss Disc 7.0767e-01 (7.1636e-01)	Loss Pred 9.0919e-01 (9.0876e-01)	Loss TOTAL 1.4271e+00 (1.6089e+00)
Epoch: [0][ 30/299]	L_Src_Sup 1.8169e-01 (1.2885e+00)	L_Trg_Inj 4.0622e-01 (1.3146e+00)	Loss Disc 6.9905e-01 (7.1176e-01)	Loss Pred 9.0042e-01 (9.0367e-01)	Loss TOTAL 1.3087e+00 (1.5371e+00)
Epoch: [0][ 40/299]	L_Src_Sup 1.9202e-01 (1.0274e+00)	L_Trg_Inj 4.0957e-01 (1.0911e+00)	Loss Disc 6.9540e-01 (7.0799e-01)	Loss Pred 9.7513e-01 (9.0511e-01)	Loss TOTAL 1.3830e+00 (1.4848e+00)
Epoch: [0][ 50/299]	L_Src_Sup 2.4333e-01 (8.7221e-01)	L_Trg_Inj 2.5777e-01 (9.3807e-01)	Loss Disc 6.9393e-01 (7.0530e-01)	Loss Pred 9.0817e-01 (9.0657e-01)	Loss TOTAL 1.3052e+00 (1.4521e+00)
Epoch: [0][ 60/299]	L_Src_Sup 3.6780e-01 (7.8050e-01)	L_Trg_Inj 4.9535e-01 (8.4738e-01)	Loss Disc 6.9381e-01 (7.0339e-01)	Loss Pred 9.7600e-01 (9.0796e-01)	Loss TOTAL 1.4092e+00 (1.4369e+00)
Epoch: [0][ 70/299]	L_Src_Sup 2.4369e-01 (7.0358e-01)	L_Trg_Inj 2.1967e-01 (7.8346e-01)	Loss Disc 6.9343e-01 (7.0193e-01)	Loss Pred 1.0012e+00 (9.1245e-01)	Loss TOTAL 1.4183e+00 (1.4249e+00)
Epoch: [0][ 80/299]	L_Src_Sup 2.0421e-01 (6.4490e-01)	L_Trg_Inj 2.2089e-01 (7.3962e-01)	Loss Disc 6.9288e-01 (7.0078e-01)	Loss Pred 8.9956e-01 (9.1337e-01)	Loss TOTAL 1.2885e+00 (1.4140e+00)
Epoch: [0][ 90/299]	L_Src_Sup 1.1533e-01 (6.0314e-01)	L_Trg_Inj 3.3834e-01 (7.0227e-01)	Loss Disc 6.9202e-01 (6.9987e-01)	Loss Pred 9.2492e-01 (9.1494e-01)	Loss TOTAL 1.3163e+00 (1.4063e+00)
Epoch: [0][100/299]	L_Src_Sup 2.0632e-01 (5.6264e-01)	L_Trg_Inj 2.9124e-01 (6.7049e-01)	Loss Disc 6.9205e-01 (6.9911e-01)	Loss Pred 9.6782e-01 (9.1372e-01)	Loss TOTAL 1.3636e+00 (1.3970e+00)
Epoch: [0][110/299]	L_Src_Sup 1.9679e-01 (5.2794e-01)	L_Trg_Inj 2.1735e-01 (6.4383e-01)	Loss Disc 6.9187e-01 (6.9846e-01)	Loss Pred 9.2487e-01 (9.1450e-01)	Loss TOTAL 1.3122e+00 (1.3907e+00)
Epoch: [0][120/299]	L_Src_Sup 3.3238e-01 (5.0385e-01)	L_Trg_Inj 3.1459e-01 (6.1482e-01)	Loss Disc 6.9116e-01 (6.9788e-01)	Loss Pred 8.4699e-01 (9.1428e-01)	Loss TOTAL 1.2751e+00 (1.3844e+00)
Epoch: [0][130/299]	L_Src_Sup 1.6907e-01 (4.8182e-01)	L_Trg_Inj 2.2869e-01 (6.0173e-01)	Loss Disc 6.9154e-01 (6.9735e-01)	Loss Pred 9.2479e-01 (9.1335e-01)	Loss TOTAL 1.3103e+00 (1.3790e+00)
Epoch: [0][140/299]	L_Src_Sup 2.4335e-01 (4.6185e-01)	L_Trg_Inj 2.8296e-01 (5.7742e-01)	Loss Disc 6.8965e-01 (6.9684e-01)	Loss Pred 8.8055e-01 (9.1348e-01)	Loss TOTAL 1.2780e+00 (1.3742e+00)
Epoch: [0][150/299]	L_Src_Sup 1.9858e-01 (4.4507e-01)	L_Trg_Inj 1.9546e-01 (5.5542e-01)	Loss Disc 6.9137e-01 (6.9639e-01)	Loss Pred 9.4273e-01 (9.1329e-01)	Loss TOTAL 1.3309e+00 (1.3697e+00)
Epoch: [0][160/299]	L_Src_Sup 9.6299e-02 (4.2992e-01)	L_Trg_Inj 2.6881e-01 (5.4117e-01)	Loss Disc 6.9026e-01 (6.9598e-01)	Loss Pred 9.0667e-01 (9.1137e-01)	Loss TOTAL 1.2883e+00 (1.3643e+00)
Epoch: [0][170/299]	L_Src_Sup 2.0200e-01 (4.1781e-01)	L_Trg_Inj 3.1673e-01 (5.2460e-01)	Loss Disc 6.8764e-01 (6.9561e-01)	Loss Pred 9.5212e-01 (9.1303e-01)	Loss TOTAL 1.3478e+00 (1.3638e+00)
Epoch: [0][180/299]	L_Src_Sup 2.5582e-01 (4.0612e-01)	L_Trg_Inj 2.6678e-01 (5.0886e-01)	Loss Disc 6.9022e-01 (6.9529e-01)	Loss Pred 9.3407e-01 (9.1238e-01)	Loss TOTAL 1.3314e+00 (1.3610e+00)
Epoch: [0][190/299]	L_Src_Sup 5.4347e-01 (3.9760e-01)	L_Trg_Inj 5.1550e-01 (4.9777e-01)	Loss Disc 6.9157e-01 (6.9502e-01)	Loss Pred 9.3394e-01 (9.1178e-01)	Loss TOTAL 1.4136e+00 (1.3583e+00)
Epoch: [0][200/299]	L_Src_Sup 1.3457e-01 (3.9013e-01)	L_Trg_Inj 2.1653e-01 (4.8659e-01)	Loss Disc 6.8562e-01 (6.9467e-01)	Loss Pred 9.0658e-01 (9.1230e-01)	Loss TOTAL 1.2845e+00 (1.3578e+00)
Epoch: [0][210/299]	L_Src_Sup 4.2211e-01 (3.8547e-01)	L_Trg_Inj 5.2275e-01 (4.8517e-01)	Loss Disc 6.8453e-01 (6.9429e-01)	Loss Pred 9.3424e-01 (9.1078e-01)	Loss TOTAL 1.3710e+00 (1.3556e+00)
Epoch: [0][220/299]	L_Src_Sup 2.6476e-01 (3.7675e-01)	L_Trg_Inj 3.2214e-01 (4.8115e-01)	Loss Disc 6.8650e-01 (6.9385e-01)	Loss Pred 8.7768e-01 (9.0967e-01)	Loss TOTAL 1.2796e+00 (1.3525e+00)
Epoch: [0][230/299]	L_Src_Sup 2.0848e-01 (3.6858e-01)	L_Trg_Inj 2.5121e-01 (4.7178e-01)	Loss Disc 6.8989e-01 (6.9356e-01)	Loss Pred 9.0588e-01 (9.0889e-01)	Loss TOTAL 1.2968e+00 (1.3497e+00)
Epoch: [0][240/299]	L_Src_Sup 2.3907e-01 (3.6310e-01)	L_Trg_Inj 3.8378e-01 (4.6455e-01)	Loss Disc 6.8697e-01 (6.9329e-01)	Loss Pred 9.1543e-01 (9.0889e-01)	Loss TOTAL 1.3212e+00 (1.3482e+00)
Epoch: [0][250/299]	L_Src_Sup 1.3280e-01 (3.5696e-01)	L_Trg_Inj 2.9335e-01 (4.5864e-01)	Loss Disc 6.8139e-01 (6.9302e-01)	Loss Pred 8.5749e-01 (9.0865e-01)	Loss TOTAL 1.2408e+00 (1.3469e+00)
Epoch: [0][260/299]	L_Src_Sup 1.6312e-01 (3.5136e-01)	L_Trg_Inj 4.1619e-01 (4.5165e-01)	Loss Disc 6.8425e-01 (6.9283e-01)	Loss Pred 8.4734e-01 (9.0861e-01)	Loss TOTAL 1.2474e+00 (1.3456e+00)
Epoch: [0][270/299]	L_Src_Sup 1.3149e-01 (3.4640e-01)	L_Trg_Inj 4.0205e-01 (4.4677e-01)	Loss Disc 6.8713e-01 (6.9266e-01)	Loss Pred 9.2478e-01 (9.0792e-01)	Loss TOTAL 1.3217e+00 (1.3439e+00)
Epoch: [0][280/299]	L_Src_Sup 1.8523e-01 (3.4070e-01)	L_Trg_Inj 2.1626e-01 (4.4318e-01)	Loss Disc 6.9239e-01 (6.9253e-01)	Loss Pred 9.5481e-01 (9.0780e-01)	Loss TOTAL 1.3412e+00 (1.3424e+00)
Epoch: [0][290/299]	L_Src_Sup 2.2100e-01 (3.3618e-01)	L_Trg_Inj 2.6143e-01 (4.3814e-01)	Loss Disc 6.8730e-01 (6.9238e-01)	Loss Pred 8.5641e-01 (9.0830e-01)	Loss TOTAL 1.2483e+00 (1.3415e+00)
Epoch: [0][299/299]	L_Src_Sup 2.9439e-01 (3.3240e-01)	L_Trg_Inj 1.2204e-01 (4.3208e-01)	Loss Disc 6.9374e-01 (6.9232e-01)	Loss Pred 9.1516e-01 (9.0792e-01)	Loss TOTAL 1.4760e+00 (1.3405e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/299]	L_Src_Sup 1.6015e-01 (2.1266e-01)	L_Trg_Inj 3.3019e-01 (2.7047e-01)	Loss Disc 6.8957e-01 (6.8963e-01)	Loss Pred 9.4505e-01 (9.0654e-01)	Loss TOTAL 1.3389e+00 (1.3131e+00)
Epoch: [1][ 20/299]	L_Src_Sup 2.0001e-01 (2.2117e-01)	L_Trg_Inj 5.2820e-01 (3.0001e-01)	Loss Disc 6.9002e-01 (6.8980e-01)	Loss Pred 9.5387e-01 (9.0135e-01)	Loss TOTAL 1.3717e+00 (1.3159e+00)
Epoch: [1][ 30/299]	L_Src_Sup 3.1615e-01 (2.2942e-01)	L_Trg_Inj 5.0400e-01 (3.2379e-01)	Loss Disc 6.9147e-01 (6.8982e-01)	Loss Pred 8.4674e-01 (9.0456e-01)	Loss TOTAL 1.2745e+00 (1.3197e+00)
Epoch: [1][ 40/299]	L_Src_Sup 2.3391e-01 (2.2824e-01)	L_Trg_Inj 5.5423e-01 (3.7485e-01)	Loss Disc 6.8885e-01 (6.8992e-01)	Loss Pred 8.7495e-01 (9.0628e-01)	Loss TOTAL 1.2982e+00 (1.3227e+00)
Epoch: [1][ 50/299]	L_Src_Sup 1.7324e-01 (2.2424e-01)	L_Trg_Inj 3.1194e-01 (3.8753e-01)	Loss Disc 6.8725e-01 (6.8958e-01)	Loss Pred 9.0555e-01 (9.0539e-01)	Loss TOTAL 1.2977e+00 (1.3203e+00)
Epoch: [1][ 60/299]	L_Src_Sup 2.4421e-01 (2.2179e-01)	L_Trg_Inj 4.8683e-01 (3.7807e-01)	Loss Disc 6.9299e-01 (6.8969e-01)	Loss Pred 8.4553e-01 (9.0434e-01)	Loss TOTAL 1.2651e+00 (1.3175e+00)
Epoch: [1][ 70/299]	L_Src_Sup 2.1666e-01 (2.2340e-01)	L_Trg_Inj 3.0442e-01 (3.8968e-01)	Loss Disc 6.9091e-01 (6.8972e-01)	Loss Pred 8.9399e-01 (9.0696e-01)	Loss TOTAL 1.2916e+00 (1.3203e+00)
Epoch: [1][ 80/299]	L_Src_Sup 2.2907e-01 (2.2308e-01)	L_Trg_Inj 2.9785e-01 (3.7884e-01)	Loss Disc 6.8865e-01 (6.8974e-01)	Loss Pred 8.9507e-01 (9.0656e-01)	Loss TOTAL 1.2921e+00 (1.3183e+00)
Epoch: [1][ 90/299]	L_Src_Sup 3.3456e-01 (2.2495e-01)	L_Trg_Inj 6.1425e-01 (3.7300e-01)	Loss Disc 6.8635e-01 (6.8967e-01)	Loss Pred 8.7390e-01 (9.0430e-01)	Loss TOTAL 1.3120e+00 (1.3164e+00)
