Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.097156962620485, std[0]=2.01194913049682)
Loading Target Train...
Epoch: [0][ 10/299]	L_Src_Sup 1.8866e+00 (1.9829e+00)	L_Trg_Inj 1.9036e+00 (1.9845e+00)	Loss Disc 7.1734e-01 (7.2044e-01)	Loss Pred 9.6524e-01 (9.0180e-01)	Loss TOTAL 1.7029e+00 (1.6590e+00)
Epoch: [0][ 20/299]	L_Src_Sup 1.6578e-01 (1.3431e+00)	L_Trg_Inj 2.5738e-01 (1.3433e+00)	Loss Disc 7.0771e-01 (7.1637e-01)	Loss Pred 9.0918e-01 (9.0875e-01)	Loss TOTAL 1.3054e+00 (1.5546e+00)
Epoch: [0][ 30/299]	L_Src_Sup 4.1146e-01 (1.0528e+00)	L_Trg_Inj 5.5275e-01 (1.0567e+00)	Loss Disc 6.9911e-01 (7.1176e-01)	Loss Pred 9.0039e-01 (9.0366e-01)	Loss TOTAL 1.3464e+00 (1.4919e+00)
Epoch: [0][ 40/299]	L_Src_Sup 1.2035e-01 (8.5085e-01)	L_Trg_Inj 2.8254e-01 (8.8709e-01)	Loss Disc 6.9534e-01 (7.0800e-01)	Loss Pred 9.7517e-01 (9.0510e-01)	Loss TOTAL 1.3631e+00 (1.4498e+00)
Epoch: [0][ 50/299]	L_Src_Sup 2.8330e-01 (7.2808e-01)	L_Trg_Inj 4.4088e-01 (7.8878e-01)	Loss Disc 6.9406e-01 (7.0533e-01)	Loss Pred 9.0816e-01 (9.0657e-01)	Loss TOTAL 1.3276e+00 (1.4251e+00)
Epoch: [0][ 60/299]	L_Src_Sup 1.3034e-01 (6.4212e-01)	L_Trg_Inj 5.1797e-01 (7.1684e-01)	Loss Disc 6.9372e-01 (7.0340e-01)	Loss Pred 9.7585e-01 (9.0794e-01)	Loss TOTAL 1.3875e+00 (1.4094e+00)
Epoch: [0][ 70/299]	L_Src_Sup 2.5489e-01 (5.7635e-01)	L_Trg_Inj 2.0861e-01 (6.7188e-01)	Loss Disc 6.9347e-01 (7.0194e-01)	Loss Pred 1.0010e+00 (9.1241e-01)	Loss TOTAL 1.4403e+00 (1.4008e+00)
Epoch: [0][ 80/299]	L_Src_Sup 1.8703e-01 (5.2549e-01)	L_Trg_Inj 2.1657e-01 (6.3901e-01)	Loss Disc 6.9328e-01 (7.0081e-01)	Loss Pred 8.9923e-01 (9.1331e-01)	Loss TOTAL 1.2862e+00 (1.3912e+00)
Epoch: [0][ 90/299]	L_Src_Sup 5.9468e-02 (4.8609e-01)	L_Trg_Inj 4.3257e-01 (6.0456e-01)	Loss Disc 6.9235e-01 (6.9991e-01)	Loss Pred 9.2448e-01 (9.1484e-01)	Loss TOTAL 1.3199e+00 (1.3841e+00)
Epoch: [0][100/299]	L_Src_Sup 1.6128e-01 (4.5237e-01)	L_Trg_Inj 2.5907e-01 (5.7515e-01)	Loss Disc 6.9264e-01 (6.9917e-01)	Loss Pred 9.6664e-01 (9.1356e-01)	Loss TOTAL 1.3550e+00 (1.3752e+00)
Epoch: [0][110/299]	L_Src_Sup 1.8419e-01 (4.2376e-01)	L_Trg_Inj 1.5736e-01 (5.3929e-01)	Loss Disc 6.9195e-01 (6.9854e-01)	Loss Pred 9.2337e-01 (9.1423e-01)	Loss TOTAL 1.3303e+00 (1.3693e+00)
Epoch: [0][120/299]	L_Src_Sup 2.1605e-01 (4.0218e-01)	L_Trg_Inj 2.9957e-01 (5.2017e-01)	Loss Disc 6.9033e-01 (6.9795e-01)	Loss Pred 8.4505e-01 (9.1384e-01)	Loss TOTAL 1.2418e+00 (1.3640e+00)
Epoch: [0][130/299]	L_Src_Sup 1.8145e-01 (3.8305e-01)	L_Trg_Inj 2.8843e-01 (5.0175e-01)	Loss Disc 6.9104e-01 (6.9737e-01)	Loss Pred 9.1930e-01 (9.1268e-01)	Loss TOTAL 1.3118e+00 (1.3587e+00)
Epoch: [0][140/299]	L_Src_Sup 1.6012e-01 (3.6752e-01)	L_Trg_Inj 2.5840e-01 (4.8306e-01)	Loss Disc 6.8927e-01 (6.9683e-01)	Loss Pred 8.7488e-01 (9.1248e-01)	Loss TOTAL 1.2614e+00 (1.3543e+00)
Epoch: [0][150/299]	L_Src_Sup 1.4722e-01 (3.4964e-01)	L_Trg_Inj 1.1706e-01 (4.6226e-01)	Loss Disc 6.9089e-01 (6.9633e-01)	Loss Pred 9.3433e-01 (9.1193e-01)	Loss TOTAL 1.3364e+00 (1.3493e+00)
Epoch: [0][160/299]	L_Src_Sup 4.5926e-02 (3.3439e-01)	L_Trg_Inj 1.3095e-01 (4.4439e-01)	Loss Disc 6.9014e-01 (6.9585e-01)	Loss Pred 8.9579e-01 (9.0957e-01)	Loss TOTAL 1.2585e+00 (1.3430e+00)
Epoch: [0][170/299]	L_Src_Sup 1.3315e-01 (3.1994e-01)	L_Trg_Inj 1.3385e-01 (4.2746e-01)	Loss Disc 6.9141e-01 (6.9551e-01)	Loss Pred 9.3382e-01 (9.1042e-01)	Loss TOTAL 1.3062e+00 (1.3402e+00)
Epoch: [0][180/299]	L_Src_Sup 2.1730e-01 (3.1274e-01)	L_Trg_Inj 3.2107e-01 (4.1516e-01)	Loss Disc 6.9154e-01 (6.9519e-01)	Loss Pred 9.1935e-01 (9.0908e-01)	Loss TOTAL 1.3190e+00 (1.3377e+00)
Epoch: [0][190/299]	L_Src_Sup 1.3510e-01 (3.0371e-01)	L_Trg_Inj 3.8960e-01 (4.1063e-01)	Loss Disc 6.8932e-01 (6.9490e-01)	Loss Pred 9.0324e-01 (9.0780e-01)	Loss TOTAL 1.3004e+00 (1.3345e+00)
Epoch: [0][200/299]	L_Src_Sup 6.9824e-02 (2.9369e-01)	L_Trg_Inj 2.9621e-01 (4.0854e-01)	Loss Disc 6.8017e-01 (6.9441e-01)	Loss Pred 8.8159e-01 (9.0710e-01)	Loss TOTAL 1.2583e+00 (1.3319e+00)
Epoch: [0][210/299]	L_Src_Sup 2.2123e-01 (2.8650e-01)	L_Trg_Inj 1.1974e-01 (4.0108e-01)	Loss Disc 6.8655e-01 (6.9410e-01)	Loss Pred 8.9771e-01 (9.0433e-01)	Loss TOTAL 1.3766e+00 (1.3277e+00)
Epoch: [0][220/299]	L_Src_Sup 1.3281e-01 (2.7901e-01)	L_Trg_Inj 1.3587e-01 (3.9511e-01)	Loss Disc 6.9085e-01 (6.9383e-01)	Loss Pred 8.3688e-01 (9.0179e-01)	Loss TOTAL 1.2092e+00 (1.3233e+00)
Epoch: [0][230/299]	L_Src_Sup 8.2187e-02 (2.7177e-01)	L_Trg_Inj 1.7536e-01 (3.8491e-01)	Loss Disc 6.8690e-01 (6.9348e-01)	Loss Pred 8.4200e-01 (8.9917e-01)	Loss TOTAL 1.2112e+00 (1.3185e+00)
