Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=21.89561716114523, std[0]=2.387593970262303)
Loading Target Train...
Epoch: [0][ 10/270]	L_Src_Sup 1.9861e+00 (1.9962e+00)	L_Trg_Inj 1.9866e+00 (1.9960e+00)	Loss Disc 7.1732e-01 (7.2044e-01)	Loss Pred 8.2105e-01 (8.1852e-01)	Loss TOTAL 1.5770e+00 (1.5783e+00)
Epoch: [0][ 20/270]	L_Src_Sup 1.9418e+00 (1.7695e+00)	L_Trg_Inj 1.9473e+00 (1.7511e+00)	Loss Disc 7.0799e-01 (7.1638e-01)	Loss Pred 8.0194e-01 (8.2632e-01)	Loss TOTAL 1.5448e+00 (1.5577e+00)
Epoch: [0][ 30/270]	L_Src_Sup 2.7171e-01 (1.5759e+00)	L_Trg_Inj 1.1700e-01 (1.5590e+00)	Loss Disc 6.9896e-01 (7.1177e-01)	Loss Pred 8.2412e-01 (8.2842e-01)	Loss TOTAL 1.3672e+00 (1.5218e+00)
Epoch: [0][ 40/270]	L_Src_Sup 1.4745e-01 (1.2860e+00)	L_Trg_Inj 4.6297e-01 (1.2949e+00)	Loss Disc 6.9567e-01 (7.0803e-01)	Loss Pred 8.5580e-01 (8.2593e-01)	Loss TOTAL 1.2647e+00 (1.4576e+00)
Epoch: [0][ 50/270]	L_Src_Sup 4.0338e-02 (1.0539e+00)	L_Trg_Inj 3.0231e-01 (1.1083e+00)	Loss Disc 6.9385e-01 (7.0534e-01)	Loss Pred 7.8295e-01 (8.2067e-01)	Loss TOTAL 1.1641e+00 (1.4052e+00)
Epoch: [0][ 60/270]	L_Src_Sup 6.8889e-03 (8.8220e-01)	L_Trg_Inj 1.8964e-01 (9.5775e-01)	Loss Disc 6.9342e-01 (7.0341e-01)	Loss Pred 7.4361e-01 (8.2044e-01)	Loss TOTAL 1.1100e+00 (1.3692e+00)
Epoch: [0][ 70/270]	L_Src_Sup 2.8790e-04 (7.5853e-01)	L_Trg_Inj 2.9779e-02 (8.3170e-01)	Loss Disc 6.9361e-01 (7.0197e-01)	Loss Pred 8.1134e-01 (8.1864e-01)	Loss TOTAL 1.1611e+00 (1.3398e+00)
Epoch: [0][ 80/270]	L_Src_Sup 5.2544e-02 (6.6519e-01)	L_Trg_Inj 3.4751e-02 (7.3262e-01)	Loss Disc 6.9341e-01 (7.0086e-01)	Loss Pred 7.8956e-01 (8.1634e-01)	Loss TOTAL 1.1628e+00 (1.3166e+00)
Epoch: [0][ 90/270]	L_Src_Sup 1.4485e-02 (5.9187e-01)	L_Trg_Inj 1.8267e-02 (6.5475e-01)	Loss Disc 6.9285e-01 (6.9999e-01)	Loss Pred 8.4066e-01 (8.1360e-01)	Loss TOTAL 1.1904e+00 (1.2973e+00)
Epoch: [0][100/270]	L_Src_Sup 1.5475e-02 (5.3332e-01)	L_Trg_Inj 4.4477e-02 (5.9111e-01)	Loss Disc 6.9253e-01 (6.9929e-01)	Loss Pred 7.8671e-01 (8.1220e-01)	Loss TOTAL 1.1390e+00 (1.2825e+00)
Epoch: [0][110/270]	L_Src_Sup 5.2920e-04 (4.8587e-01)	L_Trg_Inj 2.9188e-02 (5.4549e-01)	Loss Disc 6.9195e-01 (6.9867e-01)	Loss Pred 7.5239e-01 (8.0998e-01)	Loss TOTAL 1.1013e+00 (1.2700e+00)
