Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=22.138862111119426, std[0]=1.9488357271938443)
Loading Target Train...
Epoch: [0][ 10/313]	L_Src_Sup 1.5996e+00 (1.9167e+00)	L_Trg_Inj 1.5859e+00 (1.9142e+00)	Loss Disc 7.1731e-01 (7.2043e-01)	Loss Pred 9.3347e-01 (9.9988e-01)	Loss TOTAL 1.6243e+00 (1.7491e+00)
Epoch: [0][ 20/313]	L_Src_Sup 1.0275e+00 (1.3954e+00)	L_Trg_Inj 9.4147e-01 (1.3614e+00)	Loss Disc 7.0775e-01 (7.1634e-01)	Loss Pred 1.0529e+00 (1.0006e+00)	Loss TOTAL 1.6896e+00 (1.6891e+00)
Epoch: [0][ 30/313]	L_Src_Sup 1.4570e-01 (1.0687e+00)	L_Trg_Inj 5.5724e-01 (1.0870e+00)	Loss Disc 6.9905e-01 (7.1174e-01)	Loss Pred 9.2647e-01 (9.9526e-01)	Loss TOTAL 1.3463e+00 (1.6088e+00)
Epoch: [0][ 40/313]	L_Src_Sup 1.8045e-01 (8.6155e-01)	L_Trg_Inj 4.4110e-01 (9.1854e-01)	Loss Disc 6.9526e-01 (7.0796e-01)	Loss Pred 1.0270e+00 (9.9290e-01)	Loss TOTAL 1.4368e+00 (1.5578e+00)
Epoch: [0][ 50/313]	L_Src_Sup 2.6437e-01 (7.2878e-01)	L_Trg_Inj 3.1631e-01 (8.1036e-01)	Loss Disc 6.9366e-01 (7.0524e-01)	Loss Pred 1.0183e+00 (9.9231e-01)	Loss TOTAL 1.4232e+00 (1.5252e+00)
Epoch: [0][ 60/313]	L_Src_Sup 3.1680e-01 (6.4868e-01)	L_Trg_Inj 6.0375e-01 (7.3231e-01)	Loss Disc 6.9342e-01 (7.0329e-01)	Loss Pred 9.3433e-01 (9.9083e-01)	Loss TOTAL 1.3731e+00 (1.5036e+00)
Epoch: [0][ 70/313]	L_Src_Sup 4.4903e-01 (6.0289e-01)	L_Trg_Inj 3.2572e-01 (6.7991e-01)	Loss Disc 6.9236e-01 (7.0180e-01)	Loss Pred 1.0152e+00 (9.9092e-01)	Loss TOTAL 1.5622e+00 (1.4957e+00)
Epoch: [0][ 80/313]	L_Src_Sup 1.8160e-01 (5.6563e-01)	L_Trg_Inj 3.1049e-01 (6.4920e-01)	Loss Disc 6.9097e-01 (7.0053e-01)	Loss Pred 9.8086e-01 (9.9062e-01)	Loss TOTAL 1.3755e+00 (1.4864e+00)
Epoch: [0][ 90/313]	L_Src_Sup 2.6383e-01 (5.3039e-01)	L_Trg_Inj 6.8673e-01 (6.2051e-01)	Loss Disc 6.8971e-01 (6.9944e-01)	Loss Pred 1.0251e+00 (9.9036e-01)	Loss TOTAL 1.4650e+00 (1.4773e+00)
Epoch: [0][100/313]	L_Src_Sup 2.8571e-01 (5.0078e-01)	L_Trg_Inj 4.8972e-01 (6.0831e-01)	Loss Disc 6.8648e-01 (6.9844e-01)	Loss Pred 9.6070e-01 (9.9181e-01)	Loss TOTAL 1.3815e+00 (1.4719e+00)
Epoch: [0][110/313]	L_Src_Sup 9.9604e-02 (4.7485e-01)	L_Trg_Inj 4.6515e-01 (5.8647e-01)	Loss Disc 6.8692e-01 (6.9753e-01)	Loss Pred 1.0630e+00 (9.9251e-01)	Loss TOTAL 1.4629e+00 (1.4669e+00)
Epoch: [0][120/313]	L_Src_Sup 2.0986e-01 (4.5373e-01)	L_Trg_Inj 2.6082e-01 (5.6589e-01)	Loss Disc 6.8491e-01 (6.9659e-01)	Loss Pred 1.0012e+00 (9.9280e-01)	Loss TOTAL 1.3908e+00 (1.4609e+00)
