Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.471746840994435, std[0]=0.9481898581911679)
Loading Target Train...
Epoch: [0][ 10/284]	L_Src_Sup 1.9946e+00 (1.9985e+00)	L_Trg_Inj 1.9944e+00 (1.9985e+00)	Loss Disc 7.1908e-01 (7.2221e-01)	Loss Pred 8.3712e-01 (8.2565e-01)	Loss TOTAL 1.5957e+00 (1.5866e+00)
Epoch: [0][ 20/284]	L_Src_Sup 1.9680e+00 (1.7927e+00)	L_Trg_Inj 1.9661e+00 (1.7885e+00)	Loss Disc 7.0987e-01 (7.1816e-01)	Loss Pred 8.1047e-01 (8.3034e-01)	Loss TOTAL 1.5608e+00 (1.5606e+00)
Epoch: [0][ 30/284]	L_Src_Sup 6.3907e-01 (1.7023e+00)	L_Trg_Inj 6.8389e-01 (1.7017e+00)	Loss Disc 7.0049e-01 (7.1356e-01)	Loss Pred 8.3214e-01 (8.2277e-01)	Loss TOTAL 1.3147e+00 (1.5295e+00)
Epoch: [0][ 40/284]	L_Src_Sup 2.4221e-01 (1.3379e+00)	L_Trg_Inj 3.0641e-01 (1.3747e+00)	Loss Disc 6.9605e-01 (7.0961e-01)	Loss Pred 8.3841e-01 (8.2115e-01)	Loss TOTAL 1.2413e+00 (1.4587e+00)
Epoch: [0][ 50/284]	L_Src_Sup 1.2174e-01 (1.1322e+00)	L_Trg_Inj 3.8725e-01 (1.1861e+00)	Loss Disc 6.9462e-01 (7.0669e-01)	Loss Pred 7.7436e-01 (8.1703e-01)	Loss TOTAL 1.1726e+00 (1.4167e+00)
Epoch: [0][ 60/284]	L_Src_Sup 2.4073e-01 (9.7549e-01)	L_Trg_Inj 4.0293e-01 (1.0487e+00)	Loss Disc 6.9325e-01 (7.0454e-01)	Loss Pred 7.8869e-01 (8.1405e-01)	Loss TOTAL 1.1997e+00 (1.3808e+00)
Epoch: [0][ 70/284]	L_Src_Sup 1.5340e-01 (8.6297e-01)	L_Trg_Inj 4.2181e-01 (9.4721e-01)	Loss Disc 6.9202e-01 (7.0287e-01)	Loss Pred 7.8539e-01 (8.1134e-01)	Loss TOTAL 1.1889e+00 (1.3542e+00)
Epoch: [0][ 80/284]	L_Src_Sup 2.7527e-01 (7.8050e-01)	L_Trg_Inj 3.1973e-01 (8.6994e-01)	Loss Disc 6.9182e-01 (7.0153e-01)	Loss Pred 8.5839e-01 (8.0870e-01)	Loss TOTAL 1.2638e+00 (1.3336e+00)
Epoch: [0][ 90/284]	L_Src_Sup 1.9700e-01 (7.1914e-01)	L_Trg_Inj 3.9869e-01 (8.1085e-01)	Loss Disc 6.9218e-01 (7.0041e-01)	Loss Pred 8.3758e-01 (8.0888e-01)	Loss TOTAL 1.2432e+00 (1.3205e+00)
Epoch: [0][100/284]	L_Src_Sup 2.1585e-01 (6.6552e-01)	L_Trg_Inj 3.4125e-01 (7.6686e-01)	Loss Disc 6.8945e-01 (6.9941e-01)	Loss Pred 7.4597e-01 (8.0652e-01)	Loss TOTAL 1.1464e+00 (1.3070e+00)
Epoch: [0][110/284]	L_Src_Sup 1.3243e-01 (6.2401e-01)	L_Trg_Inj 3.0764e-01 (7.2514e-01)	Loss Disc 6.8996e-01 (6.9850e-01)	Loss Pred 7.4200e-01 (8.0532e-01)	Loss TOTAL 1.1310e+00 (1.2968e+00)
Epoch: [0][120/284]	L_Src_Sup 1.6510e-01 (5.8758e-01)	L_Trg_Inj 2.8667e-01 (6.9104e-01)	Loss Disc 6.8866e-01 (6.9769e-01)	Loss Pred 7.4860e-01 (8.0401e-01)	Loss TOTAL 1.1381e+00 (1.2874e+00)
Epoch: [0][130/284]	L_Src_Sup 8.5692e-02 (5.5655e-01)	L_Trg_Inj 3.3912e-01 (6.5838e-01)	Loss Disc 6.8825e-01 (6.9702e-01)	Loss Pred 7.8733e-01 (8.0154e-01)	Loss TOTAL 1.1739e+00 (1.2781e+00)
Epoch: [0][140/284]	L_Src_Sup 2.6937e-01 (5.3050e-01)	L_Trg_Inj 3.5011e-01 (6.3593e-01)	Loss Disc 6.8616e-01 (6.9634e-01)	Loss Pred 7.5207e-01 (8.0097e-01)	Loss TOTAL 1.1571e+00 (1.2719e+00)
Epoch: [0][150/284]	L_Src_Sup 1.0264e-01 (5.0775e-01)	L_Trg_Inj 2.7082e-01 (6.1298e-01)	Loss Disc 6.8962e-01 (6.9584e-01)	Loss Pred 8.0482e-01 (8.0041e-01)	Loss TOTAL 1.1870e+00 (1.2665e+00)
Epoch: [0][160/284]	L_Src_Sup 1.7829e-01 (4.8766e-01)	L_Trg_Inj 2.2908e-01 (5.9276e-01)	Loss Disc 6.9139e-01 (6.9537e-01)	Loss Pred 8.1360e-01 (7.9840e-01)	Loss TOTAL 1.2000e+00 (1.2603e+00)
Epoch: [0][170/284]	L_Src_Sup 1.3681e-01 (4.6544e-01)	L_Trg_Inj 2.0380e-01 (5.7264e-01)	Loss Disc 6.8963e-01 (6.9501e-01)	Loss Pred 8.4564e-01 (7.9772e-01)	Loss TOTAL 1.2245e+00 (1.2549e+00)
Epoch: [0][180/284]	L_Src_Sup 1.1218e-01 (4.5002e-01)	L_Trg_Inj 3.7264e-01 (5.5674e-01)	Loss Disc 6.8826e-01 (6.9469e-01)	Loss Pred 7.3745e-01 (7.9588e-01)	Loss TOTAL 1.1301e+00 (1.2503e+00)
Epoch: [0][190/284]	L_Src_Sup 4.1576e-02 (4.3085e-01)	L_Trg_Inj 3.0928e-01 (5.4608e-01)	Loss Disc 6.8998e-01 (6.9432e-01)	Loss Pred 7.9238e-01 (7.9417e-01)	Loss TOTAL 1.1725e+00 (1.2451e+00)
Epoch: [0][200/284]	L_Src_Sup 1.5837e-02 (4.1163e-01)	L_Trg_Inj 2.9337e-01 (5.3577e-01)	Loss Disc 6.8754e-01 (6.9407e-01)	Loss Pred 6.6768e-01 (7.9302e-01)	Loss TOTAL 1.0424e+00 (1.2406e+00)
Epoch: [0][210/284]	L_Src_Sup 2.5540e-02 (3.9345e-01)	L_Trg_Inj 1.0804e-01 (5.2103e-01)	Loss Disc 6.9129e-01 (6.9386e-01)	Loss Pred 7.1187e-01 (7.9051e-01)	Loss TOTAL 1.0709e+00 (1.2344e+00)
Epoch: [0][220/284]	L_Src_Sup 2.6430e-01 (3.8569e-01)	L_Trg_Inj 3.5006e-01 (5.0698e-01)	Loss Disc 6.9188e-01 (6.9385e-01)	Loss Pred 7.6464e-01 (7.8981e-01)	Loss TOTAL 1.1720e+00 (1.2334e+00)
