Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.575468652545966, std[0]=0.9216816724284855)
Loading Target Train...
Epoch: [0][ 10/313]	L_Src_Sup 1.7812e+00 (1.9603e+00)	L_Trg_Inj 1.7650e+00 (1.9589e+00)	Loss Disc 7.1733e-01 (7.2044e-01)	Loss Pred 1.0022e+00 (9.8981e-01)	Loss TOTAL 1.7318e+00 (1.7441e+00)
Epoch: [0][ 20/313]	L_Src_Sup 1.8288e+00 (1.5909e+00)	L_Trg_Inj 1.8298e+00 (1.5657e+00)	Loss Disc 7.0799e-01 (7.1638e-01)	Loss Pred 9.9300e-01 (9.9628e-01)	Loss TOTAL 1.7129e+00 (1.7051e+00)
Epoch: [0][ 30/313]	L_Src_Sup 5.8713e-01 (1.2891e+00)	L_Trg_Inj 7.1744e-01 (1.2974e+00)	Loss Disc 6.9923e-01 (7.1179e-01)	Loss Pred 9.9195e-01 (9.9232e-01)	Loss TOTAL 1.4720e+00 (1.6328e+00)
Epoch: [0][ 40/313]	L_Src_Sup 3.4468e-01 (1.0304e+00)	L_Trg_Inj 2.4649e-01 (1.0557e+00)	Loss Disc 6.9539e-01 (7.0803e-01)	Loss Pred 9.4816e-01 (9.8833e-01)	Loss TOTAL 1.4532e+00 (1.5779e+00)
Epoch: [0][ 50/313]	L_Src_Sup 1.8702e-01 (8.6680e-01)	L_Trg_Inj 3.6853e-01 (9.2380e-01)	Loss Disc 6.9411e-01 (7.0537e-01)	Loss Pred 1.0113e+00 (9.8721e-01)	Loss TOTAL 1.4139e+00 (1.5422e+00)
Epoch: [0][ 60/313]	L_Src_Sup 1.6170e-01 (7.5935e-01)	L_Trg_Inj 3.7266e-01 (8.2290e-01)	Loss Disc 6.9375e-01 (7.0346e-01)	Loss Pred 1.0303e+00 (9.8703e-01)	Loss TOTAL 1.4306e+00 (1.5178e+00)
Epoch: [0][ 70/313]	L_Src_Sup 1.2658e-01 (6.8666e-01)	L_Trg_Inj 4.2430e-01 (7.7069e-01)	Loss Disc 6.9335e-01 (7.0204e-01)	Loss Pred 9.6136e-01 (9.8677e-01)	Loss TOTAL 1.3631e+00 (1.5034e+00)
Epoch: [0][ 80/313]	L_Src_Sup 1.5114e-01 (6.2732e-01)	L_Trg_Inj 2.8275e-01 (7.1121e-01)	Loss Disc 6.9306e-01 (7.0094e-01)	Loss Pred 9.5448e-01 (9.8539e-01)	Loss TOTAL 1.3444e+00 (1.4880e+00)
Epoch: [0][ 90/313]	L_Src_Sup 2.1543e-01 (5.9772e-01)	L_Trg_Inj 5.4605e-01 (6.8108e-01)	Loss Disc 6.9150e-01 (7.0000e-01)	Loss Pred 9.2280e-01 (9.8594e-01)	Loss TOTAL 1.3447e+00 (1.4827e+00)
Epoch: [0][100/313]	L_Src_Sup 5.1646e-01 (5.6519e-01)	L_Trg_Inj 8.4894e-01 (6.5511e-01)	Loss Disc 6.8997e-01 (6.9912e-01)	Loss Pred 1.0114e+00 (9.8447e-01)	Loss TOTAL 1.4929e+00 (1.4738e+00)
Epoch: [0][110/313]	L_Src_Sup 8.2587e-02 (5.4090e-01)	L_Trg_Inj 4.5219e-01 (6.3333e-01)	Loss Disc 6.8985e-01 (6.9835e-01)	Loss Pred 9.5438e-01 (9.8243e-01)	Loss TOTAL 1.3528e+00 (1.4675e+00)
Epoch: [0][120/313]	L_Src_Sup 2.2865e-01 (5.1462e-01)	L_Trg_Inj 2.4718e-01 (6.0955e-01)	Loss Disc 6.8871e-01 (6.9758e-01)	Loss Pred 9.4197e-01 (9.8159e-01)	Loss TOTAL 1.3339e+00 (1.4597e+00)
Epoch: [0][130/313]	L_Src_Sup 2.6777e-01 (4.9332e-01)	L_Trg_Inj 3.6583e-01 (5.8813e-01)	Loss Disc 6.8368e-01 (6.9677e-01)	Loss Pred 9.4224e-01 (9.8193e-01)	Loss TOTAL 1.3474e+00 (1.4541e+00)
Epoch: [0][140/313]	L_Src_Sup 1.7457e-01 (4.7214e-01)	L_Trg_Inj 3.6365e-01 (5.7357e-01)	Loss Disc 6.8600e-01 (6.9610e-01)	Loss Pred 1.0233e+00 (9.8377e-01)	Loss TOTAL 1.4201e+00 (1.4519e+00)
Epoch: [0][150/313]	L_Src_Sup 2.2795e-01 (4.5923e-01)	L_Trg_Inj 4.3359e-01 (5.6498e-01)	Loss Disc 6.8476e-01 (6.9544e-01)	Loss Pred 9.4329e-01 (9.8421e-01)	Loss TOTAL 1.3518e+00 (1.4501e+00)
Epoch: [0][160/313]	L_Src_Sup 1.6134e-01 (4.4197e-01)	L_Trg_Inj 3.2657e-01 (5.5292e-01)	Loss Disc 6.8661e-01 (6.9495e-01)	Loss Pred 1.0142e+00 (9.8398e-01)	Loss TOTAL 1.4062e+00 (1.4457e+00)
Epoch: [0][170/313]	L_Src_Sup 1.1994e-01 (4.2750e-01)	L_Trg_Inj 4.2284e-01 (5.4091e-01)	Loss Disc 6.8517e-01 (6.9452e-01)	Loss Pred 9.8056e-01 (9.8389e-01)	Loss TOTAL 1.3774e+00 (1.4427e+00)
Epoch: [0][180/313]	L_Src_Sup 1.7926e-01 (4.1528e-01)	L_Trg_Inj 3.9202e-01 (5.2998e-01)	Loss Disc 6.9004e-01 (6.9427e-01)	Loss Pred 9.7459e-01 (9.8331e-01)	Loss TOTAL 1.3767e+00 (1.4389e+00)
Epoch: [0][190/313]	L_Src_Sup 1.8425e-01 (4.0495e-01)	L_Trg_Inj 4.4208e-01 (5.2310e-01)	Loss Disc 6.8723e-01 (6.9403e-01)	Loss Pred 1.0047e+00 (9.8316e-01)	Loss TOTAL 1.4109e+00 (1.4362e+00)
Epoch: [0][200/313]	L_Src_Sup 2.6216e-01 (3.9529e-01)	L_Trg_Inj 5.2129e-01 (5.1590e-01)	Loss Disc 6.8580e-01 (6.9380e-01)	Loss Pred 9.7351e-01 (9.8236e-01)	Loss TOTAL 1.3948e+00 (1.4332e+00)
Epoch: [0][210/313]	L_Src_Sup 2.5381e-01 (3.8599e-01)	L_Trg_Inj 4.9221e-01 (5.0914e-01)	Loss Disc 6.8853e-01 (6.9367e-01)	Loss Pred 9.6772e-01 (9.8214e-01)	Loss TOTAL 1.3866e+00 (1.4307e+00)
Epoch: [0][220/313]	L_Src_Sup 1.8478e-01 (3.7736e-01)	L_Trg_Inj 3.3865e-01 (5.0270e-01)	Loss Disc 6.9138e-01 (6.9356e-01)	Loss Pred 9.5215e-01 (9.8167e-01)	Loss TOTAL 1.3502e+00 (1.4281e+00)
Epoch: [0][230/313]	L_Src_Sup 2.9927e-01 (3.7074e-01)	L_Trg_Inj 4.8648e-01 (4.9845e-01)	Loss Disc 6.8927e-01 (6.9345e-01)	Loss Pred 9.6065e-01 (9.8162e-01)	Loss TOTAL 1.3839e+00 (1.4269e+00)
Epoch: [0][240/313]	L_Src_Sup 1.7777e-01 (3.6377e-01)	L_Trg_Inj 2.2096e-01 (4.9174e-01)	Loss Disc 6.9323e-01 (6.9338e-01)	Loss Pred 9.3947e-01 (9.8073e-01)	Loss TOTAL 1.3260e+00 (1.4241e+00)
Epoch: [0][250/313]	L_Src_Sup 1.9117e-01 (3.5784e-01)	L_Trg_Inj 3.1636e-01 (4.8518e-01)	Loss Disc 6.9092e-01 (6.9333e-01)	Loss Pred 9.5247e-01 (9.8026e-01)	Loss TOTAL 1.3487e+00 (1.4222e+00)
Epoch: [0][260/313]	L_Src_Sup 1.6540e-01 (3.5110e-01)	L_Trg_Inj 4.0611e-01 (4.7926e-01)	Loss Disc 6.9076e-01 (6.9327e-01)	Loss Pred 9.2245e-01 (9.7966e-01)	Loss TOTAL 1.3250e+00 (1.4202e+00)
Epoch: [0][270/313]	L_Src_Sup 2.6113e-01 (3.4665e-01)	L_Trg_Inj 3.8099e-01 (4.7543e-01)	Loss Disc 6.8993e-01 (6.9320e-01)	Loss Pred 9.5739e-01 (9.7918e-01)	Loss TOTAL 1.3666e+00 (1.4185e+00)
Epoch: [0][280/313]	L_Src_Sup 2.3645e-01 (3.4101e-01)	L_Trg_Inj 3.4147e-01 (4.7107e-01)	Loss Disc 6.8909e-01 (6.9309e-01)	Loss Pred 1.0069e+00 (9.7868e-01)	Loss TOTAL 1.4092e+00 (1.4167e+00)
Epoch: [0][290/313]	L_Src_Sup 2.5576e-01 (3.3828e-01)	L_Trg_Inj 4.2324e-01 (4.6820e-01)	Loss Disc 6.7786e-01 (6.9277e-01)	Loss Pred 9.5622e-01 (9.7785e-01)	Loss TOTAL 1.3630e+00 (1.4152e+00)
Epoch: [0][300/313]	L_Src_Sup 7.1640e-01 (3.4006e-01)	L_Trg_Inj 6.8840e-01 (4.6456e-01)	Loss Disc 6.9530e-01 (6.9261e-01)	Loss Pred 9.7912e-01 (9.7650e-01)	Loss TOTAL 1.4953e+00 (1.4171e+00)
Epoch: [0][310/313]	L_Src_Sup 3.0179e-01 (3.4153e-01)	L_Trg_Inj 5.3232e-01 (4.6348e-01)	Loss Disc 6.7919e-01 (6.9250e-01)	Loss Pred 9.9555e-01 (9.7667e-01)	Loss TOTAL 1.4186e+00 (1.4176e+00)
Epoch: [0][313/313]	L_Src_Sup 2.2426e-01 (3.4003e-01)	L_Trg_Inj 3.6911e-01 (4.6201e-01)	Loss Disc 6.7819e-01 (6.9240e-01)	Loss Pred 9.6171e-01 (9.7672e-01)	Loss TOTAL 1.3601e+00 (1.4172e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/313]	L_Src_Sup 3.3745e-01 (2.4291e-01)	L_Trg_Inj 2.8752e-01 (2.9789e-01)	Loss Disc 6.7822e-01 (6.7824e-01)	Loss Pred 9.7775e-01 (9.7768e-01)	Loss TOTAL 1.4293e+00 (1.3761e+00)
Epoch: [1][ 20/313]	L_Src_Sup 2.9894e-01 (2.3843e-01)	L_Trg_Inj 3.5318e-01 (3.7286e-01)	Loss Disc 6.7644e-01 (6.7600e-01)	Loss Pred 9.4544e-01 (9.6802e-01)	Loss TOTAL 1.3489e+00 (1.3697e+00)
Epoch: [1][ 30/313]	L_Src_Sup 3.3238e-01 (2.3413e-01)	L_Trg_Inj 5.7671e-01 (3.6507e-01)	Loss Disc 6.8822e-01 (6.7705e-01)	Loss Pred 9.5296e-01 (9.6183e-01)	Loss TOTAL 1.3880e+00 (1.3635e+00)
Epoch: [1][ 40/313]	L_Src_Sup 2.5952e-01 (2.3111e-01)	L_Trg_Inj 4.9652e-01 (3.8197e-01)	Loss Disc 6.6941e-01 (6.7808e-01)	Loss Pred 9.3956e-01 (9.5312e-01)	Loss TOTAL 1.3499e+00 (1.3559e+00)
Epoch: [1][ 50/313]	L_Src_Sup 1.6862e-01 (2.2716e-01)	L_Trg_Inj 4.4267e-01 (3.8844e-01)	Loss Disc 6.6568e-01 (6.7609e-01)	Loss Pred 9.2060e-01 (9.4651e-01)	Loss TOTAL 1.3146e+00 (1.3480e+00)
Epoch: [1][ 60/313]	L_Src_Sup 1.3800e-01 (2.2792e-01)	L_Trg_Inj 5.1325e-01 (3.9294e-01)	Loss Disc 6.7826e-01 (6.7597e-01)	Loss Pred 9.0251e-01 (9.3908e-01)	Loss TOTAL 1.3068e+00 (1.3407e+00)
Epoch: [1][ 70/313]	L_Src_Sup 3.1568e-01 (2.3978e-01)	L_Trg_Inj 6.7236e-01 (4.0100e-01)	Loss Disc 6.7623e-01 (6.7699e-01)	Loss Pred 8.9855e-01 (9.3138e-01)	Loss TOTAL 1.3355e+00 (1.3366e+00)
Epoch: [1][ 80/313]	L_Src_Sup 1.1143e-01 (2.4096e-01)	L_Trg_Inj 3.7687e-01 (4.1001e-01)	Loss Disc 6.9104e-01 (6.7735e-01)	Loss Pred 8.6675e-01 (9.2541e-01)	Loss TOTAL 1.2611e+00 (1.3317e+00)
Epoch: [1][ 90/313]	L_Src_Sup 2.4325e-01 (2.4057e-01)	L_Trg_Inj 2.0777e-01 (4.0450e-01)	Loss Disc 6.8955e-01 (6.7817e-01)	Loss Pred 8.9733e-01 (9.2034e-01)	Loss TOTAL 1.3227e+00 (1.3273e+00)
Epoch: [1][100/313]	L_Src_Sup 1.3974e-01 (2.3819e-01)	L_Trg_Inj 2.6810e-01 (4.0123e-01)	Loss Disc 6.9514e-01 (6.7992e-01)	Loss Pred 8.6342e-01 (9.1466e-01)	Loss TOTAL 1.2518e+00 (1.3216e+00)
Epoch: [1][110/313]	L_Src_Sup 2.1049e-01 (2.3909e-01)	L_Trg_Inj 2.3856e-01 (3.9049e-01)	Loss Disc 6.8668e-01 (6.8142e-01)	Loss Pred 8.4742e-01 (9.0925e-01)	Loss TOTAL 1.2357e+00 (1.3161e+00)
Epoch: [1][120/313]	L_Src_Sup 3.0444e-01 (2.4207e-01)	L_Trg_Inj 3.6350e-01 (3.8851e-01)	Loss Disc 6.8547e-01 (6.8221e-01)	Loss Pred 8.4903e-01 (9.0442e-01)	Loss TOTAL 1.2586e+00 (1.3120e+00)
Epoch: [1][130/313]	L_Src_Sup 2.0997e-01 (2.4169e-01)	L_Trg_Inj 2.5801e-01 (3.8693e-01)	Loss Disc 6.8624e-01 (6.8287e-01)	Loss Pred 8.4980e-01 (8.9960e-01)	Loss TOTAL 1.2397e+00 (1.3070e+00)
