Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.433720529987505, std[0]=0.22055395733663094)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.9674e+00 (1.9853e+00)	L_Trg_Inj 1.9653e+00 (1.9824e+00)	Loss Disc 7.1881e-01 (7.2203e-01)	Loss Pred 1.5057e+00 (1.5863e+00)	Loss TOTAL 2.2605e+00 (2.3474e+00)
Epoch: [0][ 20/112]	L_Src_Sup 9.2567e-01 (1.8437e+00)	L_Trg_Inj 6.0145e-01 (1.8279e+00)	Loss Disc 7.0885e-01 (7.1783e-01)	Loss Pred 1.5767e+00 (1.5791e+00)	Loss TOTAL 2.4081e+00 (2.3289e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.5777e+00 (1.6799e+00)	L_Trg_Inj 1.6724e+00 (1.6661e+00)	Loss Disc 7.0025e-01 (7.1323e-01)	Loss Pred 1.5778e+00 (1.5708e+00)	Loss TOTAL 2.2529e+00 (2.2923e+00)
Epoch: [0][ 40/112]	L_Src_Sup 2.6249e-01 (1.3650e+00)	L_Trg_Inj 3.5303e-01 (1.3701e+00)	Loss Disc 6.9596e-01 (7.0923e-01)	Loss Pred 1.5560e+00 (1.5608e+00)	Loss TOTAL 1.9655e+00 (2.2286e+00)
Epoch: [0][ 50/112]	L_Src_Sup 4.4687e-01 (1.1277e+00)	L_Trg_Inj 4.1038e-01 (1.1696e+00)	Loss Disc 6.9434e-01 (7.0638e-01)	Loss Pred 1.5119e+00 (1.5525e+00)	Loss TOTAL 1.9812e+00 (2.1688e+00)
Epoch: [0][ 60/112]	L_Src_Sup 1.4286e-01 (9.9930e-01)	L_Trg_Inj 4.7100e-01 (1.0601e+00)	Loss Disc 6.9333e-01 (7.0430e-01)	Loss Pred 1.4882e+00 (1.5403e+00)	Loss TOTAL 1.8963e+00 (2.1296e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.4193e-01 (8.7726e-01)	L_Trg_Inj 2.3507e-01 (9.6670e-01)	Loss Disc 6.9281e-01 (7.0266e-01)	Loss Pred 1.4650e+00 (1.5305e+00)	Loss TOTAL 1.8491e+00 (2.0936e+00)
Epoch: [0][ 80/112]	L_Src_Sup 0.0000e+00 (8.1292e-01)	L_Trg_Inj 4.5760e-01 (9.0965e-01)	Loss Disc 6.9193e-01 (7.0133e-01)	Loss Pred 1.4533e+00 (1.5195e+00)	Loss TOTAL 1.8450e+00 (2.0722e+00)
Epoch: [0][ 90/112]	L_Src_Sup 2.2858e-01 (7.4898e-01)	L_Trg_Inj 5.4665e-01 (8.6383e-01)	Loss Disc 6.8967e-01 (7.0018e-01)	Loss Pred 1.3923e+00 (1.5073e+00)	Loss TOTAL 1.8147e+00 (2.0454e+00)
Epoch: [0][100/112]	L_Src_Sup 3.4215e-01 (6.9481e-01)	L_Trg_Inj 4.5829e-01 (8.2025e-01)	Loss Disc 6.8923e-01 (6.9911e-01)	Loss Pred 1.4109e+00 (1.4963e+00)	Loss TOTAL 1.8356e+00 (2.0220e+00)
Epoch: [0][110/112]	L_Src_Sup 1.5360e-01 (6.4783e-01)	L_Trg_Inj 3.5833e-01 (7.7305e-01)	Loss Disc 6.8808e-01 (6.9817e-01)	Loss Pred 1.3857e+00 (1.4862e+00)	Loss TOTAL 1.7809e+00 (2.0012e+00)
