Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.7697e+00 (1.9621e+00)	L_Trg_Inj 1.8511e+00 (1.9766e+00)	Loss Disc 7.1894e-01 (7.2205e-01)	Loss Pred 1.0178e+00 (9.7594e-01)	Loss TOTAL 1.7394e+00 (1.7310e+00)
Epoch: [0][ 20/112]	L_Src_Sup 2.2857e-01 (1.2628e+00)	L_Trg_Inj 4.1719e-01 (1.3348e+00)	Loss Disc 7.0989e-01 (7.1813e-01)	Loss Pred 9.6351e-01 (9.7630e-01)	Loss TOTAL 1.3830e+00 (1.6086e+00)
Epoch: [0][ 30/112]	L_Src_Sup 2.9180e-01 (9.1473e-01)	L_Trg_Inj 4.4126e-01 (9.9544e-01)	Loss Disc 7.0024e-01 (7.1348e-01)	Loss Pred 8.9671e-01 (9.7002e-01)	Loss TOTAL 1.3201e+00 (1.5308e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.9382e-01 (7.3789e-01)	L_Trg_Inj 2.6138e-01 (8.2187e-01)	Loss Disc 6.9517e-01 (7.0938e-01)	Loss Pred 9.1199e-01 (9.7012e-01)	Loss TOTAL 1.3051e+00 (1.4918e+00)
Epoch: [0][ 50/112]	L_Src_Sup 2.2421e-01 (6.3934e-01)	L_Trg_Inj 3.3683e-01 (7.2525e-01)	Loss Disc 6.9366e-01 (7.0637e-01)	Loss Pred 1.0057e+00 (9.6922e-01)	Loss TOTAL 1.4086e+00 (1.4711e+00)
Epoch: [0][ 60/112]	L_Src_Sup 2.4447e-01 (5.6871e-01)	L_Trg_Inj 2.0705e-01 (6.5919e-01)	Loss Disc 6.9155e-01 (7.0407e-01)	Loss Pred 9.9027e-01 (9.7056e-01)	Loss TOTAL 1.4186e+00 (1.4567e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.8183e-01 (5.1519e-01)	L_Trg_Inj 2.9697e-01 (6.1587e-01)	Loss Disc 6.9170e-01 (7.0234e-01)	Loss Pred 9.4810e-01 (9.6934e-01)	Loss TOTAL 1.3418e+00 (1.4433e+00)
Epoch: [0][ 80/112]	L_Src_Sup 2.4157e-01 (4.7467e-01)	L_Trg_Inj 2.5071e-01 (5.7496e-01)	Loss Disc 6.9181e-01 (7.0103e-01)	Loss Pred 1.0022e+00 (9.7061e-01)	Loss TOTAL 1.3973e+00 (1.4349e+00)
Epoch: [0][ 90/112]	L_Src_Sup 2.6828e-01 (4.4685e-01)	L_Trg_Inj 3.6820e-01 (5.4463e-01)	Loss Disc 6.9155e-01 (6.9999e-01)	Loss Pred 9.6126e-01 (9.7108e-01)	Loss TOTAL 1.3707e+00 (1.4291e+00)
Epoch: [0][100/112]	L_Src_Sup 1.2992e-01 (4.2500e-01)	L_Trg_Inj 3.4209e-01 (5.3273e-01)	Loss Disc 6.9040e-01 (6.9907e-01)	Loss Pred 9.9370e-01 (9.7081e-01)	Loss TOTAL 1.3861e+00 (1.4244e+00)
Epoch: [0][110/112]	L_Src_Sup 1.5069e-01 (4.0553e-01)	L_Trg_Inj 3.8537e-01 (5.1245e-01)	Loss Disc 6.9156e-01 (6.9835e-01)	Loss Pred 9.6096e-01 (9.7034e-01)	Loss TOTAL 1.3604e+00 (1.4196e+00)
