Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=5.506285903228045, std[0]=0.20951616163223202)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.9966e+00 (1.9952e+00)	L_Trg_Inj 1.9962e+00 (1.9939e+00)	Loss Disc 7.1823e-01 (7.2153e-01)	Loss Pred 1.4748e+00 (1.4702e+00)	Loss TOTAL 2.2336e+00 (2.2313e+00)
Epoch: [0][ 20/112]	L_Src_Sup 1.9973e+00 (1.9940e+00)	L_Trg_Inj 1.9961e+00 (1.9923e+00)	Loss Disc 7.0764e-01 (7.1711e-01)	Loss Pred 1.4033e+00 (1.4643e+00)	Loss TOTAL 2.1576e+00 (2.2234e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.9937e+00 (1.9949e+00)	L_Trg_Inj 1.9940e+00 (1.9937e+00)	Loss Disc 6.9862e-01 (7.1212e-01)	Loss Pred 1.3549e+00 (1.4567e+00)	Loss TOTAL 2.1030e+00 (2.2131e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.2445e+00 (1.8481e+00)	L_Trg_Inj 1.3766e+00 (1.8440e+00)	Loss Disc 6.9564e-01 (7.0823e-01)	Loss Pred 1.3779e+00 (1.4443e+00)	Loss TOTAL 1.9879e+00 (2.1780e+00)
Epoch: [0][ 50/112]	L_Src_Sup 9.5130e-01 (1.7366e+00)	L_Trg_Inj 7.2944e-01 (1.7060e+00)	Loss Disc 6.9430e-01 (7.0555e-01)	Loss Pred 1.3954e+00 (1.4334e+00)	Loss TOTAL 2.1325e+00 (2.1695e+00)
Epoch: [0][ 60/112]	L_Src_Sup 1.9887e+00 (1.7367e+00)	L_Trg_Inj 1.9893e+00 (1.7056e+00)	Loss Disc 6.9480e-01 (7.0382e-01)	Loss Pred 1.3696e+00 (1.4249e+00)	Loss TOTAL 2.1148e+00 (2.1594e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.9330e+00 (1.7702e+00)	L_Trg_Inj 1.9263e+00 (1.7432e+00)	Loss Disc 6.9381e-01 (7.0244e-01)	Loss Pred 1.3609e+00 (1.4151e+00)	Loss TOTAL 2.1004e+00 (2.1509e+00)
Epoch: [0][ 80/112]	L_Src_Sup 1.4553e+00 (1.7080e+00)	L_Trg_Inj 1.4832e+00 (1.6731e+00)	Loss Disc 6.9369e-01 (7.0134e-01)	Loss Pred 1.3518e+00 (1.4066e+00)	Loss TOTAL 1.9925e+00 (2.1364e+00)
Epoch: [0][ 90/112]	L_Src_Sup 6.5299e-01 (1.5912e+00)	L_Trg_Inj 3.3876e-01 (1.5508e+00)	Loss Disc 6.9347e-01 (7.0048e-01)	Loss Pred 1.3439e+00 (1.3980e+00)	Loss TOTAL 2.1040e+00 (2.1128e+00)
Epoch: [0][100/112]	L_Src_Sup 1.1927e+00 (1.4856e+00)	L_Trg_Inj 1.3482e+00 (1.4382e+00)	Loss Disc 6.9374e-01 (6.9978e-01)	Loss Pred 1.2878e+00 (1.3872e+00)	Loss TOTAL 1.8887e+00 (2.0877e+00)
Epoch: [0][110/112]	L_Src_Sup 3.5482e-01 (1.4053e+00)	L_Trg_Inj 3.2250e-01 (1.3514e+00)	Loss Disc 6.9344e-01 (6.9921e-01)	Loss Pred 1.2756e+00 (1.3799e+00)	Loss TOTAL 1.7223e+00 (2.0710e+00)
Epoch: [0][112/112]	L_Src_Sup 4.3244e-01 (1.3895e+00)	L_Trg_Inj 4.7566e-01 (1.3357e+00)	Loss Disc 6.9346e-01 (6.9910e-01)	Loss Pred 1.2525e+00 (1.3782e+00)	Loss TOTAL 1.6900e+00 (2.0663e+00)
Epoch 0 complete. Saving model state...
Epoch: [1][ 10/112]	L_Src_Sup 4.9240e-01 (4.4418e-01)	L_Trg_Inj 1.3251e-01 (3.7857e-01)	Loss Disc 6.9341e-01 (6.9349e-01)	Loss Pred 1.2247e+00 (1.2748e+00)	Loss TOTAL 1.9938e+00 (1.8056e+00)
Epoch: [1][ 20/112]	L_Src_Sup 2.2148e-01 (4.2115e-01)	L_Trg_Inj 2.6322e-02 (2.9276e-01)	Loss Disc 6.9346e-01 (6.9344e-01)	Loss Pred 1.2405e+00 (1.2701e+00)	Loss TOTAL 1.8071e+00 (1.8355e+00)
Epoch: [1][ 30/112]	L_Src_Sup 2.7159e-01 (4.1012e-01)	L_Trg_Inj 3.0208e-01 (2.8449e-01)	Loss Disc 6.9327e-01 (6.9341e-01)	Loss Pred 1.2475e+00 (1.2627e+00)	Loss TOTAL 1.6515e+00 (1.8231e+00)
Epoch: [1][ 40/112]	L_Src_Sup 3.2612e-01 (4.1647e-01)	L_Trg_Inj 9.2846e-02 (2.8359e-01)	Loss Disc 6.9347e-01 (6.9338e-01)	Loss Pred 1.2003e+00 (1.2540e+00)	Loss TOTAL 1.8222e+00 (1.8176e+00)
Epoch: [1][ 50/112]	L_Src_Sup 1.7096e+00 (7.1335e-01)	L_Trg_Inj 1.7247e+00 (6.0851e-01)	Loss Disc 6.9350e-01 (6.9350e-01)	Loss Pred 1.1871e+00 (1.2462e+00)	Loss TOTAL 1.8772e+00 (1.8430e+00)
Epoch: [1][ 60/112]	L_Src_Sup 4.4443e-01 (6.7117e-01)	L_Trg_Inj 1.4908e-01 (5.5919e-01)	Loss Disc 6.9299e-01 (6.9343e-01)	Loss Pred 1.1836e+00 (1.2386e+00)	Loss TOTAL 1.8848e+00 (1.8330e+00)
Epoch: [1][ 70/112]	L_Src_Sup 2.4724e-01 (6.2217e-01)	L_Trg_Inj 9.9939e-03 (4.8827e-01)	Loss Disc 6.9325e-01 (6.9339e-01)	Loss Pred 1.1792e+00 (1.2327e+00)	Loss TOTAL 1.7888e+00 (1.8351e+00)
Epoch: [1][ 80/112]	L_Src_Sup 3.5294e-01 (7.4110e-01)	L_Trg_Inj 1.1243e-01 (6.2103e-01)	Loss Disc 6.9311e-01 (6.9340e-01)	Loss Pred 1.1784e+00 (1.2274e+00)	Loss TOTAL 1.8120e+00 (1.8420e+00)
Epoch: [1][ 90/112]	L_Src_Sup 1.9773e+00 (8.5053e-01)	L_Trg_Inj 1.9769e+00 (7.4582e-01)	Loss Disc 6.9345e-01 (6.9341e-01)	Loss Pred 1.1598e+00 (1.2222e+00)	Loss TOTAL 1.9023e+00 (1.8459e+00)
Epoch: [1][100/112]	L_Src_Sup 1.9365e+00 (9.6105e-01)	L_Trg_Inj 1.9360e+00 (8.6708e-01)	Loss Disc 6.9331e-01 (6.9340e-01)	Loss Pred 1.1523e+00 (1.2163e+00)	Loss TOTAL 1.8868e+00 (1.8516e+00)
Epoch: [1][110/112]	L_Src_Sup 1.4360e+00 (1.0358e+00)	L_Trg_Inj 1.4625e+00 (9.5175e-01)	Loss Disc 6.9309e-01 (6.9339e-01)	Loss Pred 1.1287e+00 (1.2097e+00)	Loss TOTAL 1.7651e+00 (1.8514e+00)
Epoch: [1][112/112]	L_Src_Sup 8.0537e-01 (1.0351e+00)	L_Trg_Inj 8.6000e-01 (9.5275e-01)	Loss Disc 6.9289e-01 (6.9338e-01)	Loss Pred 1.1305e+00 (1.2082e+00)	Loss TOTAL 1.6435e+00 (1.8485e+00)
