Using device: cuda
Loading Source Train...
Using Mean/Std calculated from Source Train (mean[0]=7.250739126206178, std[0]=0.4471005807248076)
Loading Target Train...
Epoch: [0][ 10/112]	L_Src_Sup 1.9392e+00 (1.9829e+00)	L_Trg_Inj 1.9363e+00 (1.9823e+00)	Loss Disc 7.1877e-01 (7.2201e-01)	Loss Pred 1.5663e+00 (1.5923e+00)	Loss TOTAL 2.3161e+00 (2.3515e+00)
Epoch: [0][ 20/112]	L_Src_Sup 1.4426e+00 (1.7227e+00)	L_Trg_Inj 1.0610e+00 (1.6826e+00)	Loss Disc 7.0886e-01 (7.1783e-01)	Loss Pred 1.5767e+00 (1.5864e+00)	Loss TOTAL 2.5631e+00 (2.3318e+00)
Epoch: [0][ 30/112]	L_Src_Sup 1.9838e+00 (1.8008e+00)	L_Trg_Inj 1.9855e+00 (1.7693e+00)	Loss Disc 7.0022e-01 (7.1327e-01)	Loss Pred 1.5646e+00 (1.5752e+00)	Loss TOTAL 2.3116e+00 (2.3245e+00)
Epoch: [0][ 40/112]	L_Src_Sup 1.9249e+00 (1.8372e+00)	L_Trg_Inj 1.7970e+00 (1.8103e+00)	Loss Disc 6.9578e-01 (7.0929e-01)	Loss Pred 1.5670e+00 (1.5654e+00)	Loss TOTAL 2.4151e+00 (2.3158e+00)
Epoch: [0][ 50/112]	L_Src_Sup 1.9088e+00 (1.8609e+00)	L_Trg_Inj 1.9119e+00 (1.8404e+00)	Loss Disc 6.9453e-01 (7.0646e-01)	Loss Pred 1.5156e+00 (1.5545e+00)	Loss TOTAL 2.2449e+00 (2.3027e+00)
Epoch: [0][ 60/112]	L_Src_Sup 9.8557e-01 (1.7329e+00)	L_Trg_Inj 8.8527e-01 (1.7125e+00)	Loss Disc 6.9351e-01 (7.0438e-01)	Loss Pred 1.4551e+00 (1.5424e+00)	Loss TOTAL 2.0892e+00 (2.2735e+00)
Epoch: [0][ 70/112]	L_Src_Sup 1.8182e-01 (1.6054e+00)	L_Trg_Inj 4.8862e-01 (1.6049e+00)	Loss Disc 6.9255e-01 (7.0284e-01)	Loss Pred 1.4918e+00 (1.5317e+00)	Loss TOTAL 1.9051e+00 (2.2378e+00)
Epoch: [0][ 80/112]	L_Src_Sup 4.8929e-01 (1.4488e+00)	L_Trg_Inj 4.6901e-01 (1.4751e+00)	Loss Disc 6.9217e-01 (7.0155e-01)	Loss Pred 1.4548e+00 (1.5218e+00)	Loss TOTAL 1.9170e+00 (2.1949e+00)
Epoch: [0][ 90/112]	L_Src_Sup 6.7344e-01 (1.3230e+00)	L_Trg_Inj 6.0004e-01 (1.3693e+00)	Loss Disc 6.9117e-01 (7.0043e-01)	Loss Pred 1.4374e+00 (1.5110e+00)	Loss TOTAL 1.9838e+00 (2.1602e+00)
Epoch: [0][100/112]	L_Src_Sup 1.8803e+00 (1.3829e+00)	L_Trg_Inj 1.9380e+00 (1.4261e+00)	Loss Disc 6.9302e-01 (6.9972e-01)	Loss Pred 1.4132e+00 (1.5029e+00)	Loss TOTAL 2.1416e+00 (2.1613e+00)
Epoch: [0][110/112]	L_Src_Sup 2.1053e-01 (1.3299e+00)	L_Trg_Inj 1.9753e-01 (1.3877e+00)	Loss Disc 6.8981e-01 (6.9891e-01)	Loss Pred 1.3680e+00 (1.4923e+00)	Loss TOTAL 1.7667e+00 (2.1388e+00)
